layer_number,loss,accuracy_score,f1_macro,f1_micro,balanced_accuracy_score,aic,aic_avg,bic,bic_avg,ebic,ebic_avg
1,2830.90020942688,0.5032868366201699,0.450759794634804,0.5032868366201699,0.47360975755800266,8733.80041885376,1.4003207341436203,19083.759448397883,3.059765824658952,41622.829647307684,6.6735336936520255
2,1330.171362876892,0.7598204264870931,0.7166170319735474,0.7598204264870931,0.7588181851503962,5732.342725753784,0.9190865361157262,16082.301755297907,2.5785316266310576,38621.37195420771,6.192299495624131
3,1432.0659747123718,0.7404200737534071,0.6915136102999738,0.7404200737534071,0.7293773319936304,5936.131949424744,0.9517607743185416,16286.090978968867,2.611205864833873,38825.16117787867,6.224973733826947
4,1351.6260271072388,0.7477954144620811,0.7037989934351767,0.7477954144620811,0.7432770730907488,5775.2520542144775,0.9259663386587266,16125.2110837586,2.585411429174058,38664.2812826684,6.199179298167132
5,1452.2651567459106,0.7348084014750681,0.686176109867774,0.7348084014750681,0.7230507282325577,5976.530313491821,0.9582379851678405,16326.489343035944,2.617683075683172,38865.559541945746,6.231450944676246
6,1249.6205677986145,0.7627064293730961,0.7227003768724544,0.7627064293730961,0.7610012123918591,5571.241135597229,0.8932565553306444,15921.200165141352,2.552701645845976,38460.27036405115,6.16646951483905
7,1235.5768032073975,0.7676767676767676,0.7260789128780614,0.7676767676767676,0.7695172453158668,5543.153606414795,0.8887531836483558,15893.112635958918,2.5481982741636875,38432.18283486872,6.161966143156762
8,1144.4891090393066,0.7934904601571269,0.7580361500046735,0.7934904601571269,0.794140003419208,5360.978218078613,0.8595443671763049,15710.937247622736,2.5189894576916365,38250.00744653254,6.13275732668471
9,1059.0165419578552,0.8111271444604778,0.7795883518186569,0.8111271444604778,0.8149215750629492,5190.03308391571,0.8321361365906221,15539.992113459833,2.4915812271059536,38079.062312369635,6.105349096099028
10,905.8303809165955,0.8439955106621774,0.8169753308729714,0.8439955106621774,0.8504704097201762,4883.660761833191,0.7830143918283134,15233.619791377314,2.442459482343645,37772.689990287116,6.056227351336719
11,803.0661668777466,0.8637165303831971,0.8401782173541364,0.8637165303831971,0.8705025200570689,4678.132333755493,0.7500613009067649,15028.091363299616,2.4095063914220964,37567.16156220942,6.02327426041517
12,669.6545190811157,0.8951418951418951,0.8791659388958404,0.8951418951418951,0.906577582586326,4411.309038162231,0.7072805897326009,14761.268067706354,2.3667256802479324,37300.338266616156,5.9804935492410065
