layer_number,loss,accuracy_score,f1_macro,f1_micro,balanced_accuracy_score,aic,aic_avg,bic,bic_avg,ebic,ebic_avg
1,458.1330442428589,0.9148629148629148,0.8960127944677679,0.9148629148629148,0.9328277158431048,2452.266088485718,0.39318038936759947,7627.245603257779,1.2229029346252653,17832.106633372605,2.85908395596803
2,397.5399059057236,0.928651595318262,0.9158215940999087,0.928651595318262,0.9432437092307706,2331.079811811447,0.3737501702439389,7506.059326583509,1.2034727155016047,17710.920356698334,2.8396537368443697
3,372.9854003190994,0.9357062690396024,0.9267977688245939,0.9357062690396024,0.9495581806791241,2281.970800638199,0.3658763509120088,7456.95031541026,1.1955988961696746,17661.811345525086,2.8317799175124394
4,335.4065718650818,0.9435626102292769,0.9308899056277328,0.9435626102292769,0.9544794395632591,2206.8131437301636,0.35382606120413074,7381.792658502225,1.1835486064617966,17586.65368861705,2.8197296278045614
5,316.98384869098663,0.9459676126342793,0.9336755101075972,0.9459676126342793,0.9572245543907304,2169.9676973819733,0.3479185020654118,7344.947212154035,1.1776410473230776,17549.80824226886,2.8138220686658424
6,448.176997423172,0.9185505852172519,0.9048914028601865,0.9185505852172519,0.9287316836633764,2432.353994846344,0.38998781382817765,7607.3335096184055,1.2197103590858434,17812.19453973323,2.8558913804286084
7,534.7559349536896,0.8945005611672279,0.879368537730625,0.8945005611672279,0.9091636566723382,2605.511869907379,0.4177508208926374,7780.491384679441,1.2474733661503032,17985.352414794266,2.8836543874930682
8,774.2763268947601,0.8497675164341831,0.8326827952394386,0.8497675164341831,0.8746696001345298,3084.5526537895203,0.49455710338135644,8259.532168561582,1.3242796486390223,18464.393198676407,2.9604606699817873
9,1059.0587630271912,0.7976591309924643,0.7768393973914272,0.7976591309924643,0.827789146224867,3654.1175260543823,0.5858774292214819,8829.097040826444,1.4155999744791476,19033.95807094127,3.051780995821913
10,968.6796460151672,0.818342151675485,0.8026843846183164,0.818342151675485,0.843793099299454,3473.3592920303345,0.5568958300513603,8648.338806802396,1.3866183753090262,18853.19983691722,3.022799396651791
11,1184.6231088638306,0.7699214365881033,0.7495916051975196,0.7699214365881033,0.7985016258026535,3905.246217727661,0.6261417697174381,9080.225732499723,1.4558643149751038,19285.08676261455,3.092045336317869
12,1424.9256925582886,0.7333654000320667,0.7128295680330694,0.7333654000320667,0.7613072790798469,4385.851385116577,0.7031988752792332,9560.830899888639,1.5329214205368988,19765.691930003464,3.169102441879664
