layer_number,loss,accuracy_score,f1_macro,f1_micro,balanced_accuracy_score,aic,aic_avg,bic,bic_avg,ebic,ebic_avg
1,1800.6497230529785,0.6629741524001342,0.6629738106055689,0.6629741524001342,0.6629738106055689,5649.299446105957,1.8963744364236177,11792.626629684357,3.9585856427272095,25988.280887552035,8.72382708544882
2,107.4440201818943,0.9872440416247062,0.9872440401873245,0.9872440416247062,0.9872453808874754,2262.8880403637886,0.7596133066008018,8406.215223942188,2.8218245129043935,22601.869481809867,7.587065955626004
3,79.83749443851411,0.9879154078549849,0.9879154064932547,0.9879154078549849,0.9879160716990112,2207.674988877028,0.7410792174813791,8351.002172455428,2.8032904237849707,22546.656430323106,7.568531866506581
4,64.8190236221999,0.9922792883517959,0.9922792848718178,0.9922792883517959,0.9922809707708617,2177.6380472444,0.7309963233448807,8320.9652308228,2.7932075296484724,22516.619488690478,7.558448972370083
5,78.8226579874754,0.9916079221215173,0.9916078880781303,0.9916079221215173,0.9916109560589342,2205.645315974951,0.7403978905588958,8348.97249955335,2.8026090968624877,22544.62675742103,7.567850539584098
6,89.24799475073814,0.9895938234306815,0.9895938046690349,0.9895938234306815,0.9895961792258929,2226.4959895014763,0.7473971096010327,8369.823173079876,2.8096083159046246,22565.477430947554,7.574849758626235
7,90.97279476374388,0.9885867740852635,0.9885867625105471,0.9885867740852635,0.9885887908093723,2229.9455895274878,0.7485550820837489,8373.272773105888,2.8107662883873408,22568.927030973566,7.576007731108951
8,135.10181960463524,0.9822087948976167,0.9822087628212532,0.9822087948976167,0.9822111432033058,2318.2036392092705,0.7781818191370495,8461.53082278767,2.8403930254406413,22657.18508065535,7.605634468162252
9,133.37310335040092,0.9818731117824774,0.9818731097398822,0.9818731117824774,0.9818737694987127,2314.746206700802,0.7770212174222229,8458.073390279202,2.8392324237258144,22653.72764814688,7.604473866447425
10,160.72939479351044,0.9785162806310842,0.9785162588433829,0.9785162806310842,0.978518287142208,2369.458789587021,0.7953873076827864,8512.78597316542,2.857598513986378,22708.4402310331,7.622839956707989
11,166.69793391227722,0.9768378650553877,0.9768378546154534,0.9768378650553877,0.9768395318145432,2381.3958678245544,0.7993943832912234,8524.723051402954,2.861605589594815,22720.377309270632,7.626847032316426
12,257.95310950279236,0.9697885196374623,0.9697881077085343,0.9697885196374623,0.969793221695766,2563.9062190055847,0.8606600265208408,8707.233402583985,2.9228712328244324,22902.887660451663,7.688112675546043
13,278.63015949726105,0.9667673716012085,0.9667658736307394,0.9667673716012085,0.9667751130438546,2605.260318994522,0.8745418996289097,8748.587502572922,2.9367531059325014,22944.2417604406,7.701994548654112
14,312.89612913131714,0.9620678079892582,0.962067654113149,0.9620678079892582,0.9620667553709353,2673.7922582626343,0.8975469144889675,8817.119441841034,2.9597581207925594,23012.773699708712,7.72499956351417
15,299.7051842212677,0.9620678079892582,0.9620677908919744,0.9620678079892582,0.9620694597693689,2647.4103684425354,0.8886909595308947,8790.737552020935,2.9509021658344863,22986.391809888613,7.716143608556097
16,364.7694345712662,0.9506545820745217,0.9506447715835931,0.9506545820745217,0.9506413480885312,2777.5388691425323,0.9323729000142774,8920.866052720932,2.9945841063178693,23116.52031058861,7.75982554903948
17,454.68170642852783,0.941255454850621,0.9412389013858411,0.941255454850621,0.9412395069340775,2957.3634128570557,0.9927369630268733,9100.690596435456,3.054948169330465,23296.344854303134,7.820189612052076
18,436.3073881864548,0.9439409197717354,0.9439409197717354,0.9439409197717354,0.9439418770688648,2920.6147763729095,0.9804010662547531,9063.94195995131,3.042612272558345,23259.596217818987,7.807853715279956
19,530.0030188560486,0.9288351795904666,0.9288338243407459,0.9288351795904666,0.9288405162155731,3108.006037712097,1.043305148610976,9251.333221290497,3.1055163549145677,23446.987479158175,7.870757797636179
20,597.8810863494873,0.9197717354817053,0.9197612834480127,0.9197717354817053,0.9197841619610134,3243.7621726989746,1.0888761909026434,9387.089356277374,3.151087397206235,23582.743614145053,7.9163288399278455
21,631.2176229953766,0.9123867069486404,0.9123724486777128,0.9123867069486404,0.912400478137643,3310.435245990753,1.1112572158411391,9453.762429569153,3.173468422144731,23649.41668743683,7.9387098648663414
22,744.7597389221191,0.8979523329976502,0.8979412812109793,0.8979523329976502,0.8979637231994115,3537.5194778442383,1.1874855581887338,9680.846661422638,3.2496967644923256,23876.500919290316,8.014938207213936
23,764.4566221237183,0.8885532057737496,0.8885521885521885,0.8885532057737496,0.8885510644512236,3576.9132442474365,1.2007093804120297,9720.240427825836,3.2629205867156217,23915.894685693514,8.028162029437231
24,789.2963047027588,0.8885532057737496,0.8885510834015455,0.8885532057737496,0.8885497122520067,3626.5926094055176,1.2173859044664377,9769.919792983917,3.2795971107700295,23965.574050851596,8.04483855349164
