layer_number,loss,accuracy_score,f1_macro,f1_micro,balanced_accuracy_score,aic,aic_avg,bic,bic_avg,ebic,ebic_avg
1,2173.938695907593,0.5172876804296744,0.5163808169071327,0.5172876804296744,0.5173318134614137,6395.877391815186,2.146988046933597,12539.204575393585,4.2091992532371885,26734.858833261263,8.9744406959588
2,2148.975387573242,0.5229942933870426,0.5228704200577605,0.5229942933870426,0.5229785973907964,6345.950775146484,2.1302285247218813,12489.277958724884,4.192439731025473,26684.932216592562,8.957681173747083
3,1842.857162475586,0.6552534407519301,0.6552379011996903,0.6552534407519301,0.6552473442807382,5733.714324951172,1.9247110859184866,11877.041508529572,3.9869222922220784,26072.69576639725,8.75216373494369
4,1309.5208129882812,0.7955689828801611,0.7955675085698973,0.7955689828801611,0.7955670853075443,4667.0416259765625,1.566647071492636,10810.368809554962,3.6288582777962275,25006.02306742264,8.394099720517838
5,874.2756395339966,0.8788183954347096,0.8788164290647473,0.8788183954347096,0.8788152300902188,3796.551279067993,1.27443816014367,9939.878462646393,3.336649366447262,24135.53272051407,8.101890809168873
6,975.9481391906738,0.8627056059080228,0.86267831005231,0.8627056059080228,0.8626922827286299,3999.8962783813477,1.3426976429611774,10143.223461959748,3.404908849264769,24338.877719827426,8.17015029198638
7,964.8193416595459,0.8600201409869084,0.860020077893392,0.8600201409869084,0.8600203370762207,3977.638683319092,1.33522614411517,10120.965866897492,3.397437350418762,24316.62012476517,8.162678793140373
8,789.3416299819946,0.8905673044645854,0.8905538741165684,0.8905673044645854,0.8905570519893555,3626.6832599639893,1.2174163343282944,9770.01044354239,3.2796275406318864,23965.664701410067,8.044868983353497
9,842.0201878547668,0.8831822759315207,0.8831661485531288,0.8831822759315207,0.8831713398671599,3732.0403757095337,1.2527829391438514,9875.367559287934,3.3149941454474434,24071.02181715561,8.080235588169053
10,779.7255201339722,0.8898959382343068,0.8898958265723372,0.8898959382343068,0.8898958265723372,3607.4510402679443,1.2109604029096825,9750.778223846344,3.273171609213274,23946.432481714022,8.038413051934885
11,846.4272389411926,0.8848606915072171,0.8848532178481416,0.8848606915072171,0.8848697020834686,3740.8544778823853,1.2557416844183904,9884.181661460785,3.3179528907219824,24079.835919328463,8.083194333443593
12,847.191349029541,0.8862034239677744,0.8862001411960647,0.8862034239677744,0.8861989139135891,3742.382698059082,1.2562546821279228,9885.709881637482,3.3184658884315144,24081.36413950516,8.083707331153125
13,805.9420642852783,0.8845250083920779,0.8845234339081756,0.8845250083920779,0.8845221868847494,3659.8841285705566,1.228561305327478,9803.211312148956,3.2907725116310695,23998.865570016635,8.05601395435268
14,843.9978485107422,0.8774756629741524,0.877470140153736,0.8774756629741524,0.8774697918694965,3735.9956970214844,1.254110673723224,9879.322880599884,3.3163218800268157,24074.977138467562,8.081563322748426
15,941.448296546936,0.8674051695199732,0.8674046316344588,0.8674051695199732,0.8674080774972415,3930.896593093872,1.3195356136602459,10074.223776672272,3.3817468199638374,24269.87803453995,8.146988262685449
16,1079.8804721832275,0.8395434709634105,0.8395369435479509,0.8395434709634105,0.8395378994396486,4207.760944366455,1.4124743015664503,10351.088127944855,3.474685507870042,24546.742385812533,8.239926950591652
17,1185.9227752685547,0.8187311178247734,0.818727665773598,0.8187311178247734,0.818727553493001,4419.845550537109,1.483667522838909,10563.17273411551,3.5458787291425007,24758.826991983187,8.311120171864111
18,1282.2297220230103,0.8069822087948976,0.8069507968953444,0.8069822087948976,0.806970181302871,4612.4594440460205,1.5483247546310912,10755.78662762442,3.610535960934683,24951.4408854921,8.375777403656294
19,1338.6709671020508,0.7891910036925143,0.7891881293439948,0.7891910036925143,0.7891880855022608,4725.341934204102,1.586217500572038,10868.669117782501,3.64842870687563,25064.32337565018,8.413670149597241
20,1409.500039100647,0.7744209466263847,0.7744207178555202,0.7744209466263847,0.7744227461543454,4867.000078201294,1.6337697476338684,11010.327261779694,3.69598095393746,25205.981519647372,8.461222396659071
21,1502.509684562683,0.7485733467606579,0.7485728934550689,0.7485733467606579,0.7485754581250947,5053.019369125366,1.6962132826872662,11196.346552703766,3.7584244889908582,25392.000810571444,8.523665931712468
22,1517.9527339935303,0.74756629741524,0.7475649036012832,0.74756629741524,0.7475694219077909,5083.905467987061,1.7065812245676604,11227.23265156546,3.7687924308712524,25422.88690943314,8.534033873592863
23,1553.6320095062256,0.7385028533064787,0.7384602970112578,0.7385028533064787,0.7384907563661539,5155.264019012451,1.7305350852676908,11298.591202590851,3.792746291571283,25494.24546045853,8.557987734292894
24,1557.926181793213,0.7381671701913394,0.7379332590463903,0.7381671701913394,0.7381378323705674,5163.852363586426,1.7334180475281724,11307.179547164826,3.7956292538317644,25502.833805032504,8.560870696553375
