layer_number,loss,accuracy_score,f1_macro,f1_micro,balanced_accuracy_score,aic,aic_avg,bic,bic_avg,ebic,ebic_avg
1,2147.3403396606445,0.9034858387799565,0.9032384300153898,0.9034858387799565,0.9034858387799565,6342.680679321289,1.3818476425536577,12928.67522964919,2.8167048430608257,27124.329487516872,5.909439975493872
2,1385.4978370666504,0.9509803921568627,0.9509016130895305,0.9509803921568627,0.9509803921568628,4818.995674133301,1.0498901250835078,11404.990224461202,2.484747325590676,25600.644482328884,5.577482458023722
3,1138.0194211006165,0.9618736383442266,0.9619362607584352,0.9618736383442266,0.9618736383442266,4324.038842201233,0.9420563926364341,10910.033392529134,2.3769135931436023,25105.687650396816,5.469648725576648
4,1053.210217475891,0.9725490196078431,0.9725838619406547,0.9725490196078431,0.9725490196078432,4154.420434951782,0.9051024912748981,10740.414985279684,2.339959691782066,24936.069243147365,5.432694824215112
5,1325.6960134506226,0.9557734204793028,0.9557779523476547,0.9557734204793028,0.9557734204793027,4699.392026901245,1.0238326855993998,11285.386577229146,2.458689886106568,25481.04083509683,5.551425018539614
6,1247.865689277649,0.9603485838779956,0.9603680611141212,0.9603485838779956,0.9603485838779956,4543.731378555298,0.9899196903170584,11129.7259288832,2.4247768908242264,25325.38018675088,5.5175120232572725
7,1121.4599571228027,0.9647058823529412,0.9646065928613756,0.9647058823529412,0.9647058823529411,4290.9199142456055,0.9348409399227898,10876.914464573507,2.369698140429958,25072.56872244119,5.462433272863004
8,1183.8193855285645,0.9623093681917211,0.9621210334676717,0.9623093681917211,0.962309368191721,4415.638771057129,0.96201280415188,11001.63332138503,2.396870004659048,25197.287579252712,5.489605137092094
9,1243.9813442230225,0.9599128540305011,0.9598571098336687,0.9599128540305011,0.9599128540305012,4535.962688446045,0.9882271652387897,11121.957238773946,2.4230843657459578,25317.611496641628,5.515819498179004
10,1394.2767391204834,0.9531590413943355,0.9528640457241626,0.9531590413943355,0.9531590413943354,4836.553478240967,1.053715354736594,11422.548028568868,2.488572555243762,25618.20228643655,5.581307687676809
11,1195.039026260376,0.9649237472766885,0.9649291342771709,0.9649237472766885,0.9649237472766885,4438.078052520752,0.9669015364968958,11024.072602848653,2.401758737004064,25219.726860716335,5.49449386943711
12,1236.5993947982788,0.9660130718954248,0.9661176037729388,0.9660130718954248,0.9660130718954247,4521.198789596558,0.9850106295417337,11107.193339924459,2.4198678300489016,25302.84759779214,5.512602962481948
13,1288.8464670181274,0.9644880174291939,0.9646249915478341,0.9644880174291939,0.9644880174291939,4625.692934036255,1.0077762383521252,11211.687484364156,2.442633438859293,25407.341742231838,5.53536857129234
14,1062.6793603897095,0.9782135076252724,0.9782107716956067,0.9782135076252724,0.9782135076252724,4173.358720779419,0.9092284794726403,10759.35327110732,2.344085679979808,24955.007528975002,5.436820812412854
15,952.7120032310486,0.9810457516339869,0.981058068621522,0.9810457516339869,0.9810457516339869,3953.424006462097,0.8613124197085179,10539.418556789999,2.296169620215686,24735.07281465768,5.388904752648732
16,1170.5661087036133,0.9725490196078431,0.9724691271682322,0.9725490196078431,0.972549019607843,4389.132217407227,0.9562379558621409,10975.126767735128,2.391095156369309,25170.78102560281,5.483830288802355
17,1093.015700340271,0.9806100217864924,0.9806269695993672,0.9806100217864924,0.9806100217864924,4234.031400680542,0.9224469282528414,10820.025951008443,2.3573041287600094,25015.680208876125,5.450039261193056
18,1109.4101362228394,0.973202614379085,0.9731626039007186,0.973202614379085,0.9732026143790847,4266.820272445679,0.9295904732997121,10852.81482277358,2.3644476738068803,25048.469080641262,5.457182806239926
19,1160.4880828857422,0.9736383442265795,0.9736056336843656,0.9736383442265795,0.9736383442265795,4368.976165771484,0.9518466592094738,10954.970716099386,2.3867038597166417,25150.624973967067,5.479438992149688
20,1180.2015676498413,0.9723311546840958,0.9722200451899676,0.9723311546840958,0.9723311546840958,4408.403135299683,0.9604364129193208,10994.397685627584,2.395293613426489,25190.051943495266,5.488028745859535
21,1415.2163696289062,0.9555555555555556,0.9555935574478288,0.9555555555555556,0.9555555555555555,4878.4327392578125,1.0628393767446214,11464.427289585714,2.4976965772517894,25660.081547453396,5.590431709684836
22,2576.5086708068848,0.8849673202614379,0.8845614786604644,0.8849673202614379,0.884967320261438,7201.0173416137695,1.568849094033501,13787.011891941671,3.003706294540669,27982.666149809353,6.0964414269737155
23,6777.965278625488,0.5875816993464053,0.5859223786137642,0.5875816993464053,0.5875816993464054,15603.930557250977,3.3995491410132845,22189.925107578878,4.834406341520452,36385.57936544656,7.927141473953498
24,10474.33423614502,0.33464052287581697,0.3272386135196294,0.33464052287581697,0.334640522875817,22996.66847229004,5.010167423156871,29582.66302261794,6.44502462366404,43778.31728048562,9.537759756097085
