layer_number,loss,accuracy_score,f1_macro,f1_micro,balanced_accuracy_score,aic,aic_avg,bic,bic_avg,ebic,ebic_avg
1,6034.179580688477,0.5604001510003775,0.5547835134647352,0.5604001510003775,0.5605597833539009,14116.359161376953,2.664469452883532,20849.245863284938,3.9353049949575194,35044.90012115262,6.614741434721144
2,5942.880531311035,0.5666289165722914,0.5604333272158663,0.5666289165722914,0.5667943576031811,13933.76106262207,2.6300039755798545,20666.647764530055,3.900839517653842,34862.30202239774,6.5802759574174665
3,6060.22492980957,0.5536051340128351,0.5480747356141258,0.5536051340128351,0.5537887357740299,14168.44985961914,2.674301596757105,20901.336561527125,3.945137138831092,35096.99081939481,6.624573578594716
4,6384.138999938965,0.5228388070970177,0.5151132615726857,0.5228388070970177,0.5230280748663101,14816.27799987793,2.796579463925619,21549.164701785914,4.067415005999607,35744.818959653596,6.74685144576323
5,6933.327789306641,0.48395620989052474,0.4775338084027247,0.48395620989052474,0.4841174756615933,15914.655578613281,3.003898750210132,22647.542280521266,4.274734292284119,36843.19653838895,6.954170732047744
6,7604.757514953613,0.43714609286523215,0.42861328253224906,0.43714609286523215,0.43733203071438365,17257.515029907227,3.2573641053052524,23990.40173181521,4.52819964737924,38186.05598968289,7.2076360871428635
7,7927.555160522461,0.41694979237448093,0.40953080131249586,0.41694979237448093,0.4170857328945564,17903.110321044922,3.379220521148532,24635.997022952906,4.650056063222519,38831.65128082059,7.3294925029861435
8,8589.65470123291,0.3607021517553794,0.35242576253894886,0.3607021517553794,0.36087086932675166,19227.30940246582,3.62916372262473,25960.196104373805,4.899999264698717,40155.85036224149,7.579435704462342
9,9068.31201171875,0.3463571158927897,0.3387249632648477,0.3463571158927897,0.34652834910187846,20184.6240234375,3.809857309067101,26917.510725345484,5.080692851141088,41113.164983213166,7.760129290904712
10,9740.129035949707,0.282559456398641,0.277185670856573,0.282559456398641,0.2827043054984232,21528.258071899414,4.063468869743189,28261.1447738074,5.334304411817176,42456.79903167508,8.0137408515808
11,10010.122825622559,0.28123820309550773,0.27353709680463545,0.28123820309550773,0.28138797477032773,22068.245651245117,4.165391780151967,28801.1323531531,5.436227322225953,42996.78661102078,8.115663761989579
12,10413.623901367188,0.2538693846734617,0.24557699661978621,0.2538693846734617,0.2540166940902235,22875.247802734375,4.317713817050656,29608.13450464236,5.588549359124643,43803.78876251004,8.267985798888267
13,10935.862976074219,0.2212155530388826,0.21442612491869179,0.2212155530388826,0.22134066913478678,23919.725952148438,4.5148595606169195,30652.612654056422,5.785695102690906,44848.2669119241,8.46513154245453
14,11312.588119506836,0.20328425821064552,0.19858267424923248,0.20328425821064552,0.20340309200603318,24673.176239013672,4.657073657797975,31406.062940921656,5.927909199871962,45601.71719878934,8.607345639635586
15,11494.020324707031,0.17893544733861835,0.1743448087347644,0.17893544733861835,0.1790406897024544,25036.040649414062,4.72556448648812,31768.927351322047,5.996400028562108,45964.58160918973,8.675836468325732
16,11549.387565612793,0.18082295205738014,0.1763995993891443,0.18082295205738014,0.18090377759495407,25146.775131225586,4.746465672183009,31879.66183313357,6.017301214256997,46075.31609100125,8.696737654020621
17,11584.182823181152,0.18384295960739902,0.17779437330408704,0.18384295960739902,0.1839409365144659,25216.365646362305,4.759600914753172,31949.25234827029,6.030436456827159,46144.90660613797,8.709872896590783
18,11486.662124633789,0.18648546621366555,0.1822286256260975,0.18648546621366555,0.18658988070752777,25021.324249267578,4.722786759016153,31754.210951175563,5.99362230109014,45949.865209043244,8.673058740853765
19,11396.546745300293,0.17685919214798038,0.1718470118390414,0.17685919214798038,0.17694964349376113,24841.093490600586,4.688768118271156,31573.98019250857,5.959603660345143,45769.63445037625,8.639040100108767
20,11542.836456298828,0.1821442053605134,0.177767370077294,0.1821442053605134,0.1822458179075826,25133.672912597656,4.743992622234363,31866.55961450564,6.0148281643083505,46062.21387237332,8.694264604071975
21,11193.669830322266,0.19384673461683655,0.18958810861299685,0.19384673461683655,0.1939531057178116,24435.33966064453,4.6121818914013835,31168.226362552516,5.883017433475371,45363.8806204202,8.562453873238995
22,11116.118202209473,0.19214798036995093,0.18915449312866953,0.19214798036995093,0.19224598930481285,24280.236404418945,4.582906078599272,31013.12310632693,5.85374162067326,45208.77736419461,8.533178060436883
23,11177.85424041748,0.1662891657229143,0.16092414394689797,0.1662891657229143,0.16639671602906897,24403.70848083496,4.606211491286327,31136.595182742945,5.877047033360315,45332.24944061063,8.556483473123938
24,11282.88198852539,0.16081540203850508,0.15812521120647233,0.16081540203850508,0.16084858768682297,24613.76397705078,4.645859565317248,31346.650678958766,5.916695107391235,45542.30493682645,8.59613154715486
