layer_number,loss,accuracy_score,f1_macro,f1_micro,balanced_accuracy_score,aic,aic_avg,bic,bic_avg,ebic,ebic_avg
1,1532.0478323698044,0.9537552394695252,0.9419187859846241,0.9537552394695252,0.9629429965499791,4600.095664739609,0.15804630195628422,10958.13697095908,0.37649065385003366,21162.998001073905,0.7271008727091977
2,1214.1589844226837,0.9635470349756065,0.9518498778961266,0.9635470349756065,0.9714143676923123,3964.3179688453674,0.13620277498953368,10322.359275064839,0.35464712688328315,20527.220305179664,0.705257345742447
3,1141.9757363796234,0.9669140383426098,0.958457823539274,0.9669140383426098,0.9739141023328919,3819.951472759247,0.1312427496996924,10177.992778978718,0.34968710159344185,20382.853809093544,0.7002973204526057
4,959.2186990380287,0.9727204012918299,0.9647990143909768,0.9727204012918299,0.9783998511213898,3454.4373980760574,0.11868471786147383,9812.478704295529,0.3371290697552233,20017.339734410354,0.6877392886143872
5,593.2141065895557,0.9819968391396963,0.9769120675398729,0.9819968391396963,0.9858387059901981,2722.4282131791115,0.09353494857345948,9080.469519398583,0.3119793004672089,19285.33054951341,0.6625895193263729
6,406.9042680412531,0.9867381295952724,0.9822978426171856,0.9867381295952724,0.989773751376222,2349.808536082506,0.08073278829390869,8707.849842301977,0.2991771401876581,18912.710872416803,0.649787359046822
7,276.80593065172434,0.9910327767470625,0.9882161617149353,0.9910327767470625,0.993254414173118,2089.6118613034487,0.0717931650279478,8447.65316752292,0.29023751692169725,18652.514197637745,0.6408477357808612
8,440.4431570917368,0.9880437023294166,0.9839576313669584,0.9880437023294166,0.9901344706649766,2416.8863141834736,0.08303739140326646,8774.927620402945,0.3014817432970159,18979.78865051777,0.6520919621561798
9,377.4478048682213,0.9898646327217756,0.9867365492826322,0.9898646327217756,0.9916229665870178,2290.8956097364426,0.0787087064432228,8648.936915955914,0.29715305833697225,18853.79794607074,0.6477632771961361
10,429.24744844436646,0.987768844911702,0.984148450431834,0.987768844911702,0.9911186562960823,2394.494896888733,0.08226808551119126,8752.536203108204,0.3007124374049407,18957.39723322303,0.6513226562641047
11,820.4433504343033,0.9746444032158318,0.9667746371396374,0.9746444032158318,0.9785525607437421,3176.8867008686066,0.10914885937155935,9534.928007088078,0.32759321126530877,19739.789037202903,0.6782034301244727
12,973.7008823156357,0.9694564694564695,0.9616211659083784,0.9694564694564695,0.9753853483607323,3483.4017646312714,0.11967985173611184,9841.443070850743,0.3381242036298613,20046.304100965568,0.6887344224890252
