layer_number,loss,accuracy_score,f1_macro,f1_micro,balanced_accuracy_score,aic,aic_avg,bic,bic_avg,ebic,ebic_avg
1,9755.357414245605,0.538306741411528,0.5375360677070911,0.538306741411528,0.5383008847465802,23606.71482849121,1.6966159859487717,39049.9676801696,2.8065234785230415,70280.4070474785,5.051056996369017
2,9628.873342514038,0.525657611039241,0.5256290310793041,0.525657611039241,0.5256587376059528,23353.746685028076,1.6784351505697912,38796.99953670646,2.7883426431440608,70027.43890401536,5.032876160990036
3,9637.669914245605,0.5211297973264338,0.5209763880515184,0.5211297973264338,0.5211272357714842,23371.33982849121,1.6796995708273115,38814.5926801696,2.789607063401581,70045.0320474785,5.034140581247557
4,9667.173389434814,0.522279718269369,0.5222796960612277,0.522279718269369,0.5222796980684733,23430.34677886963,1.6839404038284913,38873.599630548015,2.793847896402761,70104.03899785691,5.038381414248736
5,9690.837013244629,0.5247233002731062,0.524723297818157,0.5247233002731062,0.5247233007839198,23477.674026489258,1.687341815904072,38920.926878167644,2.7972493084783414,70151.36624547654,5.041782826324317
6,10275.33009147644,0.5176081644386948,0.5175564909892444,0.5176081644386948,0.5176096627410895,24646.66018295288,1.7713569198614978,40089.91303463127,2.881264412435767,71320.35240194017,5.125797930281743
7,10247.07110786438,0.5184706051458963,0.5184100679085415,0.5184706051458963,0.5184722274334416,24590.14221572876,1.7672949702263014,40033.395067407146,2.8772024628005712,71263.83443471605,5.121735980646546
8,9657.609573364258,0.522279718269369,0.5222773469217352,0.522279718269369,0.5222794088113665,23411.219146728516,1.6825656997792522,38854.4719984069,2.7924731923535218,70084.9113657158,5.037006710199497
9,9662.614646911621,0.5252982607445739,0.5252979640548757,0.5252982607445739,0.5252983852345983,23421.229293823242,1.6832851296408826,38864.48214550163,2.793192622215152,70094.92151281053,5.037726140061127
10,9656.576503753662,0.5278855828661779,0.5278746356690055,0.5278855828661779,0.5278862859238731,23409.153007507324,1.6824172062316605,38852.40585918571,2.79232469880593,70082.84522649461,5.036858216651905
11,9650.259359359741,0.5301854247520483,0.5301809376747939,0.5301854247520483,0.530185879922598,23396.518718719482,1.6815091791518961,38839.77157039787,2.7914166717261657,70070.21093770677,5.035950189572141
12,9472.743293762207,0.5849504096593359,0.5849276642246847,0.5849504096593359,0.5849493576921978,23041.486587524414,1.6559929989596387,38484.7394392028,2.7659004915339085,69715.1788065117,5.010434009379884
13,9454.272521972656,0.586244070720138,0.5862326813972042,0.586244070720138,0.5862433286980571,23004.545043945312,1.6533380080455162,38447.7978956237,2.7632455006197856,69678.2372629326,5.007779018465761
14,9535.418186187744,0.579344545062527,0.579312730488514,0.579344545062527,0.5793433070285675,23166.83637237549,1.6650018953841805,38610.089224053874,2.77490938795845,69840.52859136277,5.019442905804425
15,9171.047096252441,0.6067270375161707,0.6067211139376087,0.6067270375161707,0.6067264921989011,22438.094192504883,1.6126271519695905,37881.34704418327,2.72253464454386,69111.78641149217,4.967068162389835
16,9176.355540275574,0.6048584159839011,0.604848414698732,0.6048584159839011,0.6048577053382482,22448.711080551147,1.6133901883391655,37891.96393222953,2.723297680913435,69122.40329953843,4.96783119875941
17,9088.226803779602,0.6103205404628432,0.6103150977393766,0.6103205404628432,0.6103200158810416,22272.453607559204,1.6007225533677738,37715.70645923759,2.710630045942043,68946.14582654649,4.955163563788019
18,9065.153179168701,0.6134109529969815,0.6134069093324619,0.6134109529969815,0.6134105007933083,22226.306358337402,1.5974059478465863,37669.55921001579,2.707313440420856,68899.99857732469,4.951846958266831
19,8822.576313018799,0.6388529538594222,0.6388033843200522,0.6388529538594222,0.6388546509484906,21741.152626037598,1.562537920514417,37184.40547771598,2.6724454130886865,68414.84484502488,4.916978930934662
20,8128.731053352356,0.7001581141296536,0.7001563237351744,0.7001581141296536,0.7001584798365483,20353.462106704712,1.462804521108575,35796.7149583831,2.5727120136828443,67027.154325692,4.81724553152882
21,6961.36870765686,0.7708063820612333,0.7708033028129417,0.7708063820612333,0.7708069248481937,18018.73741531372,1.2950077199449275,33461.99026699211,2.404915212519197,64692.42963430101,4.649448730365172
22,6309.595375061035,0.8027166882276844,0.8027070997220533,0.8027166882276844,0.8027177068820547,16715.19075012207,1.2013217442951034,32158.443601800456,2.311229236869373,63388.882969109356,4.5557627547153485
23,6263.350341796875,0.8017105074026161,0.8016955105788159,0.8017105074026161,0.8017117739708604,16622.70068359375,1.1946744777629545,32065.953535272136,2.304581970337224,63296.392902581036,4.549115488183199
24,6324.758481025696,0.7964639931004743,0.796448343966691,0.7964639931004743,0.7964652698909302,16745.51696205139,1.2035012909336922,32188.769813729778,2.3134087835079615,63419.20918103868,4.557942301353937
25,6508.791046142578,0.7901394279143309,0.7901285874149843,0.7901394279143309,0.7901404773006725,17113.582092285156,1.22995415353494,32556.834943963542,2.3398616461092097,63787.27431127244,4.584395163955185
26,6050.087071418762,0.8194624119591778,0.8194621732307281,0.8194624119591778,0.8194625941800477,16196.174142837524,1.1640199901421249,31639.42699451591,2.2739274827163944,62869.86636182481,4.51846100056237
