layer_number,loss,accuracy_score,f1_macro,f1_micro,balanced_accuracy_score,aic,aic_avg,bic,bic_avg,ebic,ebic_avg
1,9890.765625,0.5516027023142159,0.5501042636524625,0.5516027023142159,0.5515944182304044,21829.53125,1.5688896974270519,29551.157675839193,2.1238434437141867,43746.81193370687,3.144085951825993
2,9633.262397766113,0.55835848785396,0.5583515870759788,0.55835848785396,0.5583590675739312,21314.524795532227,1.5318761531933467,29036.15122137142,2.0868298994804815,43231.8054792391,3.107072407592288
3,8148.449201583862,0.6837717406928274,0.6837682843477966,0.6837717406928274,0.683772230028491,18344.898403167725,1.3184489293637864,26066.524829006918,1.8734026756509212,40262.179086874596,2.893645183762728
4,5708.27003288269,0.8227684346701164,0.822758909762803,0.8227684346701164,0.8227673979472001,13464.54006576538,0.9676972880383341,21186.166491604574,1.5226510343254689,35381.82074947225,2.5428935424372754
5,3650.893913269043,0.8990944372574385,0.8990900255596683,0.8990944372574385,0.8990954062500361,9349.787826538086,0.67196980210853,17071.41425237728,1.2269235483956646,31267.068510244957,2.2471660565074716
6,4124.466294288635,0.883929854822481,0.8839237386156804,0.883929854822481,0.8839309164772584,10296.93258857727,0.740041151974793,18018.559014416463,1.2949948982619277,32214.21327228414,2.3152374063737344
7,3898.5010747909546,0.8891044990656892,0.889103948593386,0.8891044990656892,0.8891048376846142,9845.00214958191,0.7075608846903773,17566.628575421102,1.262514630977512,31762.28283328878,2.282757139089319
8,3349.763964653015,0.908150064683053,0.9081494498138154,0.908150064683053,0.9081504553485376,8747.52792930603,0.6286853478012095,16469.154355145223,1.1836390940883443,30664.8086130129,2.203881602200151
9,3501.916157722473,0.9032629006755786,0.9032600144570879,0.9032629006755786,0.9032637044645264,9051.832315444946,0.6505557219667203,16773.45874128414,1.205509468253855,30969.112999151817,2.225751976365662
10,3273.04199886322,0.9101624263331896,0.9101620625255309,0.9101624263331896,0.9101621558811507,8594.08399772644,0.6176573233956044,16315.710423565633,1.1726110696827392,30511.36468143331,2.192853577794546
11,3564.1435375213623,0.9008193186718413,0.9008181383220364,0.9008193186718413,0.9008188414145433,9176.287075042725,0.6595002928735608,16897.913500881918,1.2144540391606955,31093.567758749596,2.234696547272502
12,3573.401698112488,0.89995687796464,0.8999534031949308,0.89995687796464,0.899957743668947,9194.803396224976,0.6608310619681598,16916.42982206417,1.2157848082552947,31112.084079931847,2.2360273163671014
13,3289.1398420333862,0.9070720137990513,0.9070720017990141,0.9070720137990513,0.9070719808872127,8626.279684066772,0.6199712292702869,16347.906109905965,1.1749249755574216,30543.560367773644,2.1951674836692283
14,3522.0010747909546,0.9001006180825069,0.9001000896846385,0.9001006180825069,0.9001009672592359,9092.00214958191,0.6534427303134906,16813.628575421102,1.2083964766006254,31009.28283328878,2.228638984712432
15,4104.611660003662,0.878970820756073,0.8789708107536295,0.878970820756073,0.8789707975942405,10257.223320007324,0.7371872445024669,17978.849745846517,1.2921409907896015,32174.504003714195,2.3123834989014083
16,4704.381384849548,0.8537444300704327,0.8537436073756575,0.8537444300704327,0.8537441067996743,11456.762769699097,0.8233982154448107,19178.38919553829,1.3783519617319455,33374.04345340597,2.398594469843752
17,5155.092890739441,0.840160988932011,0.840156708817307,0.840160988932011,0.8401617500947524,12358.185781478882,0.8881835404253904,20079.812207318075,1.4431372867125252,34275.46646518575,2.463379794824332
18,5495.533885002136,0.8267931579703895,0.8267802738183283,0.8267931579703895,0.8267944147262611,13039.067770004272,0.9371185690674337,20760.694195843465,1.4920723153545685,34956.34845371114,2.512314823466375
19,5901.111328125,0.8073163719994251,0.8073163232311935,0.8073163719994251,0.8073164609938445,13850.22265625,0.9954163185460687,21571.849082089193,1.5503700648332035,35767.50333995687,2.57061257294501
20,6097.050061225891,0.797542043984476,0.7975388805196146,0.797542043984476,0.7975426286462718,14242.100122451782,1.023580575136681,21963.726548290975,1.578534321423816,36159.38080615865,2.598776829535623
21,6414.054475784302,0.7828805519620526,0.7828748983925693,0.7828805519620526,0.7828798346639436,14876.108951568604,1.0691468270496338,22597.735377407796,1.6241005733367684,36793.389635275475,2.644343081448575
22,6604.771991729736,0.7742561448900388,0.7742543713354292,0.7742561448900388,0.7742565637809441,15257.543983459473,1.0965605852709122,22979.170409298666,1.651514331558047,37174.824667166344,2.6717568396698534
23,6758.677528381348,0.7695127210004312,0.7694941173555297,0.7695127210004312,0.7695140282258738,15565.355056762695,1.1186829852495828,23286.98148260189,1.6736367315367175,37482.63574046957,2.693879239648524
24,6914.848398208618,0.7631881558142878,0.7631736220179282,0.7631881558142878,0.7631892976192818,15877.696796417236,1.1411310044859304,23599.32322225643,1.6960847507730652,37794.97748012411,2.716327258884872
