layer_number,loss,accuracy_score,f1_macro,f1_micro,balanced_accuracy_score,aic,aic_avg,bic,bic_avg,ebic,ebic_avg
1,15729.407821655273,0.6080323450134771,0.6053375797380175,0.6080323450134771,0.608018152549327,32994.81564331055,1.7786962610949082,39006.89249556187,2.1027974391138473,49211.7535256767,2.6529247183653206
2,11609.828483581543,0.7342857142857143,0.7326553246116898,0.7342857142857143,0.7342733616172591,24755.656967163086,1.3345367637284682,30767.73381941441,1.6586379417474075,40972.59484952924,2.2087652209988806
3,11257.89511680603,0.7422641509433963,0.7411054451525413,0.7422641509433963,0.7422529087145154,24051.79023361206,1.2965924654238308,30063.867085863385,1.6206936434427701,40268.728115978214,2.170820922694243
4,8697.737451553345,0.808355795148248,0.8080146553854287,0.808355795148248,0.8083473155591308,18931.47490310669,1.0205646848035952,24943.551755358014,1.3446658628225345,35148.41278547284,1.8947931420740076
5,8003.896898269653,0.8269541778975741,0.826853542387108,0.8269541778975741,0.8269471635787188,17543.793796539307,0.9457570779805556,23555.87064879063,1.2698582559994949,33760.73167890546,1.8199855352509682
6,8235.85602092743,0.8197843665768194,0.820066420930685,0.8197843665768194,0.8197785088481088,18007.71204185486,0.9707661478088873,24019.788894106183,1.2948673258278265,34224.64992422101,1.8449946050792998
7,8591.478494644165,0.8088409703504044,0.8086071084112879,0.8088409703504044,0.8088332755071163,18718.95698928833,1.0091081934926323,24731.033841539655,1.3332093715115716,34935.894871654484,1.883336650763045
8,8899.313831329346,0.8011320754716981,0.8011683635609542,0.8011320754716981,0.801124671091593,19334.62766265869,1.0422979872053202,25346.704514910016,1.3663991652242595,35551.565545024845,1.9165264444757328
9,9297.113508224487,0.7911590296495957,0.7914907628324502,0.7911590296495957,0.7911522644509391,20130.227016448975,1.085187440239837,26142.3038687003,1.4092886182587763,36347.16489881513,1.9594158975102496
10,10683.95975112915,0.757466307277628,0.7575791277709113,0.757466307277628,0.7574583264102307,22903.9195022583,1.2347126416311753,28915.996354509625,1.5588138196501147,39120.857384624454,2.108941098901588
11,11156.929069519043,0.7452291105121294,0.7444929647781077,0.7452291105121294,0.7452191355531624,23849.858139038086,1.2857066382230775,29861.93499128941,1.6098078162420166,40066.79602140424,2.15993509549349
12,11767.919456481934,0.7290026954177897,0.7289421164371332,0.7290026954177897,0.7289940861009351,25071.838912963867,1.351581612558699,31083.91576521519,1.6756827905776384,41288.77679533002,2.2258100698291114
