layer_number,loss,accuracy_score,f1_macro,f1_micro,balanced_accuracy_score,aic,aic_avg,bic,bic_avg,ebic,ebic_avg
1,21939.05708694458,0.643457868348698,0.6356213832495017,0.643457868348698,0.6434095643200051,45414.11417388916,1.8362491579285605,51647.08945505021,2.0882698307880565,61851.95048516504,2.500887533768601
2,17658.31667327881,0.7157124373281578,0.7103432325799435,0.7157124373281578,0.7156685767485371,36852.63334655762,1.4900789805336252,43085.60862771867,1.742099653393121,53290.4696578335,2.1547173563736655
3,15196.208850860596,0.7609574640142326,0.7578695633354576,0.7609574640142326,0.760915294022332,31928.41770172119,1.2909759704723107,38161.392982882244,1.5429966433318067,48366.25401299707,1.9556143463123514
4,14744.114196777344,0.7652434093482129,0.7632550240493243,0.7652434093482129,0.7652060924220226,31024.228393554688,1.2544164804122064,37257.20367471574,1.5064371532717022,47462.06470483057,1.919054856252247
5,16797.86794281006,0.7358078602620087,0.7323187927416261,0.7358078602620087,0.735762062506538,35131.73588562012,1.4204971650339688,41364.71116678117,1.6725178378934646,51569.572196896,2.0851355408740093
6,18530.22889328003,0.6951318130357431,0.6916264048973859,0.6951318130357431,0.6950894386102913,38596.45778656006,1.5605878128157875,44829.43306772111,1.8126084856752835,55034.29409783594,2.225226188655828
7,19139.715512275696,0.6898754649846353,0.6856669321787994,0.6898754649846353,0.6898310154748816,39815.43102455139,1.6098751020763138,46048.406305712444,1.8618957749358096,56253.26733582727,2.2745134779163543
8,19224.329837799072,0.6901989325570111,0.6844478211711815,0.6901989325570111,0.6901540382458282,39984.659675598145,1.6167175996926308,46217.6349567592,1.8687382725521267,56422.495986874026,2.281355975532671
9,17811.0106010437,0.715227235969594,0.711184174346361,0.715227235969594,0.7151860672315673,37158.0212020874,1.5024268640662868,43390.996483248455,1.7544475369257826,53595.857513363284,2.1670652399063273
10,17865.884464263916,0.7158337376677988,0.7105975093397829,0.7158337376677988,0.7157895693732405,37267.76892852783,1.5068643428969688,43500.744209688884,1.7588850157564646,53705.60523980371,2.1715027187370093
11,19095.447080612183,0.7022480996280123,0.6970610284084211,0.7022480996280123,0.702204136485051,39726.894161224365,1.6062952515455429,45959.86944238542,1.8583159244050387,56164.73047250025,2.2709336273855834
12,21387.48950767517,0.6678796700630761,0.6628665400401847,0.6678796700630761,0.6678324659543533,44310.97901535034,1.7916456014616828,50543.954296511394,2.0436662743211786,60748.81532662622,2.4562839773017235
