layer_number,loss,accuracy_score,f1_macro,f1_micro,balanced_accuracy_score,aic,aic_avg,bic,bic_avg,ebic,ebic_avg
1,46264.32474517822,0.2967814976548601,0.28025367063216466,0.2967814976548601,0.2967303067015355,96624.64949035645,3.9068676002893596,113245.91690678593,4.578922727914683,144476.35627409484,5.841677028711581
2,46692.501567840576,0.28966521106259097,0.2821002516986581,0.28966521106259097,0.2896267790897675,97481.00313568115,3.941492929632911,114102.27055211064,4.6135480572582335,145332.70991941955,5.876302358055133
3,47394.3215637207,0.2694889212356461,0.26250825984907733,0.2694889212356461,0.26945207166521745,98884.6431274414,3.9982469322109577,115505.9105438709,4.67030205983628,146736.3499111798,5.93305636063318
4,48483.58150100708,0.24175157690441534,0.2362776292777895,0.24175157690441534,0.2417246166461178,101063.16300201416,4.086331999111037,117684.43041844365,4.75838712673636,148914.86978575255,6.021141427533259
5,48600.42945480347,0.2405385735080058,0.23523988910975452,0.2405385735080058,0.24051243654671153,101296.85890960693,4.0957811300989375,117918.12632603642,4.767836257724261,149148.56569334533,6.03059055852116
6,48393.75677871704,0.24632055636422448,0.24098940070264338,0.24632055636422448,0.24629379982836758,100883.51355743408,4.079068152896413,117504.78097386357,4.751123280521735,148735.22034117248,6.013877581318635
7,46136.03173446655,0.29609412906356136,0.2884719109699896,0.29609412906356136,0.2960563823968112,96368.0634689331,3.896492943107436,112989.3308853626,4.568548070732759,144219.7702526715,5.831302371529658
8,46229.877616882324,0.29694323144104806,0.2893876514618045,0.29694323144104806,0.2969071778561625,96555.75523376465,3.904081968048061,113177.02265019414,4.576137095673384,144407.46201750304,5.8388913964702835
9,47150.12776565552,0.277252142972667,0.26924687600652353,0.277252142972667,0.2772146642617582,98396.25553131104,3.9784997384486105,115017.52294774052,4.650554866073933,146247.96231504943,5.913309166870833
10,46164.37982940674,0.2916060164968462,0.28362057427102816,0.2916060164968462,0.291566091912729,96424.75965881348,3.8987853654703817,113046.02707524296,4.570840493095704,144276.46644255187,5.833594793892604
