layer_number,loss,accuracy_score,f1_macro,f1_micro,balanced_accuracy_score,aic,aic_avg,bic,bic_avg,ebic,ebic_avg
1,45407.512939453125,0.309437166424066,0.3023058963283076,0.309437166424066,0.3093986588787471,92863.02587890625,3.7547721930659166,101173.65958712099,4.090799756878578,115369.31384498866,4.664778984513531
2,45518.13131713867,0.3098415008895358,0.3008526975904334,0.3098415008895358,0.3097982164730938,93084.26263427734,3.763717557588442,101394.89634249208,4.099745121401103,115590.55060035975,4.673724349036057
3,25533.961822509766,0.6068655992236778,0.5984770699555195,0.6068655992236778,0.6068140672519671,53115.92364501953,2.147659859494563,61426.557353234275,2.4836874233072246,75622.21161110196,3.0576666509421786
4,14781.288734436035,0.7694889212356462,0.7671789875829713,0.7694889212356462,0.7694413221601253,31610.57746887207,1.278124594406925,39921.211177086814,1.6141521582195866,54116.865434954496,2.1881313858545406
5,13771.776853561401,0.787117903930131,0.7854984506297612,0.787117903930131,0.7870720625255088,29591.553707122803,1.196488505059146,37902.18741533755,1.5325160688718076,52097.84167320523,2.1064952965067616
6,13997.080430984497,0.7842471292252952,0.7822275941036874,0.7842471292252952,0.7842002334552101,30042.160861968994,1.214708105368308,38352.79457018374,1.5507356691809695,52548.44882805142,2.1247148968159233
7,14394.186471939087,0.7775351770984958,0.7753568068685701,0.7775351770984958,0.7774920314008447,30836.372943878174,1.2468208371291514,39147.00665209292,1.582848400941813,53342.6609099606,2.156827628576767
8,15356.592483520508,0.7665777130842633,0.7651928200623876,0.7665777130842633,0.7665313936277793,32761.184967041016,1.3246476211806977,41071.81867525576,1.6606751849933592,55267.47293312344,2.234654412628313
9,16041.032495498657,0.7510512696102216,0.7490141166144244,0.7510512696102216,0.7510011803811807,34130.064990997314,1.3799961584585685,42440.69869921206,1.71602372227123,56636.35295707974,2.290002949906184
10,15068.022262573242,0.7638282387190685,0.7614319650941084,0.7638282387190685,0.7637783356866954,32184.044525146484,1.3013118439732527,40494.67823336123,1.637339407785914,54690.33249122891,2.2113186354208683
11,14968.686962127686,0.7683567847323306,0.7666360567109353,0.7683567847323306,0.7683104941865737,31985.37392425537,1.2932789068516648,40296.007632470115,1.629306470664326,54491.6618903378,2.2032856982992803
12,14888.653396606445,0.7701762898269449,0.7678548571074606,0.7701762898269449,0.770130252617062,31825.30679321289,1.2868068410647295,40135.940501427634,1.622834404877391,54331.594759295316,2.196813632512345
13,15632.772207260132,0.7609170305676856,0.7592031500752845,0.7609170305676856,0.760872724252858,33313.544414520264,1.3469814173750714,41624.17812273501,1.683008981187733,55819.83238060269,2.256988208822687
14,15146.627546310425,0.7692867540029112,0.767268232688678,0.7692867540029112,0.7692395277472333,32341.25509262085,1.3076684090498483,40651.88880083559,1.6436959728625098,54847.543058703275,2.217675200497464
15,16459.03053665161,0.7474122594209931,0.7444186549182812,0.7474122594209931,0.7473620502636265,34966.06107330322,1.4137983613659721,43276.69478151797,1.7498259251786337,57472.34903938565,2.3238051528135877
16,18028.182006835938,0.7245673621219473,0.7210068213938078,0.7245673621219473,0.7245160540606204,38104.364013671875,1.5406907655536097,46414.99772188662,1.8767183293662713,60610.6519797543,2.450697557001225
17,20115.887226104736,0.6935144751738638,0.6897631777490714,0.6935144751738638,0.6934593421310122,42279.77445220947,1.7095170003319373,50590.40816042422,2.0455445641445986,64786.0624182919,2.6195237917795526
18,20915.47190475464,0.6840934821284166,0.6805110501600541,0.6840934821284166,0.6840413596463456,43878.94380950928,1.7741769290598932,52189.57751772402,2.1102044928725547,66385.2317755917,2.6841837205075088
19,21058.157285690308,0.6842552159146046,0.6795076658692674,0.6842552159146046,0.6842014198517606,44164.314571380615,1.7857154525060899,52474.94827959536,2.121743016318751,66670.60253746304,2.695722243953705
20,21307.46463394165,0.6852660520782792,0.6800298473038552,0.6852660520782792,0.6852104437751902,44662.9292678833,1.8058761631846718,52973.562976098045,2.141903726997333,67169.21723396573,2.715882954632287
21,22449.032318115234,0.6665857997735727,0.6616937775111116,0.6665857997735727,0.666533496284025,46946.06463623047,1.8981911950602648,55256.69834444521,2.234218758872926,69452.3526023129,2.80819798650788
22,22354.391454696655,0.6701439430697073,0.6634861392868976,0.6701439430697073,0.670085494030354,46756.78290939331,1.8905378824758738,55067.416617608054,2.2265654462885354,69263.07087547574,2.8005446739234894
23,23845.637132644653,0.6454391072295003,0.6384012713075694,0.6454391072295003,0.645380984593728,49739.27426528931,2.0111302872913353,58049.90797350405,2.3471578511039968,72245.56223137173,2.921137078738951
24,20544.002073287964,0.695333980268478,0.6920542179761607,0.695333980268478,0.6952813761486342,43136.00414657593,1.7441373179110435,51446.63785479067,2.080164881723705,65642.29211265835,2.654144109358659
