layer_number,loss,accuracy_score,f1_macro,f1_micro,balanced_accuracy_score,aic,aic_avg,bic,bic_avg,ebic,ebic_avg
1,24285.531852722168,0.6185104318292092,0.6126899649092399,0.6185104318292092,0.6184637953212582,50619.063705444336,2.0467032065924444,58929.69741365908,2.382730770405106,73125.35167152676,2.95670999804006
2,23835.716819763184,0.6272036228368106,0.621897584705952,0.6272036228368106,0.6271623321850858,49719.43363952637,2.0103280624100908,58030.06734774111,2.3463556262227523,72225.7216056088,2.9203348538577063
3,24493.911163330078,0.6186721656153971,0.6132414005351019,0.6186721656153971,0.6186304225872865,51035.822326660156,2.063554194026369,59346.4560348749,2.3995817578390306,73542.11029274258,2.973560985473984
4,25119.704570770264,0.6110302442180171,0.6046128213657374,0.6110302442180171,0.6109868292080887,52287.40914154053,2.114160162604744,60598.04284975527,2.4501877264174055,74793.69710762295,3.0241669540523595
5,28014.03066253662,0.5583858968138444,0.5519162338848603,0.5583858968138444,0.5583393147224949,58076.06132507324,2.3482153212466943,66386.69503328798,2.6842428850593554,80582.34929115565,3.258222112694309
6,30954.01661682129,0.5159307779395116,0.5064566138444675,0.5159307779395116,0.5158788875847988,63956.03323364258,2.5859628511095982,72266.66694185731,2.9219904149222593,86462.32119972499,3.495969642557213
7,32037.526203155518,0.500040433446547,0.49248691680914713,0.500040433446547,0.4999941384987622,66123.05240631104,2.6735829049939768,74433.68611452577,3.009610468806638,88629.34037239345,3.583589696441592
8,35448.06509017944,0.4493368914766295,0.44121945130658635,0.4493368914766295,0.4492914078897333,72944.13018035889,2.949382588563759,81254.76388857362,3.28541015237642,95450.4181464413,3.8593893800113737
9,36852.55587768555,0.43178877567523855,0.4247983762535045,0.43178877567523855,0.43174390240479993,75753.1117553711,3.0629593949284772,84063.74546358583,3.3989869587411383,98259.3997214535,3.972966186376092
10,40376.43978881836,0.38007439754164646,0.37493131079490943,0.38007439754164646,0.38003258718513,82800.87957763672,3.3479249384456056,91111.51328585146,3.6839525022582666,105307.16754371913,4.257931729893221
11,41090.47103881836,0.3668526605207828,0.3603904387605935,0.3668526605207828,0.366809245460481,84228.94207763672,3.4056664272051074,92539.57578585146,3.741693991017769,106735.23004371913,4.315673218652722
12,41689.18005371094,0.3603428756267184,0.35316075348979303,0.3603428756267184,0.3603001985425206,85426.36010742188,3.4540821651068203,93736.99381563661,3.7901097289194814,107932.64807350429,4.364088956554435
13,43887.92842102051,0.3279556849425845,0.3215244728535992,0.3279556849425845,0.3279141815259967,89823.85684204102,3.6318881142665784,98134.49055025575,3.9679156780792395,112330.14480812343,4.5418949057141935
14,45336.70249938965,0.304342552159146,0.2991840510195772,0.304342552159146,0.3043042601999164,92721.4049987793,3.7490459727793666,101032.03870699403,4.085073536592028,115227.69296486171,4.659052764226981
15,45762.71513366699,0.2950832928998868,0.2907685169858869,0.2950832928998868,0.2950473825761316,93573.43026733398,3.783496290932152,101884.06397554872,4.119523854744814,116079.7182334164,4.693503082379767
16,46640.30683898926,0.2872796377163189,0.28275496962687324,0.2872796377163189,0.28724935440420696,95328.61367797852,3.8544644055466,103639.24738619325,4.190491969359261,117834.90164406093,4.764471196994215
17,46533.306438446045,0.2865114022319262,0.28157467536170433,0.2865114022319262,0.2864784176643257,95114.61287689209,3.8458116155948603,103425.24658510683,4.181839179407522,117620.9008429745,4.755818407042475
18,46408.26245880127,0.289624777616044,0.2867521678780559,0.289624777616044,0.28959856053736244,94864.52491760254,3.8356996974608824,103175.15862581728,4.171727261273543,117370.81288368495,4.745706488908497
19,46721.26036453247,0.2788694808345463,0.27548114987203653,0.2788694808345463,0.27884131223797876,95490.52072906494,3.861010865642283,103801.15443727968,4.1970384294549445,117996.80869514735,4.771017657089898
20,46328.51268005371,0.2868348698043021,0.28308306267037875,0.2868348698043021,0.2868053918147221,94705.02536010742,3.829250580628636,103015.65906832216,4.165278144441297,117211.31332618983,4.739257372076251
21,46302.6950340271,0.2851770984958758,0.28184584559181913,0.2851770984958758,0.28514385920969515,94653.3900680542,3.827162787807464,102964.02377626894,4.163190351620125,117159.67803413661,4.737169579255079
22,47224.38196563721,0.2652838427947598,0.2628600528137639,0.2652838427947598,0.26525478141455944,96496.76393127441,3.9016967463720853,104807.39763948915,4.237724310184746,119003.05189735683,4.8117035378197
23,49321.00905227661,0.2183406113537118,0.21251973455161363,0.2183406113537118,0.21831486972367936,100690.01810455322,4.07124446484527,109000.65181276796,4.407272028657931,123196.30607063563,4.981251256292885
24,50203.583614349365,0.20014556040756915,0.19755392873726696,0.20014556040756915,0.20012839575473995,102455.16722869873,4.142615527603863,110765.80093691347,4.478643091416524,124961.45519478114,5.052622319051477
