model,polyrhythms,dynamics,seventh_chords,mode_mixture,secondary_dominants
wav2vec2-large,0.3226784291610219,0.11990986008058584,2.0103280624100908,1.2772054537901578,1.6421635753703567
wav2vec2-base,0.8036186774794349,0.13986354573587367,2.361055343605719,1.3096622120499595,1.8368932945066385
MERT-v1-330M,0.1383227911093433,0.07837922893235974,0.41796970301879066,0.1692054690058219,0.43604415456561063
MERT-v1-95M,0.1289295044043262,0.0717931650279478,1.2909759704723107,0.5997030465308493,0.9707661478088873
jukebox,0.45003253131040505,0.3299023089298124,0.414642600785774,0.6936183934119651,0.5832699016612174
musicgen-large,0.2725883299229192,0.1587546297410407,0.8578130051712957,0.9212490768290053,1.6102890898917885
musicgen-medium,0.3913173931987346,0.1281281907452117,1.431236976908573,0.9795645477615144,1.6500473265120925
musicgen-small,0.7641542595864232,0.12559807833827075,1.196488505059146,0.6286853478012095,1.1751179006735912
musicgen-audio,2.9801283863968764,0.8807310287726177,3.8052299431028556,1.3672382672216523,2.2107525647104267
baseline-mel,3.4089143541124134,0.49264513627938744,3.003411809584093,1.0478220724829899,2.101715080487439
baseline-mfcc,4.816078214529627,0.3759316444593566,3.7302128302709736,1.3213684336454066,2.1420443758488985
baseline-chroma,5.508475758670982,1.1592732221574167,4.077384060300247,1.1608070306639502,1.682741141512066
baseline-concat,1.7632036795024,0.2124058216992485,2.519260024901021,0.6949032654240674,1.3253921138629758
