model,polyrhythms,dynamics,seventh_chords,mode_mixture,secondary_dominants
wav2vec2-large,2431.8859763145447,721.0481937527657,23835.716819763184,7861.518342018127,14207.067161560059
wav2vec2-base,7838.7560358047485,1267.4341810941696,28428.81037902832,8343.320009231567,16269.185306549072
MERT-v1-330M,457.4370927810669,116.65291865263134,4144.613347530365,153.16244787350297,3020.309533596039
MERT-v1-95M,612.8349921703339,276.80593065172434,15196.208850860596,3404.1340947151184,8235.85602092743
jukebox,19.848410334438086,1.0683018555598665,327.4704013168812,25.503162967041135,609.8283379077911
musicgen-large,871.4210134744644,262.35612662136555,8559.715621948242,4361.12982749939,12887.431308746338
musicgen-medium,2655.0092811584473,328.64955991506577,16162.676456451416,5278.8305587768555,13768.188953399658
musicgen-small,7160.092120170593,803.8288340568542,13771.776853561401,3349.763964653015,9875.218528747559
musicgen-audio,31789.175018310547,12689.278661727905,46927.47347640991,9383.876625061035,20376.73003768921
baseline-mel,35741.472732543945,6401.464668273926,36372.190437316895,6521.69815826416,18725.407371520996
baseline-mfcc,51460.197677612305,5350.933221817017,46007.81185913086,9072.760192871094,19747.461585998535
baseline-chroma,58923.77537536621,16798.903202056885,50348.93128967285,8003.734512329102,15535.424087524414
baseline-concat,17923.911407470703,2131.141923189163,30193.169467926025,3874.442017555237,11333.011856079102
