layer_number,loss,accuracy_score,f1_macro,f1_micro,balanced_accuracy_score,aic_pr,aic_pr_avg,bic_pr,bic_pr_avg,ebic_pr,ebic_pr_avg,aic_rep,aic_rep_avg,bic_rep,bic_rep_avg,ebic_rep,ebic_rep_avg,aic_cls,aic_cls_avg,bic_cls,bic_cls_avg,ebic_cls,ebic_cls_avg
1,183.84531098604202,0.9672919672919673,0.9568945860638981,0.9672919672919673,0.9726780933130418,383.9684578180313,0.06156300429982865,438.8105587604789,0.07035602994396006,472.93960172691754,0.07582805863827442,2415.690621972084,0.3873161170389745,9315.663308334833,1.4936128440491956,23511.317566202513,3.769651686099489,14717.690621972084,2.35973875612828,63064.66720854701,10.111378420482124,190469.10509155624,30.538577054923238
2,80.90510204434395,0.9858906525573192,0.981888022372127,0.9858906525573192,0.9892576373272314,178.39527183771133,0.02860273718738357,234.2724761686378,0.03756172457409617,269.35579031072587,0.04318675489990795,2209.810204088688,0.35430659036214335,9109.782890451437,1.4606033173723645,23305.437148319117,3.736642159422658,14511.810204088688,2.326729229451449,62858.78679066362,10.078368893805294,190263.22467367284,30.505567528246406
3,123.24109148979187,0.9847683181016514,0.9803657981609437,0.9847683181016514,0.9873573466945464,265.99028158187866,0.04264715112744567,331.71554892499694,0.05318511286275404,376.1488045546828,0.06030925197285278,2294.4821829795837,0.36788234455340446,9194.454869342333,1.4741790715636256,23390.109127210013,3.750217913613919,14596.482182979584,2.34030498364271,62943.45876955451,10.091944647996554,190347.89665256374,30.519143282437668
4,70.80953873693943,0.9882956549623216,0.9850404126192972,0.9882956549623216,0.9913838587078024,161.29749277234077,0.025861390535889175,227.59657874416212,0.03649135461666861,272.58882111468915,0.043705118023839855,2189.619077473879,0.35106927649092173,9089.591763836628,1.4573660035011429,23285.246021704308,3.733404845551436,14491.619077473879,2.3234919155802274,62838.59566404881,10.075131579934071,190243.03354705803,30.502330214375185
5,71.97118310630322,0.9910213243546577,0.9882286666395277,0.9910213243546577,0.9928372851488013,162.18412646651268,0.02600354761367848,223.64293872390073,0.035857453699519114,263.9675588704816,0.04232284092840814,2191.9423662126064,0.3514417774911987,9091.915052575356,1.45773850450142,23287.569310443036,3.7337773465517134,14493.942366212606,2.3238644165805047,62840.918952787535,10.07550408093435,190245.35683579676,30.502702715375463
6,55.66236103326082,0.9937469937469937,0.9920240357312472,0.9937469937469937,0.9945192724977314,129.45513512194157,0.020755994087212053,190.53880449443767,0.03054975220369371,230.50627920886217,0.03695787705769796,2159.3247220665216,0.34621207665007564,9059.297408429271,1.4525088036602967,23254.95166629695,3.72854764571059,14461.324722066522,2.3186347157393814,62808.30130864145,10.070274380093226,190212.73919165067,30.49747301453434
7,56.37831822037697,0.9897386564053231,0.9870184296302886,0.9897386564053231,0.9926139845609605,130.55663758516312,0.02093260182542298,190.5271071719058,0.03054787673110563,229.4388240367412,0.03678672824061908,2160.756636440754,0.346441660484328,9060.729322803503,1.4527383874945492,23256.383580671183,3.7287772295448427,14462.756636440754,2.318864299573634,62809.73322301568,10.070503963927479,190214.1711060249,30.49770259836859
8,38.12835599295795,0.9956709956709957,0.9943797753124937,0.9956709956709957,0.9965321339803526,94.6681003831327,0.01517846727322955,156.6984114470057,0.02512400375934034,197.56841956125356,0.03167683494648927,2124.256711985916,0.3405895000779086,9024.229398348665,1.4468862270881298,23219.883656216345,3.722925069138423,14426.256711985916,2.3130121391672143,62773.233298560845,10.064651803521059,190177.67118157007,30.49185043796217
9,57.549459744244814,0.9915023248356581,0.9905912172764669,0.9915023248356581,0.994067674017964,132.99820003658533,0.021324066063265246,193.30315457145076,0.03099297010925938,232.53145831083071,0.03728258109841762,2163.0989194884896,0.3468172069085281,9063.071605851239,1.4531139339187493,23258.72586371892,3.729152775969043,14465.09891948849,2.3192398459978336,62812.07550606342,10.070879510351679,190216.51338907264,30.498078144792792
10,29.16634918190539,0.996312329645663,0.9949216691006987,0.996312329645663,0.9970313215686836,76.19670822098851,0.012216884434982927,136.38283130860634,0.02186673581988237,175.49859969557053,0.028138303622826766,2106.332698363811,0.3377156803533447,9006.30538472656,1.4440124073635658,23201.95964259424,3.720051249413859,14408.33269836381,2.3101383194426504,62755.30928493874,10.061777983796494,190159.74716794796,30.488976618237608
