layer_number,loss,accuracy_score,f1_macro,f1_micro,balanced_accuracy_score,aic_pr,aic_pr_avg,bic_pr,bic_pr_avg,ebic_pr,ebic_pr_avg,aic_rep,aic_rep_avg,bic_rep,bic_rep_avg,ebic_rep,ebic_rep_avg,aic_cls,aic_cls_avg,bic_cls,bic_cls_avg,ebic_cls,ebic_cls_avg
1,1114.8196272850037,0.778419111752445,0.738411911065289,0.778419111752445,0.7855934102739087,2238.5353384017944,0.35891219150261255,2268.5073771981442,0.363717713195149,2281.7844615807267,0.3658464745199177,11829.639254570007,1.8966873905034483,44173.261221895395,7.08245329836386,125546.42471209684,20.12929689146975,69443.63925457001,11.134141294624019,295896.1608078834,47.4420652249292,996433.3806528859,159.7616451263245
2,268.28735756874084,0.9554272887606221,0.9463178924441731,0.9554272887606221,0.9563635407214529,546.8384747505188,0.08767652312818965,581.4183873429745,0.09322084132483156,598.204479412954,0.09591221411142441,10136.574715137482,1.625232437892814,42480.19668246287,6.810998345753226,123853.36017266431,19.857841938859117,67750.57471513748,10.862686342013385,294203.0962684509,47.17061027231857,994740.3161134534,159.49019017371387
3,152.9179204404354,0.9714606381273048,0.964006887178533,0.9714606381273048,0.9758737881327738,317.3825280070305,0.05088704954417676,356.2847866928108,0.05712438459079859,376.52903244745403,0.06037021523929037,9905.83584088087,1.588237268058501,42249.45780820626,6.774003175918913,123622.6212984077,19.820846769024804,67519.83584088087,10.825691172179072,293972.3573941943,47.13361510248426,994509.5772391967,159.45319500387956
4,178.06575855612755,0.9679333012666346,0.9589798954929422,0.9679333012666346,0.9724635394063729,368.32431477308273,0.059054724190008456,409.40340209244715,0.0656410777765668,431.4443010842968,0.0691749721154877,9956.131517112255,1.5963013495450145,42299.75348443764,6.782067257405426,123672.91697463908,19.828910850511317,67570.13151711226,10.833755253665585,294022.6530704257,47.141679183970766,994559.8729154281,159.46125908536607
5,66.72823509573936,0.9884559884559885,0.9861018641790237,0.9884559884559885,0.9914866979655711,146.29422920942307,0.02345586487244237,189.54627343692454,0.0303906162316698,213.41479513200937,0.0342175397037052,9733.456470191479,1.5605990813197816,42077.078437516866,6.746364989180194,123450.2419277183,19.793208582286084,67347.45647019148,10.798052985440352,293799.9780235049,47.105976915745536,994337.1978685074,159.42555681714083
6,169.7895369231701,0.9680936347603014,0.9602112455353957,0.9680936347603014,0.9716813298089189,353.0028552412987,0.05659818105520261,398.2292834507313,0.06384949229609288,423.7865619759378,0.0679471800506554,9939.57907384634,1.5936474384874684,42283.20104117173,6.77941334634788,123656.36453137317,19.82625693945377,67553.57907384634,10.83110134260804,294006.10062715976,47.13902527291322,994543.3204721622,159.4586051743085
7,58.49315975001082,0.9895783229116563,0.9872098974944253,0.9895783229116563,0.9911574019279072,130.82509990315884,0.020975645326785128,177.4497125956485,0.02845113237063468,204.21844751280182,0.03274305716094305,9716.986319500022,1.5579583645182014,42060.60828682541,6.743724272378613,123433.77177702685,19.790567865484505,67330.98631950002,10.795412268638772,293783.50787281344,47.10333619894396,994320.7277178159,159.42291610033925
8,74.49609242752194,0.9860509860509861,0.9830849222287416,0.9860509860509861,0.9886950460935547,163.02020666748285,0.02613759927328569,210.28239775612042,0.03371531148887613,237.6077176958205,0.038096475500372054,9748.992184855044,1.563089976728402,42092.61415218043,6.748855884588814,123465.77764238187,19.795699477694704,67362.99218485504,10.800543880848974,293815.51373816846,47.108467811154156,994352.7335831709,159.42804771254944
9,60.501768896356225,0.9889369889369889,0.9884265574240458,0.9889369889369889,0.9902607803684854,135.13698925450444,0.021666985610791157,182.7543862517693,0.029301649230682906,210.3908983486885,0.03373270776794749,9721.003537792712,1.5586024591618908,42064.6255051181,6.744368367022302,123437.78899531954,19.791211960128194,67335.00353779271,10.796056363282462,293787.52509110613,47.10398029358765,994324.7449361086,159.42356019498294
10,100.45811403542757,0.9842873176206509,0.9808981244313524,0.9842873176206509,0.9876858536841967,215.18999935686588,0.03450216439904856,263.2801517029904,0.04221262653567266,291.33205868830527,0.046710286786645065,9800.916228070855,1.5714151399825005,42144.53819539624,6.757181047842912,123517.70168559768,19.804024640948803,67414.91622807086,10.808869044103071,293867.4377813843,47.116792974408256,994404.6576263867,159.43637287580356
11,14.094509475136874,0.9959916626583293,0.9951669023602986,0.9959916626583293,0.996529240804303,42.961372122575995,0.006888146885133236,92.73131030723889,0.014867934953862256,122.27025817619719,0.019604017664934616,9628.189018950274,1.543721183092877,41971.81098627566,6.729487090953288,123344.9744764771,19.77633068405918,67242.18901895027,10.781175087213448,293694.7105722637,47.08909901751863,994231.9304172661,159.40867891891392
12,33.436795762274414,0.9934263267596601,0.9926967414333545,0.9934263267596601,0.9947381018134954,82.60888682026416,0.013244971431820452,135.62309958993606,0.02174492537917846,168.081224112142,0.02694904988169665,9666.873591524549,1.5499236157647185,42010.495558849936,6.73568952362513,123383.65904905138,19.78253311673102,67280.87359152455,10.78737751988529,293733.39514483797,47.09530145019047,994270.6149898404,159.41488135158576
13,82.82533103972673,0.9799583132916466,0.9759463811738883,0.9799583132916466,0.9853271261556265,181.0042835623026,0.029021049152205002,232.73258867383151,0.03731482903220002,264.02640435967874,0.04233227583127765,9765.650662079453,1.5657608885809609,42109.27262940484,6.7515267964413725,123482.43611960628,19.798370389547262,67379.65066207945,10.803214792701532,293832.1722153929,47.11113872300671,994369.3920603953,159.430718624402
14,38.225969104329124,0.9915023248356581,0.9889996203607035,0.9915023248356581,0.9933946160623874,92.66431957157329,0.014857194095169678,147.28589602909784,0.023614862278194298,181.21237925094016,0.029054413860981267,9676.451938208658,1.5514593455521337,42020.073905534045,6.737225253412546,123393.23739573549,19.784068846518437,67290.45193820866,10.788913249672705,293742.9734915221,47.09683717997789,994280.1933365245,159.41641708137317
