layer_number,loss,accuracy_score,f1_macro,f1_micro,balanced_accuracy_score,aic,aic_avg,bic,bic_avg,ebic,ebic_avg
1,2382.7050018310547,0.5481802148468815,0.4995373325072044,0.5481802148468815,0.5282517745885689,33451.41000366211,5.363381433968592,130098.19539477628,20.859098187393986,404652.3975849581,64.87933262545424
2,1902.5879554748535,0.6129549462882796,0.5720661872254017,0.6129549462882796,0.6098825353735541,32491.175910949707,5.209423747146017,129137.96130206388,20.70514050057141,403692.1634922457,64.72537493863167
3,1401.8139953613281,0.7221420554753888,0.6836321451679807,0.7221420554753888,0.7239250493924471,31489.627990722656,5.048842070021269,128136.41338183683,20.54455882344666,402690.61557201867,64.56479326150692
4,1350.731083869934,0.7380150713484047,0.695938035806865,0.7380150713484047,0.7329805561221592,31387.462167739868,5.032461466689092,128034.24755885404,20.528178220114484,402588.4497490359,64.54841265817474
5,1307.516682624817,0.742344075677409,0.7019423715154719,0.742344075677409,0.7418940230172579,31301.033365249634,5.018604034832393,127947.8187563638,20.514320788257784,402502.02094654564,64.53455522631805
6,1322.6642875671387,0.7426647426647427,0.6980986327609552,0.7426647426647427,0.735944959144381,31331.328575134277,5.023461371674568,127978.11396624845,20.51917812509996,402532.3161564303,64.53941256316021
7,1175.5947456359863,0.7867564534231201,0.7478496862829015,0.7867564534231201,0.7869212157942789,31037.189491271973,4.976301024734965,127683.97488238614,20.472017778160357,402238.177072568,64.49225221622062
8,1130.99436378479,0.7936507936507936,0.7596526872013947,0.7936507936507936,0.797966987014564,30947.98872756958,4.961999154652811,127594.77411868375,20.457715908078203,402148.9763088656,64.47795034613846
9,996.2686862945557,0.8172198172198172,0.7864087052327982,0.8172198172198172,0.8264310770757209,30678.53737258911,4.918797077535531,127325.32276370328,20.414513830960924,401879.5249538851,64.43474826902118
10,895.9922642707825,0.8385441718775052,0.8086984836007028,0.8385441718775052,0.8466769298869282,30477.984528541565,4.8866417393845705,127124.76991965574,20.382358492809963,401678.9721098376,64.40259293087023
11,750.20454454422,0.8674042007375341,0.8469920899373824,0.8674042007375341,0.8780592160947887,30186.40908908844,4.83989243050961,126833.19448020261,20.335609183935002,401387.39667038445,64.35584362199526
12,599.4869093894958,0.8965848965848966,0.8775319464896374,0.8965848965848966,0.9061512672195039,29884.97381877899,4.791562260506492,126531.75920989316,20.287279013931883,401085.961400075,64.30751345199215
13,480.5838477611542,0.927689594356261,0.9142750150636952,0.927689594356261,0.9353555458743282,29647.16769552231,4.7534339739493845,126293.95308663648,20.249150727374776,400848.1552768183,64.26938516543504
14,432.63465571403503,0.9349046015712682,0.9224733219760417,0.9349046015712682,0.943516932494704,29551.26931142807,4.738058250990552,126198.05470254224,20.233775004415943,400752.2568927241,64.2540094424762
15,388.88148045539856,0.9401956068622735,0.9287493907284254,0.9401956068622735,0.9492886060627427,29463.762960910797,4.724028052094083,126110.54835202497,20.219744805519476,400664.7505422068,64.23997924357974
16,352.99927031993866,0.948051948051948,0.9388920465384489,0.948051948051948,0.9558408775556971,29391.998540639877,4.712521811871072,126038.78393175405,20.208238565296465,400592.9861219359,64.22847300335673
17,304.5022885799408,0.9565496232162899,0.9494588739996151,0.9565496232162899,0.9622213828094417,29295.00457715988,4.6969704308417315,125941.78996827405,20.192687184267125,400495.9921584559,64.21292162232739
18,264.4315490722656,0.9628026294692962,0.9563416138816017,0.9628026294692962,0.9674296425192791,29214.86309814453,4.684121067523574,125861.6484892587,20.179837820948965,400415.85067944054,64.20007225900923
19,817.6745924949646,0.8576238576238576,0.828396174278429,0.8576238576238576,0.8731421262941297,30321.34918498993,4.8615278475212325,126968.1345761041,20.357244600946625,401522.33676628594,64.37747903900689
20,746.5974888801575,0.8741382074715408,0.8453395051364134,0.8741382074715408,0.8906717009049149,30179.194977760315,4.83873576683667,126825.98036887449,20.33445252026206,401380.1825590563,64.35468695832232
21,659.1692750453949,0.8898508898508899,0.8629943396707528,0.8898508898508899,0.9048525893226135,30004.33855009079,4.8107004248983145,126651.12394120496,20.306417178323706,401205.3261313868,64.32665161638397
22,597.6091575622559,0.8991502324835658,0.8726171858668208,0.8991502324835658,0.9133093597043253,29881.21831512451,4.790960127485091,126528.00370623868,20.286676880910484,401082.2058964205,64.30691131897075
23,527.6610562801361,0.9087702421035755,0.8829311943700062,0.9087702421035755,0.9240789473316048,29741.322112560272,4.768530080577245,126388.10750367444,20.264246834002638,400942.3096938563,64.28448127206289
24,490.9533224105835,0.9121372454705788,0.8863456974774524,0.9121372454705788,0.9264839488887154,29667.906644821167,4.756759122145449,126314.69203593534,20.25247587557084,400868.8942261172,64.2727103136311
25,480.24878096580505,0.9161455828122494,0.8894484861025295,0.9161455828122494,0.9288868463177898,29646.49756193161,4.753326529089564,126293.28295304578,20.249043282514958,400847.4851432276,64.26927772057522
26,472.8846740722656,0.9163059163059163,0.8911338898778423,0.9163059163059163,0.9310220773955372,29631.76934814453,4.7509651031176094,126278.5547392587,20.246681856543002,400832.75692944054,64.26691629460326
27,453.6252610683441,0.913740580407247,0.8874753740211563,0.913740580407247,0.9304724075225934,29593.25052213669,4.744789245171828,126240.03591325086,20.24050599859722,400794.2381034327,64.26074043665749
28,443.0080511569977,0.9142215808882476,0.886404357008748,0.9142215808882476,0.9310273712921389,29572.016102313995,4.741384656455667,126218.80149342817,20.23710140988106,400773.00368361,64.25733584794132
29,429.7134325504303,0.918390251723585,0.8904751126003633,0.918390251723585,0.9314839670759925,29545.42686510086,4.737121511159349,126192.21225621503,20.232838264584743,400746.41444639687,64.253072702645
30,410.30739879608154,0.9268879268879269,0.901823885826673,0.9268879268879269,0.9390459905868251,29506.614797592163,4.730898636779247,126153.40018870634,20.22661539020464,400707.6023788882,64.2468498282649
31,121.46238818764687,0.985249318582652,0.9820408235612376,0.985249318582652,0.9888089320235135,28928.924776375294,4.638275577421083,125575.71016748947,20.133992330846475,400129.9123576713,64.15422676890674
32,67.89588071405888,0.9919833253166587,0.9903735863043688,0.9919833253166587,0.9939564182480504,28821.791761428118,4.621098566847542,125468.57715254229,20.116815320272934,400022.7793427241,64.13704975833319
33,88.04804912209511,0.9921436588103255,0.9901156037030231,0.9921436588103255,0.9942922896858274,28862.09609824419,4.627560701979188,125508.88148935836,20.12327745540458,400063.0836795402,64.14351189346483
34,326.19654977321625,0.9413179413179413,0.9167393560820309,0.9413179413179413,0.948164179066892,29338.393099546432,4.703927064221009,125985.1784906606,20.1996438176464,400539.38068084244,64.21987825570666
35,354.71183705329895,0.9363476030142697,0.9125961473798883,0.9363476030142697,0.9464732491738079,29395.423674106598,4.713070975486067,126042.20906522077,20.20878772891146,400596.4112554026,64.22902216697172
