layer_number,loss,accuracy_score,f1_macro,f1_micro,balanced_accuracy_score,aic_pr,aic_pr_avg,bic_pr,bic_pr_avg,ebic_pr,ebic_pr_avg,aic_rep,aic_rep_avg,bic_rep,bic_rep_avg,ebic_rep,ebic_rep_avg,aic_cls,aic_cls_avg,bic_cls,bic_cls_avg,ebic_cls,ebic_cls_avg
1,2830.90020942688,0.5032868366201699,0.450759794634804,0.5032868366201699,0.47360975755800266,5669.648895263672,0.9090346152418907,5696.091411307596,0.9132742362205541,5706.821630391027,0.914994649734011,8733.80041885376,1.4003207341436203,19083.759448397883,3.059765824658952,41622.829647307684,6.6735336936520255,27179.80041885376,4.357832358321911,99676.68140769831,15.98151056721153,299438.98906053405,48.01009925613822
2,1330.171362876892,0.7598204264870931,0.7166170319735474,0.7598204264870931,0.7588181851503962,2684.355625152588,0.43039211562491386,2765.2581397874133,0.44336349844274703,2824.940858175471,0.45293263719343774,5732.342725753784,0.9190865361157262,16082.301755297907,2.5785316266310576,38621.37195420771,6.192299495624131,24178.342725753784,3.876598160294017,96675.22371459834,15.500276369183636,296437.5313674341,47.52886505811032
3,1432.0659747123718,0.7404200737534071,0.6915136102999738,0.7404200737534071,0.7293773319936304,2893.996760368347,0.46400461125033626,2994.615109877259,0.48013710275408994,3075.3556311975917,0.49308251261785985,5936.131949424744,0.9517607743185416,16286.090978968867,2.611205864833873,38825.16117787867,6.224973733826947,24382.131949424744,3.9092723984968325,96879.0129382693,15.532950607386452,296641.32059110503,47.561539296313136
4,1351.6260271072388,0.7477954144620811,0.7037989934351767,0.7477954144620811,0.7432770730907488,2734.255121231079,0.4383926761633925,2838.70840033656,0.45514003532733044,2923.6859128006145,0.4687647767838086,5775.2520542144775,0.9259663386587266,16125.2110837586,2.585411429174058,38664.2812826684,6.199179298167132,24221.252054214478,3.8834779628370173,96718.13304305903,15.507156171726637,296480.44069589477,47.535744860653324
5,1452.2651567459106,0.7348084014750681,0.686176109867774,0.7348084014750681,0.7230507282325577,2935.952751159668,0.4707315618341619,3041.8189433701555,0.4877054582924732,3128.3681195221952,0.5015821900789154,5976.530313491821,0.9582379851678405,16326.489343035944,2.617683075683172,38865.559541945746,6.231450944676246,24422.53031349182,3.9157496093461313,96919.41130233638,15.539427818235751,296681.7189551721,47.56801650716243
6,1249.6205677986145,0.7627064293730961,0.7227003768724544,0.7627064293730961,0.7610012123918591,2530.659707069397,0.40574951211630544,2636.5128735745216,0.4227213201177684,2723.04753553599,0.43659572479332853,5571.241135597229,0.8932565553306444,15921.200165141352,2.552701645845976,38460.27036405115,6.16646951483905,24017.24113559723,3.8507681795089352,96514.12212444178,15.474446388398555,296276.4297772775,47.50303507732524
7,1235.5768032073975,0.7676767676767676,0.7260789128780614,0.7676767676767676,0.7695172453158668,2501.8200035095215,0.40112554168823494,2605.1389987940756,0.41769103716435396,2688.858884919894,0.43111413899629536,5543.153606414795,0.8887531836483558,15893.112635958918,2.5481982741636875,38432.18283486872,6.161966143156762,23989.153606414795,3.8462648078266466,96486.03459525935,15.469943016716266,296248.3422480951,47.498531705642954
8,1144.4891090393066,0.7934904601571269,0.7580361500046735,0.7934904601571269,0.794140003419208,2319.474561691284,0.37188945994729583,2422.2206251489806,0.3883630952619818,2505.3066827372804,0.40168457315011713,5360.978218078613,0.8595443671763049,15710.937247622736,2.5189894576916365,38250.00744653254,6.13275732668471,23806.978218078613,3.8170559913545956,96303.85920692317,15.440734200244215,296066.1668597589,47.4693228891709
9,1059.0165419578552,0.8111271444604778,0.7795883518186569,0.8111271444604778,0.8149215750629492,2148.193070411682,0.3444273000499731,2249.8059039289055,0.36071924064917515,2331.6410730904126,0.3738401592256554,5190.03308391571,0.8321361365906221,15539.992113459833,2.4915812271059536,38079.062312369635,6.105349096099028,23636.03308391571,3.789647760768913,96132.91407276026,15.413325969658532,295895.221725596,47.44191465858522
10,905.8303809165955,0.8439955106621774,0.8169753308729714,0.8439955106621774,0.8504704097201762,1841.5621061325073,0.295264086280665,1942.3035411670833,0.3114163125167682,2023.179389340629,0.3243834198077007,4883.660761833191,0.7830143918283134,15233.619791377314,2.442459482343645,37772.689990287116,6.056227351336719,23329.66076183319,3.7405260160066045,95826.54175067774,15.364204224896223,295588.8494035135,47.39279291382291
11,803.0661668777466,0.8637165303831971,0.8401782173541364,0.8637165303831971,0.8705025200570689,1635.588628768921,0.26223963905225606,1734.8306361097875,0.27815145680772607,1814.0610133387681,0.2908547399933892,4678.132333755493,0.7500613009067649,15028.091363299616,2.4095063914220964,37567.16156220942,6.02327426041517,23124.132333755493,3.707572925085056,95621.01332260005,15.331251133974675,295383.3209754358,47.35983982290136
12,669.6545190811157,0.8951418951418951,0.8791659388958404,0.8951418951418951,0.906577582586326,1369.2463035583496,0.21953604353989892,1470.1087613403847,0.23570767377591545,1551.1177122803679,0.24869612189840754,4411.309038162231,0.7072805897326009,14761.268067706354,2.3667256802479324,37300.338266616156,5.9804935492410065,22857.30903816223,3.6647922139108915,95354.19002700679,15.288470422800511,295116.4976798425,47.3170591117272
13,592.9664266109467,0.9071669071669072,0.8938687821515822,0.9071669071669072,0.9194733915941765,1216.4026789665222,0.19503009122439027,1319.0594003513718,0.2114894020124053,1402.046702652967,0.22479504612040516,4257.932853221893,0.682689250155827,14607.891882766016,2.3421343406711586,37146.96208167582,5.955902209664233,22703.932853221893,3.640200874334118,95200.81384206645,15.263879083223737,294963.1214949022,47.292467772150424
14,534.0443060398102,0.9190315856982524,0.9075387558881126,0.9190315856982524,0.9313327832381579,1098.4790692329407,0.17612298689000172,1200.8683877309816,0.19253942403895807,1283.5602623969464,0.2057977012020116,4140.08861207962,0.6637948712649704,14490.047641623743,2.323239961780302,37029.117840533545,5.937007830773376,22586.08861207962,3.621306495443261,95082.96960092417,15.24498470433288,294845.2772537599,47.27357339325957
15,444.6984362602234,0.9331409331409332,0.9225173251517136,0.9331409331409332,0.9433142478847498,920.5016794204712,0.14758725018766575,1025.2977331434965,0.16438956760357487,1110.6560185873234,0.1780753597221939,3961.396872520447,0.6351446003720453,14311.35590206457,2.294589690887377,36850.42610097437,5.908357559880451,22407.396872520447,3.5926562245503364,94904.277861365,15.216334433439956,294666.58551420073,47.24492312236664
16,373.19446873664856,0.9464486131152798,0.9376285766545506,0.9464486131152798,0.9546163086151452,777.0395436286926,0.12458546474726513,880.3053372286394,0.14114243021142206,963.9663291939991,0.15455608933686052,3818.388937473297,0.6122156385238572,14168.34796701742,2.271660729039189,36707.41816592722,5.885428598032263,22264.388937473297,3.569727262702148,94761.26992631785,15.193405471591767,294523.5775791536,47.22199416051845
17,306.41045224666595,0.9621612954946288,0.9556375778764931,0.9621612954946288,0.9673104626927188,643.90518450737,0.10323956782224948,748.6320805386758,0.1200307969438313,833.9135145364644,0.13370426720161366,3684.820904493332,0.5908002091539734,14034.779934037455,2.250245299669305,36573.85013294726,5.864013168662379,22130.820904493332,3.548311833332264,94627.70189333789,15.171990042221884,294390.0095461736,47.20057873114857
18,311.3554861545563,0.9568702902036236,0.9502436517429348,0.9568702902036236,0.9652429442459234,654.4208855628967,0.10492558691083802,761.2556196146755,0.12205477306632605,848.8853970878093,0.1361047614378402,3694.7109723091125,0.5923859182794793,14044.670001853236,2.251831008794811,36583.74020076304,5.8655988777878845,22140.710972309113,3.5498975424577703,94637.59196115367,15.17357575134739,294399.8996139894,47.202164440274075
