layer_number,loss,accuracy_score,f1_macro,f1_micro,balanced_accuracy_score,aic_pr,aic_pr_avg,bic_pr,bic_pr_avg,ebic_pr,ebic_pr_avg,aic_rep,aic_rep_avg,bic_rep,bic_rep_avg,ebic_rep,ebic_rep_avg,aic_cls,aic_cls_avg,bic_cls,bic_cls_avg,ebic_cls,ebic_cls_avg
1,1456.3816394805908,0.7677072843235985,0.7677060017182022,0.7677072843235985,0.7677104292421194,2956.05366897583,0.9922973041207889,3085.9106171031253,1.035888088990643,3219.0191967826013,1.0805703916692182,4448.763278961182,1.493374715999054,9056.258666644982,3.040033120726748,19261.119696759808,6.465632660879425,5988.763278961182,2.010326713313589,15215.75274023421,5.107671279031289,37788.17328983596,12.684851725356147
2,1289.0813074111938,0.8053037932192011,0.8053011385661099,0.8053037932192011,0.8053008913697237,2621.1352214813232,0.879870836348212,2750.0389239408255,0.9231416327428081,2881.8537728893266,0.9673896518594584,4114.162614822388,1.381054922733262,8721.658002506188,2.9277133274609564,18926.519032621014,6.353312867613633,5654.162614822388,1.8980069200477971,14881.152076095415,4.995351485765497,37453.57262569717,12.572531932090355
3,1173.6026363372803,0.8277945619335347,0.8277933200268593,0.8277945619335347,0.8277926970424698,2399.604537963867,0.805506726406132,2556.7851194342447,0.8582695936335162,2727.9077790886167,0.9157125810972194,3883.2052726745605,1.3035264426567843,8490.700660358361,2.8501848473844786,18695.561690473187,6.275784387537156,5423.205272674561,1.8204784399713194,14650.194733947588,4.917823005689019,37222.61528354934,12.495003452013878
4,1259.410104751587,0.8147029204431017,0.8146937119675456,0.8147029204431017,0.8146966476277018,2569.036334991455,0.8623821198360038,2719.668214271798,0.9129466983121176,2881.5242833694283,0.9672790477910131,4054.820209503174,1.361134679255849,8662.315597186975,2.907793083983543,18867.1766273018,6.33339262413622,5594.820209503174,1.8780866765703839,14821.809670776202,4.975431242288084,37394.230220377955,12.552611688612942
5,1229.5990924835205,0.815038603558241,0.8150345184294552,0.815038603558241,0.8150441628264209,2500.670799255371,0.8394329638319473,2625.0750173860156,0.8811933593105121,2750.815260209359,0.9234022357198252,3995.198184967041,1.3411205723286475,8602.693572650842,2.8877789770563416,18807.554602765667,6.313378517209019,5535.198184967041,1.8580725696431826,14762.187646240069,4.955417135360882,37334.60819584182,12.53259758168574
6,1295.765064239502,0.797583081570997,0.7975816217859575,0.797583081570997,0.7975865948378442,2631.140853881836,0.8832295582013548,2749.9600170305066,0.9231151450253463,2868.235775602302,0.9628183201081914,4127.530128479004,1.3855421713591822,8735.025516162805,2.9322005760868763,18939.88654627763,6.357800116239553,5667.530128479004,1.9024941686737173,14894.519589752032,4.9998387343914175,37466.940139353785,12.577019180716276
7,1277.6744937896729,0.8053037932192011,0.805287798386966,0.8053037932192011,0.8052954825728564,2590.187328338623,0.8694821511710719,2694.69090539782,0.9045622374615039,2794.2439503016126,0.9379805136964124,4091.3489875793457,1.3733967732726908,8698.844375263147,2.9200551780003847,18903.705405377972,6.345654718153062,5631.348987579346,1.8903487705872257,14858.338448852373,4.987693336304925,37430.75899845413,12.564873782629784
8,1215.353988647461,0.8059751594494797,0.8059702400752923,0.8059751594494797,0.8059709060816512,2476.249313354492,0.8312350833684096,2612.8583601275573,0.8770924337454036,2755.1965882464724,0.9248729735637705,3966.707977294922,1.3315568906663047,8574.203364978723,2.878215295393999,18779.06439509355,6.303814835546676,5506.707977294922,1.8485088879808398,14733.69743856795,4.94585345369854,37306.1179881697,12.523033900023398
9,1048.5496578216553,0.8536421617992614,0.8536219562332303,0.8536421617992614,0.8536311957768115,2151.530418395996,0.7222324331641478,2314.8058447498643,0.777041236908313,2494.6347048819916,0.8374067488694165,3633.0993156433105,1.2195700958856364,8240.594703327111,2.7662285006133303,18445.455733441937,6.191828040766008,5173.099315643311,1.7365220932001715,14400.088776916338,4.833866658917871,36972.50932651809,12.41104710524273
10,852.130081653595,0.8784827123195703,0.8784677988656373,0.8784827123195703,0.8784724475887584,1766.834927558899,0.5930966524199056,1954.5386630244916,0.6561056270642805,2169.997023243282,0.7284313606053313,3240.26016330719,1.087700625480762,7847.755550990991,2.634359030208456,18052.616581105816,6.059958570361133,4780.26016330719,1.604652622795297,14007.249624580218,4.701997188512997,36579.67017418197,12.279177634837856
11,1002.6110668182373,0.8580060422960725,0.8580044422453452,0.8580060422960725,0.8580035319443543,2070.0625801086426,0.6948850554241834,2264.5626179054343,0.7601754340065238,2490.1284228988497,0.8358940660956192,3541.2221336364746,1.1887284772193605,8148.717521320275,2.7353868819470546,18353.5785514351,6.1609864220997315,5081.222133636475,1.7056804745338954,14308.211594909502,4.803025040251596,36880.632144511255,12.380205486576454
12,1133.8485479354858,0.8355152735817388,0.8355017607062298,0.8355152735817388,0.8355069935743493,2330.37371635437,0.7822671085446022,2518.3829870528507,0.8453786462077377,2734.2940031589615,0.9178563286871304,3803.6970958709717,1.2768368901883087,8411.192483554772,2.823495294916003,18616.053513669598,6.24909483506868,5343.697095870972,1.7937888875028438,14570.686557144,4.891133453220544,37143.10710674575,12.468313899545402
