layer_number,loss,accuracy_score,f1_macro,f1_micro,balanced_accuracy_score,aic,aic_avg,bic,bic_avg,ebic,ebic_avg
1,2530.788227081299,0.5142665323934206,0.5094231420336697,0.5142665323934206,0.5141669911944787,14661.576454162598,4.921643656986437,43458.42262718635,14.588258686534525,124831.58611738778,41.903855695665584
2,2603.898422241211,0.50486740516952,0.5036422892104263,0.50486740516952,0.5049179485515242,14807.796844482422,4.970727373105881,43604.643017506176,14.63734240265397,124977.8065077076,41.95293941178503
3,2567.7495517730713,0.5015105740181269,0.5014114680383384,0.5015105740181269,0.5014968845330046,14735.499103546143,4.9464582422108565,43532.3452765699,14.613073271758944,124905.50876677132,41.92867028089
4,3034.1271629333496,0.5052030882846593,0.4981565360340633,0.5052030882846593,0.5053229322169577,15668.2543258667,5.259568420901879,44465.10049889045,14.926183450449967,125838.26398909188,42.24178045958103
5,2332.4605407714844,0.5243370258475999,0.5242424580540912,0.5243370258475999,0.5243233595119101,14264.921081542969,4.788493145868737,43061.76725456672,14.455108175416825,124434.93074476815,41.770705184547886
6,2893.64249420166,0.5018462571332662,0.49888506007708,0.5018462571332662,0.5019241794855153,15387.28498840332,5.165251758443545,44184.131161427074,14.831866787991633,125557.2946516285,42.14746379712269
7,2598.1132488250732,0.5327291037260826,0.5326717569639974,0.5327291037260826,0.5327184883494516,14796.226497650146,4.9668434030379816,43593.0726706739,14.63345843258607,124966.23616087533,41.94905544171713
8,2147.8391761779785,0.5381000335683115,0.5380724983524741,0.5381000335683115,0.538108354427641,13895.678352355957,4.664544596292702,42692.52452537971,14.331159625840789,124065.68801558114,41.64675663497185
9,2321.2019176483154,0.5669687814702921,0.5665643299917891,0.5669687814702921,0.5670001189935311,14242.40383529663,4.780934486504408,43039.250008320385,14.447549516052495,124412.41349852181,41.76314652518356
10,2229.6714401245117,0.563611950318899,0.5634040929781191,0.563611950318899,0.5635905486683542,14059.342880249023,4.71948401485365,42856.18905327278,14.386099044401737,124229.3525434742,41.7016960535328
11,2040.8061485290527,0.6354481369587109,0.6353790703231013,0.6354481369587109,0.6354626414400382,13681.612297058105,4.592686236004735,42478.45847008186,14.259301265552823,123851.62196028329,41.57489827468388
12,2139.1028537750244,0.6367908694192682,0.6367839525315429,0.6367908694192682,0.6367871205728998,13878.205707550049,4.658679324454531,42675.0518805738,14.325294354002619,124048.21537077523,41.640891363133676
13,2155.4305629730225,0.6780798925814031,0.6776077716444666,0.6780798925814031,0.678119117933407,13910.861125946045,4.669641197027877,42707.7072989698,14.336256226575964,124080.87078917123,41.65185323570702
14,1616.3557167053223,0.729103726082578,0.7289540687618445,0.729103726082578,0.7290808020163995,12832.711433410645,4.307724549651106,41629.5576064344,13.974339579199194,123002.72109663583,41.28993658833026
15,1323.7447443008423,0.8036253776435045,0.8036197126834745,0.8036253776435045,0.803620783842842,12247.489488601685,4.11127542416975,41044.33566162544,13.777890453717838,122417.49915182687,41.0934874628489
16,1120.1495666503906,0.8425646189996643,0.8425526256329754,0.8425646189996643,0.842574262780987,11840.299133300781,3.9745884972476606,40637.145306324535,13.64120352679575,122010.30879652596,40.95680053592681
17,760.0450382232666,0.8956025511916751,0.8956017983008835,0.8956025511916751,0.8956007550680427,11120.090076446533,3.7328264774912836,39916.93624947029,13.399441507039372,121290.09973967171,40.71503851617043
18,710.5126852989197,0.9060087277609936,0.9060086324398,0.9060087277609936,0.9060106607386254,11021.02537059784,3.6995721284316345,39817.87154362159,13.366187157979722,121191.03503382302,40.681784167110784
19,670.2193975448608,0.905337361530715,0.9053360708200742,0.905337361530715,0.9053419982259145,10940.438795089722,3.6725205757266606,39737.284968113476,13.339135605274748,121110.4484583149,40.65473261440581
20,245.85266399383545,0.9697885196374623,0.9697860376807361,0.9697885196374623,0.9697803758032063,10091.70532798767,3.3876150815668584,38888.551501011425,13.054230111114947,120261.71499121285,40.36982712024601
21,234.10032665729523,0.9707955689828801,0.9707949239625455,0.9707955689828801,0.9707918208173774,10068.20065331459,3.3797249591522625,38865.046826338345,13.046339988700351,120238.21031653977,40.36193699783141
22,162.0158494412899,0.9798590130916415,0.9798590108220913,0.9798590130916415,0.9798603448648883,9924.03169888258,3.3313298754221483,38720.877871906334,12.997944904970236,120094.04136210776,40.31354191410129
23,88.00095097720623,0.9892581403155422,0.9892579938519233,0.9892581403155422,0.9892554250232578,9776.001901954412,3.281638772055862,38572.84807497817,12.94825380160395,119946.0115651796,40.26385081073501
24,52.47298447415233,0.9949647532729103,0.9949647328468783,0.9949647532729103,0.9949637340170052,9704.945968948305,3.2577864951152415,38501.79214197206,12.92440152466333,119874.95563217349,40.23999853379439
25,75.40422400832176,0.9936220208123532,0.9936219173191971,0.9936220208123532,0.9936189718958914,9750.808448016644,3.273181754956913,38547.6546210404,12.939796784505,119920.81811124182,40.25539379363606
26,72.51366466283798,0.9936220208123532,0.9936218799458433,0.9936220208123532,0.993618295796283,9745.027329325676,3.271241131025739,38541.87350234943,12.937856160573826,119915.03699255086,40.25345316970488
27,44.63208169862628,0.995636119503189,0.9956361175362448,0.995636119503189,0.9956364531273664,9689.264163397253,3.2525223777768555,38486.11033642101,12.919137407324943,119859.27382662243,40.234734416456
28,39.79256612807512,0.9966431688486069,0.9966431684703485,0.9966431688486069,0.996643841543887,9679.58513225615,3.24927329045188,38476.431305279904,12.915888319999969,119849.59479548133,40.231485329131026
29,40.59080043435097,0.995636119503189,0.9956360880318698,0.995636119503189,0.9956344248285411,9681.181600868702,3.2498091980089634,38478.027773892456,12.916424227557052,119851.19126409388,40.23202123668811
