layer_number,loss,accuracy_score,f1_macro,f1_micro,balanced_accuracy_score,aic,aic_avg,bic,bic_avg,ebic,ebic_avg
1,2191.7111282348633,0.525679758308157,0.5253023298300457,0.525679758308157,0.5256518952424223,10531.422256469727,3.5352206298992033,28973.402493110356,9.725882005072291,78346.36080646818,26.299550455343464
2,2117.299633026123,0.5273581738838536,0.5273248848071674,0.5273581738838536,0.5273502574587309,10382.599266052246,3.485263264871516,28824.579502692875,9.675924640044604,78197.5378160507,26.249593090315777
3,2176.8692951202393,0.5028533064786841,0.5028497211691592,0.5028533064786841,0.5028565208455031,10501.738590240479,3.5252563243506136,28943.718826881108,9.715917699523702,78316.67714023893,26.289586149794875
4,2308.057674407959,0.48170527022490767,0.48158697698575,0.48170527022490767,0.4817209709872136,10764.115348815918,3.6133317720093716,29206.095585456547,9.80399314718246,78579.05389881437,26.37766159745363
5,2287.1839656829834,0.48573346760657937,0.4857236740095413,0.48573346760657937,0.4857383548603449,10722.367931365967,3.599317868870751,29164.348168006596,9.789979244043838,78537.30648136442,26.36364769431501
6,2288.93363571167,0.4968110104061766,0.4966576443823797,0.4968110104061766,0.4968290928365894,10725.86727142334,3.6004925382421415,29167.84750806397,9.79115391341523,78540.80582142179,26.3648223636864
7,2268.681121826172,0.4944612286002014,0.4944484109920245,0.4944612286002014,0.49446680080482897,10685.362243652344,3.5868956843411692,29127.342480292973,9.777557059514258,78500.3007936508,26.35122550978543
8,2267.31955909729,0.50486740516952,0.5047278831092317,0.50486740516952,0.5048848196707125,10682.63911819458,3.585981577104592,29124.61935483521,9.77664295227768,78497.57766819303,26.35031140254885
9,2143.771324157715,0.5240013427324606,0.5238828290333255,0.5240013427324606,0.524017762488912,10435.54264831543,3.5030354643556327,28877.52288495606,9.693696839528721,78250.48119831388,26.26736528979989
10,2144.800344467163,0.5129237999328634,0.512874398168668,0.5129237999328634,0.5129344616083599,10437.600688934326,3.503726313841667,28879.580925574955,9.694387689014755,78252.53923893278,26.268056139285928
11,2195.070732116699,0.5159449479691172,0.515824428396372,0.5159449479691172,0.5159613595551805,10538.141464233398,3.537476154492581,28980.121700874028,9.72813752966567,78353.08001423185,26.30180597993684
12,2109.415626525879,0.5468277945619335,0.5467958767682359,0.5468277945619335,0.5468368003721252,10366.831253051758,3.4799702091479547,28808.811489692387,9.670631584321043,78181.7698030502,26.244300034592214
13,2103.190605163574,0.5461564283316549,0.5461134150739271,0.5461564283316549,0.5461667856601977,10354.381210327148,3.4757909400225406,28796.361446967778,9.66645231519563,78169.3197603256,26.2401207654668
14,2082.006118774414,0.553877139979859,0.5538256570157809,0.553877139979859,0.5538885192877696,10312.012237548828,3.4615683912550614,28753.992474189457,9.65222976642815,78126.95078754728,26.22589821669932
15,2048.0798110961914,0.5770392749244713,0.5769991886043995,0.5770392749244713,0.5770496635728348,10244.159622192383,3.4387914139618605,28686.139858833012,9.629452789134948,78059.09817219083,26.20312123940612
16,2052.932849884033,0.5656260490097348,0.5656150357394952,0.5656260490097348,0.5656316933861232,10253.865699768066,3.44204958031825,28695.845936408696,9.632710955491339,78068.80424976652,26.206379405762508
17,1908.0336418151855,0.6377979187646862,0.6377977555083213,0.6377979187646862,0.6377978894874624,9964.067283630371,3.3447691452267105,28406.047520271,9.5354305203998,77779.00583362882,26.10909897067097
18,1896.9446182250977,0.643168848606915,0.6430335347106106,0.643168848606915,0.6431891077648688,9941.889236450195,3.3373243492615625,28383.869473090825,9.52798572443465,77756.82778644864,26.10165417470582
19,1860.5097541809082,0.6458543135280296,0.6458503228577761,0.6458543135280296,0.6458583490188443,9869.019508361816,3.3128632119375014,28310.999745002446,9.50352458711059,77683.95805836027,26.07719303738176
20,1643.4355964660645,0.7230614300100705,0.7230489469228281,0.7230614300100705,0.723068924298479,9434.871192932129,3.167126952981581,27876.85142957276,9.357788328154669,77249.80974293058,25.93145677842584
21,1625.090145111084,0.7351460221550856,0.7351226219359166,0.7351460221550856,0.7351562330975098,9398.180290222168,3.1548104364626277,27840.160526862797,9.345471811635715,77213.11884022062,25.919140261906886
22,1614.2033081054688,0.7321248741188319,0.7320994861161197,0.7321248741188319,0.7321354200471647,9376.406616210938,3.14750138174251,27818.386852851567,9.338162756915597,77191.34516620939,25.91183120718677
23,1610.559383392334,0.7364887546156428,0.7364811529171411,0.7364887546156428,0.7364840927284135,9369.118766784668,3.1450549737444335,27811.099003425297,9.335716348917522,77184.05731678312,25.909384799188693
24,1549.6572704315186,0.7522658610271903,0.7522189262416654,0.7522658610271903,0.7522804839791437,9247.314540863037,3.1041673517499286,27689.294777503666,9.294828726923017,77062.25309086149,25.86849717719419
25,1410.076467514038,0.7901980530379322,0.7901972019532577,0.7901980530379322,0.7902008827156487,8968.152935028076,3.010457514275957,27410.133171668705,9.201118889449045,76783.09148502653,25.774787339720216
26,1410.2850894927979,0.7744209466263847,0.7744207178555202,0.7744209466263847,0.7744227461543454,8968.570178985596,3.0105975760273904,27410.550415626225,9.201258951200478,76783.50872898404,25.77492740147165
27,1370.4810972213745,0.7948976166498826,0.7948916999138513,0.7948976166498826,0.7949038315917007,8888.962194442749,2.9838745197860854,27330.94243108338,9.174535894959174,76703.9007444412,25.748204345230345
28,1376.3440113067627,0.7928835179590467,0.792867739905215,0.7928835179590467,0.7928755327664914,8900.688022613525,2.98781068231404,27342.668259254155,9.178472057487127,76715.62657261197,25.7521405077583
29,1413.6932048797607,0.7989258140315542,0.7989235482386805,0.7989258140315542,0.7989232437636572,8975.386409759521,3.01288566960709,27417.36664640015,9.203547044780178,76790.32495975797,25.77721549505135
30,1439.0384168624878,0.7801275595837529,0.780075121233724,0.7801275595837529,0.7801128004586659,9026.076833724976,3.029901589031546,27468.057070365605,9.220562964204634,76841.01538372342,25.794231414475806
31,1511.177508354187,0.7640147700570661,0.7639875371573319,0.7640147700570661,0.7640263624759309,9170.355016708374,3.0783333389420524,27612.335253349003,9.26899471411514,76985.29356670682,25.842663164386313
32,1567.9225883483887,0.7502517623363545,0.7502211114807572,0.7502517623363545,0.7502636788472772,9283.845176696777,3.1164300693846183,27725.825413337407,9.307091444557706,77098.78372669523,25.880759894828877
33,1622.4938068389893,0.7254112118160456,0.7253369010960276,0.7254112118160456,0.7253953830509942,9392.987613677979,3.153067342624363,27834.967850318608,9.343728717797452,77207.92616367643,25.91739716806862
34,1686.6753978729248,0.7163477677072844,0.7163395849872412,0.7163477677072844,0.7163430853940849,9521.35079574585,3.1961566954501004,27963.33103238648,9.386818070623189,77336.2893457443,25.96048652089436
35,1676.819423675537,0.7173548170527022,0.7173540208166937,0.7173548170527022,0.7173538543086476,9501.638847351074,3.1895397272074772,27943.619083991704,9.380201102380566,77316.57739734952,25.953869552651735
36,1792.8705368041992,0.6824437730782141,0.6824334313858946,0.6824437730782141,0.6824502120248372,9733.741073608398,3.2674525255483045,28175.721310249028,9.458113900721392,77548.67962360685,26.031782350992565
