layer_number,loss,accuracy_score,f1_macro,f1_micro,balanced_accuracy_score,aic,aic_avg,bic,bic_avg,ebic,ebic_avg
1,1854.2111320495605,0.6535750251762337,0.6534734621003084,0.6535750251762337,0.6535584474589472,5244.422264099121,1.7604640027187382,9851.917651782922,3.3071224074464323,20056.778681897747,6.73272194759911
2,1795.1982154846191,0.6797583081570997,0.6797565399409897,0.6797583081570997,0.6797566311849592,5126.396430969238,1.720844723386787,9733.891818653039,3.267503128114481,19938.752848767865,6.693102668267159
3,1867.1999492645264,0.6549177576367908,0.6549158522634564,0.6549177576367908,0.6549160554726207,5270.399898529053,1.769184255968128,9877.895286212854,3.315842660695822,20082.75631632768,6.741442200848499
4,1974.8077926635742,0.6005370929842229,0.6004819447650096,0.6005370929842229,0.60054953376171,5485.615585327148,1.8414285281393583,10093.11097301095,3.3880869328670524,20297.972003125775,6.81368647301973
5,2063.030038833618,0.563611950318899,0.5636107209758929,0.563611950318899,0.5636142121546484,5662.060077667236,1.9006579649772528,10269.555465351037,3.447316369704947,20474.416495465863,6.872915909857625
6,2082.0070762634277,0.5518630412890232,0.5518628392989888,0.5518630412890232,0.5518629248609939,5700.0141525268555,1.9133985070583603,10307.509540210656,3.4600569117860545,20512.370570325482,6.885656451938732
7,2120.1916160583496,0.5357502517623364,0.5347806473504522,0.5357502517623364,0.5357967698665109,5776.383232116699,1.9390343175954008,10383.8786198005,3.485692722323095,20588.739649915326,6.911292262475772
8,2107.487693786621,0.5186304128902316,0.5182381933630578,0.5186304128902316,0.5186596730923174,5750.975387573242,1.9305053331900779,10358.470775257043,3.4771637379177722,20563.33180537187,6.9027632780704495
9,2090.558979034424,0.5438066465256798,0.5437540014179431,0.5438066465256798,0.5437963804331365,5717.117958068848,1.9191399657834332,10324.613345752648,3.4657983705111275,20529.474375867474,6.891397910663804
10,2089.397937774658,0.5401141322591474,0.5401024721507792,0.5401141322591474,0.5401197507626403,5714.795875549316,1.9183604818896665,10322.291263233117,3.4650188866173606,20527.152293347943,6.890618426770038
11,2137.3628215789795,0.5142665323934206,0.5142446378149481,0.5142665323934206,0.5142738149326064,5810.725643157959,1.9505624851151255,10418.22103084176,3.49722088984282,20623.082060956585,6.922820429995497
12,2144.4016971588135,0.5260154414232964,0.5260089787161157,0.5260154414232964,0.5260196934293936,5824.803394317627,1.955288148478559,10432.298782001428,3.501946553206253,20637.159812116253,6.92754609335893
