layer_number,loss,accuracy_score,f1_macro,f1_micro,balanced_accuracy_score,aic,aic_avg,bic,bic_avg,ebic,ebic_avg
1,1860.0509185791016,0.6676737160120846,0.6675837800550943,0.6676737160120846,0.6676578286925856,7820.101837158203,2.625076145403895,20118.754890220433,6.753526314273391,51383.69468596349,17.248638699551357
2,1779.6933670043945,0.6841221886539107,0.6841209072608248,0.6841221886539107,0.6841208541572013,7659.386734008789,2.5711267989287645,19958.03978707102,6.699576967798261,51222.97958281408,17.194689353076225
3,1727.219467163086,0.7042631755622693,0.7042546442293011,0.7042631755622693,0.7042584809934878,7554.438934326172,2.5358975946042874,19853.0919873884,6.664347763473784,51118.03178313146,17.159460148751748
4,1772.2161483764648,0.6884860691507217,0.6884641286229058,0.6884860691507217,0.6884952186235693,7644.43229675293,2.566106846845562,19943.08534981516,6.694557015715058,51208.02514555822,17.189669400993022
5,1809.6544189453125,0.6693521315877812,0.6692799834995866,0.6693521315877812,0.6693379362194674,7719.308837890625,2.5912416374255205,20017.961890952854,6.719691806295017,51282.901686695914,17.21480419157298
6,1909.991641998291,0.6424974823766365,0.6424844297184723,0.6424974823766365,0.6424920490686052,7919.983283996582,2.658604660623223,20218.63633705881,6.787054829492719,51483.57613280187,17.282167214770684
7,1943.3031787872314,0.6294058408862034,0.6293937719344902,0.6294058408862034,0.6294122260444387,7986.606357574463,2.6809689015020015,20285.259410636692,6.809419070371498,51550.19920637975,17.304531455649464
8,1985.8668537139893,0.6038939241356159,0.6038703110871507,0.6038939241356159,0.6038867614287877,8071.7337074279785,2.7095447154843835,20370.386760490208,6.83799488435388,51635.32655623327,17.333107269631846
9,2051.0926513671875,0.5780463242698892,0.5779976304505918,0.5780463242698892,0.5780577280889638,8202.185302734375,2.753335113371727,20500.838355796604,6.881785282241223,51765.778151539664,17.376897667519188
10,2075.6286392211914,0.5770392749244713,0.5770392272639175,0.5770392749244713,0.5770401981783173,8251.257278442383,2.7698077470434317,20549.910331504612,6.898257915912928,51814.85012724767,17.393370301190892
11,2086.558271408081,0.5474991607922122,0.5473664989449765,0.5474991607922122,0.5474824754981502,8273.116542816162,2.7771455330030754,20571.76959587839,6.9055957018725715,51836.70939162145,17.400708087150537
12,2111.152898788452,0.5323934206109433,0.5323934206109433,0.5323934206109433,0.532393960537418,8322.305797576904,2.7936575352725423,20620.958850639134,6.9221077041420385,51885.89864638219,17.417220089420006
13,2166.3966178894043,0.5518630412890232,0.5518531435631989,0.5518630412890232,0.5518683336578611,8432.793235778809,2.8307463027119195,20731.446288841038,6.959196471581416,51996.3860845841,17.45430885685938
14,2174.4353828430176,0.5273581738838536,0.5271850727613606,0.5273581738838536,0.5273779775426755,8448.870765686035,2.836143258034923,20747.523818748265,6.964593426904419,52012.463614491324,17.459705812182385
15,2179.689685821533,0.5156092648539778,0.5155828453980564,0.5156092648539778,0.5156023506631185,8459.379371643066,2.8396708196183504,20758.032424705296,6.968120988487847,52022.972220448355,17.463233373765814
16,2174.389503479004,0.5236656596173213,0.5235520565353501,0.5236656596173213,0.5236817409835357,8448.779006958008,2.8361124561792574,20747.432060020237,6.964562625048754,52012.3718557633,17.45967501032672
17,2152.7637786865234,0.531050688150386,0.530847472836383,0.531050688150386,0.53107218580299,8405.527557373047,2.821593674848287,20704.180610435276,6.950043843717784,51969.120406178336,17.44515622899575
18,2188.426399230957,0.5196374622356495,0.5181771892654968,0.5196374622356495,0.5195825490577876,8476.852798461914,2.84553635396506,20775.505851524144,6.973986522834556,52040.4456472672,17.46909890811252
19,2246.05108833313,0.5115810674723061,0.5115015817090889,0.5115810674723061,0.511594432184505,8592.10217666626,2.884223624258563,20890.75522972849,7.01267379312806,52155.69502547155,17.507786178406025
20,2253.083671569824,0.5193017791205102,0.5191001406875654,0.5193017791205102,0.5193229268081607,8606.167343139648,2.8889450631553033,20904.820396201878,7.0173952320248,52169.76019194494,17.512507617302767
21,2225.289867401123,0.5132594830480027,0.5111215587068361,0.5132594830480027,0.5133265993812336,8550.579734802246,2.87028524162546,20849.232787864476,6.998735410494956,52114.172583607535,17.493847795772922
22,2117.403928756714,0.5115810674723061,0.5114929930560008,0.5115810674723061,0.5115951082841133,8334.807857513428,2.7978542656976932,20633.460910575657,6.926304434567189,51898.40070631872,17.421416819845156
23,2194.494010925293,0.5176233635448136,0.5163972511791481,0.5176233635448136,0.5175731810216135,8488.988021850586,2.849609943555081,20787.641074912815,6.978060112424577,52052.580870655875,17.473172497702542
24,2243.5304584503174,0.5055387713997986,0.5043807084152905,0.5055387713997986,0.5055879632634517,8587.060916900635,2.8825313584762116,20885.713969962864,7.010981527345708,52150.65376570592,17.506093912623673
