layer_number,loss,accuracy_score,f1_macro,f1_micro,balanced_accuracy_score,aic,aic_avg,bic,bic_avg,ebic,ebic_avg
1,105.74642932415009,0.9993464052287582,0.9993463245280826,0.9993464052287582,0.9993464052287581,69911.4928586483,15.23126206070769,294053.9831701008,64.06404862093699,1023032.9297784511,222.88299123713531
2,105.41335433721542,0.9993464052287582,0.9993463245280826,0.9993464052287582,0.9993464052287581,69910.82670867443,15.23111692999443,294053.3170201269,64.06390349022372,1023032.2636284772,222.88284610642205
3,67.9378342628479,1.0,1.0,1.0,1.0,69835.8756685257,15.214787727347646,293978.3659799782,64.04757428757695,1022957.3125883285,222.86651690377528
4,66.97881937026978,1.0,1.0,1.0,1.0,69833.95763874054,15.214369855934757,293976.447950193,64.04715641616406,1022955.3945585433,222.86609903236237
5,158.6349960565567,0.9989106753812637,0.9989105707709167,0.9989106753812637,0.9989106753812635,70017.26999211311,15.254307187824208,294159.7603035656,64.0870937480535,1023138.7069119159,222.90603636425183
6,86.23130285739899,1.0,1.0,1.0,1.0,69872.4626057148,15.222758737628496,294014.9529171673,64.05554529785779,1022993.8995255176,222.87448791405612
7,108.47770816087723,1.0,1.0,1.0,1.0,69916.95541632175,15.232452160418683,294059.44572777423,64.06523872064798,1023038.3923361246,222.8841813368463
8,131.78615069389343,1.0,1.0,1.0,1.0,69963.57230138779,15.24260834452893,294106.06261284027,64.07539490475823,1023085.0092211906,222.89433752095655
9,119.45472854375839,1.0,1.0,1.0,1.0,69938.90945708752,15.23723517583606,294081.39976854,64.07002173606536,1023060.3463768903,222.88896435226368
10,153.67524647712708,1.0,1.0,1.0,1.0,70007.35049295425,15.252146076896352,294149.84080440673,64.08493263712565,1023128.787412757,222.90387525332397
11,196.45639967918396,1.0,1.0,1.0,1.0,70092.91279935837,15.270787102256724,294235.40311081085,64.10357366248603,1023214.3497191612,222.92251627868436
12,147.20922243595123,0.9995642701525055,0.9995642641753337,0.9995642701525055,0.9995642701525055,69994.4184448719,15.249328637226993,294136.9087563244,64.08211519745629,1023115.8553646747,222.90105781365463
13,154.045041680336,1.0,1.0,1.0,1.0,70008.09008336067,15.25230720770385,294150.58039481315,64.08509376793315,1023129.5270031635,222.90403638413147
14,123.47232413291931,1.0,1.0,1.0,1.0,69946.94464826584,15.23898576214942,294089.4349597183,64.07177232237872,1023068.3815680686,222.89071493857705
15,146.84474301338196,1.0,1.0,1.0,1.0,69993.68948602676,15.249169822663783,294136.17979747924,64.08195638289308,1023115.1264058296,222.9008989990914
16,92.85517227649689,1.0,1.0,1.0,1.0,69885.710344553,15.225644955240304,294028.2006560055,64.05843151546961,1023007.1472643558,222.87737413166792
17,151.04010426998138,1.0,1.0,1.0,1.0,70002.08020853996,15.250997866784306,294144.57051999244,64.0837844270136,1023123.5171283428,222.90272704321194
18,102.94956427812576,1.0,1.0,1.0,1.0,69905.89912855625,15.230043383127724,294048.38944000873,64.06282994335702,1023027.336048359,222.88177255955534
19,131.70581310987473,0.9993464052287582,0.9993463245280826,0.9993464052287582,0.9993464052287581,69963.41162621975,15.242573339045697,294105.9019376722,64.075359899275,1023084.8485460225,222.89430251547333
20,124.71545445919037,0.9986928104575163,0.9986926490561653,0.9986928104575163,0.9986928104575163,69949.43090891838,15.239527431136903,294091.92122037086,64.0723139913662,1023070.8678287212,222.89125660756451
21,129.82307213544846,0.9993464052287582,0.9993463245280826,0.9993464052287582,0.9993464052287581,69959.6461442709,15.241752972608039,294102.1364557234,64.07453953283733,1023081.0830640737,222.89348214903566
22,95.27845448255539,0.9993464052287582,0.9993463245280826,0.9993464052287582,0.9993464052287581,69890.55690896511,15.226700851626386,294033.0472204176,64.05948741185568,1023011.9938287679,222.878430028054
23,130.30257773399353,0.9993464052287582,0.9993463245280826,0.9993464052287582,0.9993464052287581,69960.60515546799,15.241961907509365,294103.09546692047,64.07474846773866,1023082.0420752708,222.893691083937
24,147.97004878520966,0.9993464052287582,0.9993463245280826,0.9993464052287582,0.9993464052287581,69995.94009757042,15.249660151976126,294138.4304090229,64.08244671220542,1023117.3770173732,222.90138932840375
