layer_number,loss,accuracy_score,f1_macro,f1_micro,balanced_accuracy_score,aic_pr,aic_pr_avg,bic_pr,bic_pr_avg,ebic_pr,ebic_pr_avg,aic_rep,aic_rep_avg,bic_rep,bic_rep_avg,ebic_rep,ebic_rep_avg,aic_cls,aic_cls_avg,bic_cls,bic_cls_avg,ebic_cls,ebic_cls_avg
1,10458.697654724121,0.34030501089324616,0.3415912661410112,0.34030501089324616,0.34030501089324616,20926.957255363464,4.55924994670228,20957.706729820584,4.565949178610149,20972.667772064928,4.569208664937893,30517.395309448242,6.648670002058441,61389.24476411028,13.37456312943579,142762.4082543117,31.102921188303206,347385.39530944824,75.68309266001052,1397246.9523682613,304.411100733826,5315822.779109729,1158.1313244247776
2,5019.322414398193,0.6586056644880174,0.6569003512823535,0.6586056644880174,0.6586056644880174,10048.718056678772,2.189263193176203,10081.111720710804,2.1963206363204364,10097.39745099867,2.199868725707771,19638.644828796387,4.2785718581255745,50510.49428345842,11.004464985502924,131883.65777365986,28.73282304437034,336506.6448287964,73.31299451607764,1386368.2018876094,302.04100258989314,5304944.028629078,1155.7612262808448
3,2422.667095184326,0.8553376906318083,0.8565719519010955,0.8553376906318083,0.8553376906318083,4855.8444480896,1.0579181804116775,4889.643520390723,1.0652818127212904,4907.082187119143,1.0690810865183318,14445.334190368652,3.147131631888595,45317.18364503069,9.873024759265945,126690.34713523212,27.60138281813336,331313.33419036865,72.18155428984066,1381174.8912491817,300.90956236365616,5299750.71799065,1154.6297860546078
4,1420.605456352234,0.9080610021786493,0.908032567103638,0.9080610021786493,0.9080610021786493,2854.2648067474365,0.6218441844765656,2896.2437496319826,0.6309899236670986,2920.7320618324293,0.6363250679373484,12441.210912704468,2.7105034668201453,43313.0603673665,9.436396594197495,124686.22385756794,27.16475465306491,329309.21091270447,71.74492612477222,1379170.7679715175,300.4729341985877,5297746.594712986,1154.1931578895394
5,1499.5521039962769,0.900871459694989,0.9010435160764594,0.900871459694989,0.9008714596949892,3012.742977142334,0.656371018985258,3056.6027717193033,0.6659265297863406,3082.7860618470263,0.6716309502934698,12599.104207992554,2.7449028775582907,43470.95366265459,9.47079600493564,124844.11715285602,27.199154063803054,329467.10420799255,71.77932553551037,1379328.6612668056,300.5073336093258,5297904.488008274,1154.2275573002776
6,398.1911635398865,0.983442265795207,0.9834919702344053,0.983442265795207,0.983442265795207,810.5373582839966,0.176587659756862,856.0573574884586,0.18650487091251822,883.7576637304676,0.19253979601970972,10396.382327079773,2.26500704293677,41268.23178174181,8.99090017031412,122641.39527194324,26.719258229181534,327264.3823270798,71.29942970088884,1377125.9393858928,300.0274377747043,5295701.766127361,1153.747661465656
7,366.3860958814621,0.9810457516339869,0.9810093593001826,0.9810457516339869,0.9810457516339869,747.7828605175018,0.16291565588616597,796.0544340597019,0.17343233857509843,826.3101486423209,0.18002399752556011,10332.772191762924,2.2511486256564104,41204.62164642496,8.97704175303376,122577.7851366264,26.705399811901174,327200.7721917629,71.28557128360848,1377062.329250576,300.01357935742396,5295638.155992044,1153.7338030483756
8,496.70002150535583,0.9690631808278867,0.9692812235027721,0.9690631808278867,0.9690631808278868,1008.5713057518005,0.2197323106213073,1057.3593202705524,0.2303615076842162,1088.1001800912431,0.23705886276497673,10593.400043010712,2.3079302925949263,41465.24949767275,9.033823419972276,122838.41298787418,26.76218147883969,327461.4000430107,71.342352950547,1377322.9571018238,300.07036102436246,5295898.783843292,1153.7905847153143
9,478.1541049480438,0.9745098039215686,0.9745936548059667,0.9745098039215686,0.9745098039215686,971.9152140617371,0.21174623400037845,1022.1044935450925,0.22268071754795044,1054.1702163948173,0.22966671381150705,10556.308209896088,2.299849283201762,41428.15766455812,9.025742410579111,122801.32115475956,26.754100469446527,327424.3082098961,71.33427194115383,1377285.8652687091,300.0622800149693,5295861.692010177,1153.782503705921
10,739.5091614723206,0.9583877995642701,0.9583486336227625,0.9583877995642701,0.95838779956427,1494.6401901245117,0.32562967105109186,1544.8772663513546,0.33657456783253914,1576.988398444288,0.34357045717740475,11079.018322944641,2.4137294821230153,41950.867777606676,9.139622609500366,123324.03126780811,26.867980668367778,327947.01832294464,71.44815214007508,1377808.5753817577,300.17616021389057,5296384.402123226,1153.8963839048422
