layer_number,loss,accuracy_score,f1_macro,f1_micro,balanced_accuracy_score,aic,aic_avg,bic,bic_avg,ebic,ebic_avg
1,14186.448608398438,0.13246187363834422,0.11220282467572798,0.13246187363834422,0.13246187363834425,132888.89721679688,28.95182945899714,468993.2948838237,102.17718842784831,1604449.7120782863,349.5533141782759
2,14493.051132202148,0.11655773420479303,0.10573725478802404,0.11655773420479303,0.11655773420479303,133502.1022644043,29.08542532993558,469606.49993143114,102.31078429878674,1605062.9171258938,349.6869100492143
3,14728.422943115234,0.10043572984749455,0.09087643638919893,0.10043572984749455,0.10043572984749455,133972.84588623047,29.187983853209253,470077.2435532573,102.41334282206041,1605533.66074772,349.789468572488
4,14828.35336303711,0.0962962962962963,0.08830550354239733,0.0962962962962963,0.0962962962962963,134172.70672607422,29.23152651984188,470277.10439310106,102.45688548869305,1605733.5215875637,349.83301123912065
5,11415.000137329102,0.3065359477124183,0.2963981424334553,0.3065359477124183,0.30653594771241827,127346.0002746582,27.744226639359084,463450.39794168505,100.96958560821025,1598906.8151361477,348.34571135863786
6,11110.900634765625,0.32527233115468407,0.31610785727050333,0.32527233115468407,0.3252723311546841,126737.80126953125,27.611721409483934,462842.1989365581,100.8370803783351,1598298.6161310207,348.2132061287627
7,14834.937210083008,0.10021786492374728,0.09472894252202693,0.10021786492374728,0.10021786492374729,134185.87442016602,29.234395298511114,470290.27208719286,102.45975426736229,1605746.6892816555,349.83588001778986
8,14782.485321044922,0.10697167755991285,0.10099174870006922,0.10697167755991285,0.10697167755991285,134080.97064208984,29.211540444899747,470185.3683091167,102.43689941375091,1605641.7855035793,349.8130251641785
9,10473.018661499023,0.3690631808278867,0.36091564217776473,0.3690631808278867,0.3690631808278867,125462.03732299805,27.33377719455295,461566.4349900249,100.55913616340412,1597022.8521844875,347.9352619138317
10,14690.533416748047,0.11612200435729847,0.10798694076624146,0.11612200435729847,0.11612200435729847,133897.0668334961,29.171474255663636,470001.46450052294,102.39683322451481,1605457.8816949856,349.7729589749424
11,14482.276977539062,0.11960784313725491,0.11248602306441803,0.11960784313725491,0.1196078431372549,133480.55395507812,29.080730709167348,469584.95162210497,102.30608967801851,1605041.3688165676,349.6822154284461
12,14338.488418579102,0.1259259259259259,0.11798374696439887,0.1259259259259259,0.1259259259259259,133192.9768371582,29.018077742300264,469297.37450418505,102.24343671115143,1604753.7916986477,349.619562461579
13,14272.92904663086,0.12788671023965142,0.12053053180337357,0.12788671023965142,0.1278867102396514,133061.85809326172,28.989511567159415,469166.25576028856,102.21487053601058,1604622.6729547512,349.59099628643816
14,14133.075210571289,0.14270152505446623,0.1341235032813047,0.14270152505446623,0.14270152505446623,132782.15042114258,28.92857307650165,468886.5480881694,102.15393204535282,1604342.965282632,349.5300577957804
15,13983.690124511719,0.1514161220043573,0.14486269867125406,0.1514161220043573,0.15141612200435728,132483.38024902344,28.863481535734955,468587.7779160503,102.08884050458612,1604044.195110513,349.4649662550137
16,13850.101257324219,0.1494553376906318,0.13908656161823357,0.1494553376906318,0.1494553376906318,132216.20251464844,28.805272879008374,468320.6001816753,102.03063184785954,1603777.017376138,349.40675759828713
17,13774.67414855957,0.16100217864923747,0.1514994158019717,0.16100217864923747,0.1610021786492375,132065.34829711914,28.772407036409398,468169.745964146,101.99776600526056,1603626.1631586086,349.37389175568813
18,13480.717529296875,0.1721132897603486,0.1629423116947498,0.1721132897603486,0.17211328976034856,131477.43505859375,28.64432136352805,467581.8327256206,101.86968033237922,1603038.2499200832,349.2458060828068
19,13080.109420776367,0.1784313725490196,0.16711689257111326,0.1784313725490196,0.17843137254901964,130676.21884155273,28.469764453497326,466780.6165085796,101.69512342234849,1602237.0337030422,349.07124917277605
20,13135.173294067383,0.17930283224400873,0.16870696727512852,0.17930283224400873,0.17930283224400873,130786.34658813477,28.49375742660888,466890.7442551616,101.71911639546005,1602347.1614496242,349.09524214588765
21,13067.903228759766,0.18257080610021786,0.16849877391065243,0.18257080610021786,0.18257080610021786,130651.80645751953,28.464445851311446,466756.2041245464,101.6898048201626,1602212.621319009,349.0659305705902
22,12712.293762207031,0.20544662309368192,0.19323798491008382,0.20544662309368192,0.20544662309368192,129940.58752441406,28.3094961926828,466044.9851914409,101.53485516153397,1601501.4023859035,348.91098091196153
23,11959.609924316406,0.25620915032679736,0.24047646627976896,0.25620915032679736,0.25620915032679736,128435.21984863281,27.981529378787105,464539.61751565966,101.20688834763827,1599996.0347101223,348.58301409806586
24,11851.205558776855,0.2586056644880174,0.24576628311704612,0.2586056644880174,0.2586056644880174,128218.41111755371,27.934294361122813,464322.80878458056,101.15965332997398,1599779.2259790432,348.53577908040154
25,11156.44889831543,0.32113289760348585,0.30960490932842294,0.32113289760348585,0.32113289760348585,126828.89779663086,27.631568147414132,462933.2954636577,100.8569271162653,1598389.7126581203,348.2330528666929
26,11360.75104522705,0.2943355119825708,0.2806084719555857,0.2943355119825708,0.2943355119825708,127237.5020904541,27.72058869073074,463341.89975748095,100.9459476595819,1598798.3169519436,348.32207341000947
27,11232.819023132324,0.3028322440087146,0.2897612224013167,0.3028322440087146,0.30283224400871456,126981.63804626465,27.664844890253736,463086.0357132915,100.8902038591049,1598542.452907754,348.2663296095325
28,11139.391227722168,0.3111111111111111,0.2955033278690022,0.3111111111111111,0.31111111111111117,126794.78245544434,27.624135611207915,462899.1801224712,100.84949458005909,1598355.5973169338,348.22562033048666
29,10994.445999145508,0.3196078431372549,0.30602498754398766,0.3196078431372549,0.31960784313725493,126504.89199829102,27.560978648865145,462609.28966531786,100.78633761771631,1598065.7068597805,348.1624633681439
30,10357.353713989258,0.3712418300653595,0.35714275112004584,0.3712418300653595,0.3712418300653595,125230.70742797852,27.283378524614054,461335.10509500536,100.50873749346522,1596791.522289468,347.8848632438928
31,9023.3111038208,0.4459694989106754,0.4263732027441851,0.4459694989106754,0.4459694989106754,122562.6222076416,26.70209634153412,458667.01987466845,99.92745531038528,1594123.437069131,347.30358106081286
32,9048.77084350586,0.44901960784313727,0.4369055620996349,0.44901960784313727,0.4490196078431372,122613.54168701172,26.71318991002434,458717.93935403856,99.93854887887551,1594174.3565485012,347.3146746293031
33,9189.76212310791,0.4474945533769063,0.4324755888576933,0.4474945533769063,0.4474945533769063,122895.52424621582,26.774624018783403,458999.92191324267,99.99998298763457,1594456.3391077053,347.37610873806216
34,9459.566528320312,0.4206971677559913,0.4061805453645057,0.4206971677559913,0.4206971677559913,123435.13305664062,26.89218585111996,459539.53072366747,100.11754481997113,1594995.94791813,347.4936705703987
35,9833.8515625,0.38562091503267976,0.37162737511986277,0.38562091503267976,0.38562091503267976,124183.703125,27.05527301198257,460288.10079202685,100.28063198083373,1595744.5179864895,347.65675773126134
36,10357.736450195312,0.3533769063180828,0.33923973234029997,0.3533769063180828,0.3533769063180828,125231.47290039062,27.28354529420275,461335.87056741747,100.50890426305392,1596792.28776188,347.8850300134815
37,10503.493606567383,0.34727668845315907,0.3377059224494534,0.34727668845315907,0.347276688453159,125522.98721313477,27.34705603771999,461627.3848801616,100.57241500657116,1597083.8020746242,347.94854075699874
38,10967.126274108887,0.3178649237472767,0.30677497026642725,0.3178649237472767,0.31786492374727665,126450.25254821777,27.549074629241346,462554.6502152446,100.77443359809251,1598011.0674097072,348.1505593485201
39,11393.143585205078,0.28932461873638343,0.27815707047597615,0.28932461873638343,0.2893246187363834,127302.28717041016,27.734703087235328,463406.684837437,100.9600620560865,1598863.1020318996,348.3361878065141
40,11918.973190307617,0.2586056644880174,0.24676076557484386,0.2586056644880174,0.25860566448801736,128353.94638061523,27.96382274087478,464458.3440476421,101.18918170972594,1599914.7612421047,348.5653074601535
