layer_number,loss,accuracy_score,f1_macro,f1_micro,balanced_accuracy_score,aic_pr,aic_pr_avg,bic_pr,bic_pr_avg,ebic_pr,ebic_pr_avg,aic_rep,aic_rep_avg,bic_rep,bic_rep_avg,ebic_rep,ebic_rep_avg,aic_cls,aic_cls_avg,bic_cls,bic_cls_avg,ebic_cls,ebic_cls_avg
1,8416.895469665527,0.4651416122004357,0.4634980415379058,0.4651416122004357,0.4651416122004357,16845.598813056946,3.6700651008838663,16883.57078181167,3.6783378609611486,16904.537071326013,3.6829056800274538,18881.790939331055,4.11367994320938,25467.785489658956,5.5485371437165485,39663.43974752664,8.641272276149595,86533.79093933105,18.85267776456014,310676.28125078353,67.68546432478944,1039655.2278591339,226.50440694098776
2,7242.924674987793,0.5579520697167756,0.5590494077976246,0.5579520697167756,0.5579520697167757,14498.365106582642,3.1586852084058044,14538.613497601831,3.1674539210461505,14561.565407775135,3.1724543372059117,16533.849349975586,3.602145827881391,23119.843900303487,5.037003028388559,37315.49815817117,8.129738160821605,84185.84934997559,18.341143649232155,308328.33966142806,67.17393020946145,1037307.2862697784,225.9928728256598
3,5612.705600738525,0.6668845315904139,0.6640816667565693,0.6668845315904139,0.666884531590414,11238.00522518158,2.448367151455682,11278.505308914357,2.4571906991098817,11301.679260286895,2.462239490258583,13273.41120147705,2.891810719276046,19859.405751804952,4.326667919783214,34055.060009672634,7.41940305221626,80925.41120147705,17.63080854062681,305067.90151292953,66.46359510085611,1034046.8481212799,225.28253771705442
4,3155.4667778015137,0.8394335511982571,0.8389961872758689,0.8394335511982571,0.839433551198257,6324.526832580566,1.3778925561177704,6368.240332627036,1.387416194472121,6394.290870450277,1.393091692908557,8358.933555603027,1.821118421700006,14944.928105930929,3.255975622207174,29140.58236379861,6.34871075464022,76010.93355560303,16.560116243050768,300153.4238670555,65.39290280328007,1029132.3704754058,224.2118454194784
5,2579.2467975616455,0.8947712418300654,0.8946208073980212,0.8947712418300654,0.8947712418300654,5172.6198806762695,1.1269324358771828,5218.0474391080525,1.1368295074309482,5245.662775336683,1.1428459205526542,7206.493595123291,1.5700421775867737,13792.488145451192,3.004899378093942,27988.142403318874,6.097634510526988,74858.49359512329,16.309039998937536,299000.98390657577,65.14182655916683,1027979.9305149261,223.96076917536516
6,2757.338119506836,0.8830065359477124,0.8826143137980227,0.8830065359477124,0.8830065359477123,5528.610827445984,1.2044903763498875,5573.421922893381,1.2142531422425666,5600.472121623939,1.2201464317263482,7562.676239013672,1.647641882138055,14148.670789341573,3.082499082645223,28344.325047209255,6.175234215078269,75214.67623901367,16.386639703488818,299357.16655046615,65.21942626371812,1028336.1131588165,224.03836887991645
7,2703.711471557617,0.9013071895424837,0.9011303497325265,0.9013071895424837,0.9013071895424837,5422.723317146301,1.1814212019926582,5471.926530030376,1.1921408562157683,5503.058663081469,1.1989234560090345,7455.422943115234,1.6242751510054976,14041.417493443136,3.0591323515126656,28237.071751310817,6.151867483945712,75107.42294311523,16.36327297235626,299249.9132545677,65.19605953258556,1028228.859862918,224.01500214878388
8,2671.8947830200195,0.8893246187363835,0.888800059520725,0.8893246187363835,0.8893246187363835,5359.141930580139,1.1675690480566752,5408.512335460875,1.1783251275513889,5439.802333761634,1.1851421206452362,7391.789566040039,1.6104116701612285,13977.78411636794,3.0452688706683966,28173.438374235622,6.138004003101443,75043.78956604004,16.34940949151199,299186.2798774925,65.18219605174129,1028165.2264858428,224.0011386679396
9,2696.027645111084,0.8967320261437909,0.8966718711202801,0.8967320261437909,0.8967320261437909,5408.012517929077,1.1782162348429361,5459.328052458396,1.189396089860217,5492.467457812349,1.196616003880686,7440.055290222168,1.6209270784797751,14026.04984055007,3.0557842789869434,28221.70409841775,6.148519411419989,75092.05529022217,16.35992489983054,299234.54560167465,65.19271146005984,1028213.492210025,224.01165407625817
10,2756.1990547180176,0.8901960784313725,0.8898666210897936,0.8901960784313725,0.8901960784313725,5528.414638519287,1.2044476336643326,5579.920875461409,1.2156690360482374,5613.242850003802,1.2229287254910244,7560.398109436035,1.6471455576113367,14146.392659763937,3.0820027581185045,28342.04691763162,6.174737890551551,75212.39810943604,16.3861433789621,299354.8884208885,65.2189299391914,1028333.8350292388,224.03787255538973
11,3590.323787689209,0.8291938997821351,0.8297252603425623,0.8291938997821351,0.8291938997821352,7195.906143188477,1.5677355431783173,7244.97491488909,1.5784259073832438,7275.980234720493,1.5851808790240727,9228.647575378418,2.010598600300309,15814.64212570632,3.445455800807477,30010.296383574,6.538190933240523,76880.64757537842,16.74959642165107,301023.1378868309,65.58238298188037,1030002.0844951812,224.4013255980787
12,3414.764907836914,0.8457516339869281,0.8452168801804768,0.8457516339869281,0.845751633986928,6845.001200675964,1.4912856646352863,6894.7543536594085,1.502125131516211,6926.406409800139,1.5090210043137557,8877.529815673828,1.9341023563559538,15463.52436600173,3.368959556863122,29659.17862386941,6.461694689296168,76529.52981567383,16.673100177706715,300672.0201271263,65.50588673793601,1029650.9667354766,224.32482935413435
13,3162.2767753601074,0.8586056644880175,0.8582941978351741,0.8586056644880175,0.8586056644880175,6340.206146240234,1.3813085285926436,6390.54203920573,1.3922749540753225,6422.747092226481,1.3992913054959655,8372.553550720215,1.8240857408976503,14958.548101048116,3.2589429414048183,29154.202358915798,6.351678073837864,76024.55355072021,16.563083562248412,300167.0438621727,65.39587012247772,1029145.990470523,224.21481273867605
14,3062.837236404419,0.8688453159041394,0.8685978915757936,0.8688453159041394,0.8688453159041395,6141.122052192688,1.3379350876236793,6190.798650648642,1.3487578759583099,6222.378215751534,1.3556379555014235,8173.674472808838,1.7807569657535594,14759.66902313674,3.2156141662607274,28955.32328100442,6.3083492986937735,75825.67447280884,16.519754787104322,299968.1647842613,65.35254134733363,1028947.1113926116,224.17148396353195
15,2517.7433223724365,0.8928104575163399,0.8923575779010138,0.8928104575163399,0.8928104575163398,5051.431240081787,1.1005296819350299,5102.706151212695,1.1117006865387133,5135.806697367168,1.1189121345026511,7083.486644744873,1.5432432777221945,13669.481195072774,2.9781004782293627,27865.135452940456,6.070835610662408,74735.48664474487,16.28224109907296,298877.97695619735,65.11502765930226,1027856.9235645477,223.93397027550057
