layer_number,loss,accuracy_score,f1_macro,f1_micro,balanced_accuracy_score,aic,aic_avg,bic,bic_avg,ebic,ebic_avg
1,3568.2500224113464,0.5689828801611279,0.5670967949728912,0.5689828801611279,0.5690794836453099,11750.500044822693,2.958333344617999,26254.666777878494,6.609936248207073,61984.113611092194,15.60526525959018
2,2703.164135456085,0.7099697885196374,0.7092349204517703,0.7099697885196374,0.7100441316127591,10020.32827091217,2.5227412565237084,24524.49500396797,6.174344160112782,60253.94183718167,15.169673171495889
3,2635.2384836673737,0.7089627391742196,0.7067197082859549,0.7089627391742196,0.7090545619957385,9884.476967334747,2.4885390149382545,24388.64370039055,6.140141918527329,60118.09053360425,15.135470929910435
4,2091.838311523199,0.777693856998993,0.777161706777267,0.777693856998993,0.7777583968060159,8797.676623046398,2.214923621109365,23301.8433561022,5.866526524698439,59031.2901893159,14.861855536081546
5,1968.2333363592625,0.7912890231621349,0.7920796898898871,0.7912890231621349,0.7913324874109188,8550.466672718525,2.1526854664447446,23054.633405774326,5.804288370033818,58784.08023898803,14.799617381416924
6,2004.7461349070072,0.7895266868076536,0.7896830071851948,0.7895266868076536,0.7895710990949086,8623.492269814014,2.171070561383186,23127.659002869816,5.82267346497226,58857.105836083516,14.818002476355366
7,2088.5256858468056,0.7852467270896274,0.7848507068937209,0.7852467270896274,0.7853044351643792,8791.051371693611,2.213255632349852,23295.218104749412,5.864858535938925,59024.66493796311,14.860187547322033
8,2184.4729389846325,0.7666163141993958,0.7666744317870218,0.7666163141993958,0.7666719109296141,8982.945877969265,2.2615674415834,23487.112611025066,5.913170345172474,59216.55944423877,14.90849935655558
9,2255.4642308950424,0.7618328298086606,0.7625519077868965,0.7618328298086606,0.7618785405900251,9124.928461790085,2.2973133086077757,23629.095194845886,5.948916212196849,59358.542028059586,14.944245223579957
10,2472.985319495201,0.728600201409869,0.7286675834425682,0.728600201409869,0.7286629751615745,9559.970638990402,2.406840543552468,24064.137372046203,6.058443447141542,59793.584205259904,15.053772458524648
11,2650.4326338768005,0.7089627391742196,0.7080747762674918,0.7089627391742196,0.7090368911097201,9914.865267753601,2.4961896444495473,24419.032000809402,6.147792548038621,60148.4788340231,15.143121559421727
12,2786.749861240387,0.695619335347432,0.695692598091592,0.695619335347432,0.6956834015657546,10187.499722480774,2.56482873174239,24691.666455536575,6.216431635331464,60421.113288750275,15.211760646714572
