layer_number,loss,accuracy_score,f1_macro,f1_micro,balanced_accuracy_score,aic_pr,aic_pr_avg,bic_pr,bic_pr_avg,ebic_pr,ebic_pr_avg,aic_rep,aic_rep_avg,bic_rep,bic_rep_avg,ebic_rep,ebic_rep_avg,aic_cls,aic_cls_avg,bic_cls,bic_cls_avg,ebic_cls,ebic_cls_avg
1,4356.072660923004,0.3607754279959718,0.36023614550838184,0.3607754279959718,0.3608184014346479,8717.04311466217,2.1946231406500933,8732.439387663813,2.198499342312138,8736.826034636986,2.1996037348028668,12808.145321846008,3.224608590595672,25683.972573384057,6.466256941939592,56914.41194069295,14.32890532243025,21006.14532184601,5.28855622402971,59652.48815153565,15.018249786388632,166901.89490887042,42.01961100424734
2,4406.223319530487,0.3189828801611279,0.30796163588745834,0.3189828801611279,0.31895322231456685,8820.833483695984,2.2207536464491398,8847.197634747223,2.2273911467138023,8859.22032093315,2.230418006277228,12908.446639060974,3.2498606845571434,25784.273890599023,6.491509035901063,57014.71325790792,14.354157416391722,21106.446639060974,5.313808317991182,59752.78946875061,15.043501880350103,167002.1962260854,42.04486309820881
3,4733.184115409851,0.3001007049345418,0.29927053973966194,0.3001007049345418,0.3000715955898029,9533.682828903198,2.4002222630672705,9745.287110258132,2.4534962513237994,9981.980710587373,2.513086785142843,13562.368230819702,3.4144935122909623,26438.19548235775,6.656141863634882,57668.63484966665,14.51879024412554,21760.368230819702,5.478441145725,60406.71106050934,15.208134708083923,167656.11781784412,42.209495925942626
4,4748.40811085701,0.29934541792547836,0.2989663145317825,0.29934541792547836,0.2993271382627125,9585.02796792984,2.4131490352290634,9862.322695916026,2.482961403805646,10196.344673157708,2.567055557189755,13592.81622171402,3.422159169615816,26468.64347325207,6.663807520959735,57699.082840560965,14.526455901450394,21790.81622171402,5.486106803049854,60437.15905140366,15.215800365408777,167686.56580873844,42.21716158326748
5,4743.828615188599,0.3016112789526687,0.30120063422463633,0.3016112789526687,0.3015878716158828,9582.154460906982,2.4124255943874577,9879.207687481758,2.48721240873156,10243.534526070758,2.578936184811369,13583.657230377197,3.4198532805582067,26459.484481915246,6.6615016319021265,57689.92384922414,14.524150012392784,21781.657230377197,5.483800913992245,60428.000060066835,15.213494476351167,167677.4068174016,42.214855694209874
6,4737.622357368469,0.2998489425981873,0.2997102034558951,0.2998489425981873,0.2998470043287971,9583.00461769104,2.4126396318456798,9921.749220981937,2.497922764597668,10351.361926868261,2.6060830631591796,13571.244714736938,3.416728276620579,26447.071966274987,6.658376627964499,57677.51133358388,14.521025008455156,21769.24471473694,5.480675910054617,60415.58754442658,15.21036947241354,167664.99430176136,42.21173069027225
7,4757.577548027039,0.30085599194360524,0.3005895913461336,0.30085599194360524,0.3008371439743989,9613.332929611206,2.4202751585123883,9921.956177856286,2.4979748685438787,10304.2246663597,2.594215676324194,13611.155096054077,3.42677620746578,26486.982347592126,6.6684245588097,57717.42171490102,14.531072939300358,21809.155096054077,5.490723840899818,60455.497925743715,15.22041740325874,167704.9046830785,42.221778621117444
8,4742.825178146362,0.3023665659617321,0.3022591787398088,0.3023665659617321,0.30235284997189765,9583.323566436768,2.4127199311270813,9890.36052466867,2.490020273078718,10270.160867061959,2.585639694627885,13581.650356292725,3.419348025249931,26457.477607830773,6.66099637659385,57687.91697513967,14.52364475708451,21779.650356292725,5.483295658683969,60425.99318598236,15.212989221042891,167675.39994331714,42.2143504389016
9,4743.220236301422,0.29934541792547836,0.2991622749935635,0.29934541792547836,0.29933055843419987,9576.651021003723,2.411040035499427,9860.229008668817,2.482434292212693,10203.840924380656,2.5689428309115447,13582.440472602844,3.419546946778158,26458.267724140893,6.6611952981220774,57688.70709144979,14.523843678612737,21780.440472602844,5.483494580212197,60426.78330229248,15.213188142571118,167676.19005962726,42.21454936042982
10,4736.931950569153,0.30916414904330314,0.30903622803825836,0.30916414904330314,0.3091567111174954,9549.585718154907,2.404226011620067,9787.61819742208,2.4641536247286204,10062.785165094092,2.5334303033973042,13569.863901138306,3.4163806397629166,26445.691152676354,6.658028991106836,57676.13051998525,14.520677371597495,21767.863901138306,5.480328273196955,60414.206730827944,15.210021835555876,167663.61348816272,42.21138305341458
