layer_number,loss,accuracy_score,f1_macro,f1_micro,balanced_accuracy_score,aic_pr,aic_pr_avg,bic_pr,bic_pr_avg,ebic_pr,ebic_pr_avg,aic_rep,aic_rep_avg,bic_rep,bic_rep_avg,ebic_rep,ebic_rep_avg,aic_cls,aic_cls_avg,bic_cls,bic_cls_avg,ebic_cls,ebic_cls_avg
1,3847.583911895752,0.5319738167170192,0.5302775374515634,0.5319738167170192,0.5320447267225978,7714.862546920776,1.9423118194664593,7776.773155509493,1.9578985789298826,7821.818996173704,1.969239425018556,9231.167823791504,2.3240603785980625,14059.603043118272,3.539678510352032,24264.464073233095,6.10887816546654,12309.167823791504,3.098984849897156,26813.334556847305,6.75058775348623,62542.781390061005,15.745916764869337
2,3697.0005373954773,0.5579053373615307,0.5567474478670235,0.5579053373615307,0.5579667764541715,7420.079586982727,1.8680965727549665,7502.0577163671,1.888735578138746,7569.026411292273,1.9055957732357183,8930.001074790955,2.2482379342374004,13758.436294117722,3.46385606599137,23963.297324232546,6.033055721105877,12008.001074790955,3.0231624055364943,26512.167807846756,6.674765309125568,62241.614641060456,15.670094320508674
3,3686.4179198741913,0.567472306143001,0.5664626804528171,0.567472306143001,0.5675329961044246,7403.843982219696,1.8640090589676979,7501.318466070212,1.8885494627568509,7586.314968979695,1.9099483809113027,8908.835839748383,2.2429093252135908,13737.27105907515,3.4585274569675604,23942.132089189974,6.027727112082068,11986.835839748383,3.0178337965126842,26491.002572804184,6.669436700101758,62220.449406017884,15.664765711484865
4,3848.7443857192993,0.5342396777442094,0.5333548325527283,0.5342396777442094,0.5343031799614432,7731.288934707642,1.9464473652335452,7837.540170871211,1.9731974246906372,7933.10399541699,1.9972567964292522,9233.488771438599,2.3246447058002513,14061.923990765366,3.5402628375542213,24266.78502088019,6.109462492668729,12311.488771438599,3.099569177099345,26815.6555044944,6.751172080688419,62545.1023377081,15.746501092071526
5,3990.21902179718,0.4909365558912387,0.48874225136699073,0.4909365558912387,0.4910095092167921,8015.924150466919,2.018107792161863,8127.475171443648,2.0461921378256918,8229.533009183988,2.0718864574984863,9516.43804359436,2.395880675627986,14344.873262921128,3.6114988073819556,24549.734293035952,6.180698462496463,12594.43804359436,3.1708051469270795,27098.60477665016,6.822408050516153,62828.05160986386,15.81773706189926
6,4168.326644420624,0.4619838872104733,0.4622747390449564,0.4619838872104733,0.4620172855466973,8364.994481086731,2.105990554150738,8454.085373531914,2.128420285380643,8529.22266558372,2.147337025574955,9872.653288841248,2.4855622580164267,14701.088508168015,3.7011803897703968,24905.94953828284,6.270380044884904,12950.653288841248,3.2604867293155206,27454.82002189705,6.912089632904594,63184.26685511075,15.9074186442877
7,4228.164151668549,0.43454179254783487,0.42973396724293506,0.43454179254783487,0.4346285522756111,8480.49686908722,2.1350697052082626,8556.4710579339,2.15419714449494,8616.696844427388,2.1693597292113265,9992.328303337097,2.5156919192691585,14820.763522663865,3.731310051023128,25025.62455277869,6.300509706137635,13070.328303337097,3.290616390568252,27574.4950363929,6.942219294157326,63303.9418696066,15.937548305540433
8,4287.478444576263,0.42900302114803623,0.42797847138134815,0.42900302114803623,0.4290428422081083,8594.873814582825,2.1638655122313253,8657.48291888514,2.179628126607538,8703.260434667232,2.1911531809333415,10110.956889152527,2.545558129192479,14939.392108479295,3.7611762609464487,25144.25313859412,6.330375916060956,13188.956889152527,3.3204826004915726,27693.123622208328,6.972085504080646,63422.57045542203,15.967414515463753
9,4421.168320655823,0.38872104733131924,0.3889467456842251,0.38872104733131924,0.388742391543512,8856.420271873474,2.229713059384057,8900.692340767173,2.240859098883981,8928.181700849636,2.2477798844032315,10378.336641311646,2.612874280289941,15206.771860638413,3.8284924120439108,25411.632890753237,6.3976920671584185,13456.336641311646,3.3877987515890347,27960.503374367447,7.039401655178108,63689.95020758115,16.034730666561217
10,4446.8236882686615,0.3776435045317221,0.3744414890315803,0.3776435045317221,0.3777203188967895,8908.429131031036,2.242806931276696,8954.895761239948,2.254505478660611,8984.462914296604,2.2619493741935055,10429.647376537323,2.6257923908704237,15258.08259586409,3.8414105226243933,25462.943625978914,6.410610177738901,13507.647376537323,3.400716862169517,28011.814109593124,7.052319765758591,63741.260942806824,16.0476487771417
11,4396.653235435486,0.378147029204431,0.37686747965869144,0.378147029204431,0.37819230256205044,8807.240654945374,2.21733148412522,8851.042936935884,2.2283592489768087,8878.091945411425,2.235169170546683,10329.306470870972,2.6005303300279383,15157.74169019774,3.8161484617819084,25362.602720312563,6.385348116896416,13407.306470870972,3.3754548013270322,27911.473203926773,7.027057704916106,63640.92003714047,16.022386716299213
12,4448.635340690613,0.35725075528700906,0.35571650616098077,0.35725075528700906,0.35728194411667796,8915.986270904541,2.244709534467407,8974.818960751441,2.2595213899172815,9016.670942292689,2.2700581425711706,10433.270681381226,2.6267046025632492,15261.705900707993,3.842322734317219,25466.566930822817,6.411522389431727,13511.270681381226,3.4016290738623427,28015.437414437027,7.053231977451417,63744.88424765073,16.048560988834524
