layer_number,loss,accuracy_score,f1_macro,f1_micro,balanced_accuracy_score,aic_pr,aic_pr_avg,bic_pr,bic_pr_avg,ebic_pr,ebic_pr_avg,aic_rep,aic_rep_avg,bic_rep,bic_rep_avg,ebic_rep,ebic_rep_avg,aic_cls,aic_cls_avg,bic_cls,bic_cls_avg,ebic_cls,ebic_cls_avg
1,3617.3709206581116,0.567472306143001,0.5648242538230898,0.567472306143001,0.5675392664188182,7258.769911766052,1.8274848720458339,7334.302451878305,1.8465011208152833,7394.038052493215,1.8615402951896312,9282.741841316223,2.337044773745273,15720.655467085247,3.9578689494172323,29916.309724952927,7.531800031458441,13384.741841316223,3.3697738774713555,32717.34379369879,8.236994912814398,82108.3639021786,20.671793530256444
2,3505.283273935318,0.5981873111782477,0.5974097538112294,0.5981873111782477,0.5982581066614681,7036.610636234283,1.771553533795137,7118.480553884215,1.7921652955398326,7185.326449593195,1.8089945744192335,9058.566547870636,2.2806058781144602,15496.48017363966,3.90143005378642,29692.13443150734,7.475361135827629,13160.566547870636,3.313334981840543,32493.168500253203,8.180556017183585,81884.188608733,20.615354634625632
3,3249.193043231964,0.6304128902316214,0.6292177603812749,0.6304128902316214,0.630486382587223,6524.677742958069,1.6426681125272076,6607.325894123922,1.6634758041601012,6675.0559461686025,1.6805276803042806,8546.386086463928,2.1516581285155914,14984.299712232953,3.772482304187551,29179.953970100632,7.346413386228759,12648.386086463928,3.184387232241674,31980.988038846495,8.051608267584717,81372.0081473263,20.486406885026764
4,3395.9658267498016,0.6090130916414904,0.6075996498873323,0.6090130916414904,0.6090863695905712,6817.977382183075,1.7165099149504217,6899.852456198898,1.7371229748738413,6966.704201407851,1.7539537264370217,8839.931653499603,2.225561846298994,15277.845279268628,3.8463860219709534,29473.499537136307,7.420317104012162,12941.931653499603,3.2582909500250765,32274.53360588217,8.125511985368119,81665.55371436197,20.560310602810166
5,3534.8737800121307,0.5893756294058409,0.5880574330038584,0.5893756294058409,0.5894500250242547,7093.886769771576,1.7859735069918368,7169.768677656113,1.8050777134078835,7229.891971565612,1.820214494351866,9117.747560024261,2.29550542800208,15555.661185793286,3.91632960367404,29751.315443660966,7.490260685715248,13219.747560024261,3.3282345317281625,32552.34951240683,8.195455567071205,81943.36962088663,20.63025418451325
6,3592.452084302902,0.5833333333333334,0.5829213365649194,0.5833333333333334,0.5834003116916282,7211.577168941498,1.815603516853348,7295.424079244868,1.836713010887429,7364.520610545277,1.8541089150416106,9232.904168605804,2.3244975248252278,15670.817794374829,3.9453217004971877,29866.47205224251,7.519252782538396,13334.904168605804,3.3572266285513104,32667.50612098837,8.224447663894354,82058.52622946817,20.659246281336397
7,3462.256628870964,0.5934038267875126,0.5918897284113933,0.5934038267875126,0.593484117293641,6951.915187597275,1.7502304097676926,7038.053496966466,1.7719167917841052,7109.777122487769,1.7899740993171622,8972.513257741928,2.258940900740667,15410.426883510952,3.8797650764126264,29606.081141378632,7.453696158453835,13074.513257741928,3.291670004466749,32407.115210124495,8.158891039809792,81798.1353186043,20.593689657251836
8,3634.8793721199036,0.5631923464249748,0.5608699092461179,0.5631923464249748,0.5632771627169386,7298.778700828552,1.8375575782549225,7390.003297479874,1.8605244958408544,7467.626940526669,1.880067205570662,9317.758744239807,2.3458607110372123,15755.672370008831,3.966684886709172,29951.32662787651,7.54061596875038,13419.758744239807,3.378589814763295,32752.360696622374,8.245810850106338,82143.38080510218,20.680609467548383
9,3742.690789461136,0.5490936555891238,0.5474206112336821,0.5490936555891238,0.5491638250741891,7518.3173089027405,1.892829131143691,7621.8511882073835,1.9188950624892709,7714.117701617684,1.9421242954727302,9533.381578922272,2.400146419668246,15971.295204691296,4.020970595340206,30166.949462558976,7.594901677381414,13635.381578922272,3.4328755233943284,32967.98353130484,8.300096558737371,82359.00363978464,20.734895176179418
10,3847.5601840019226,0.5234138972809668,0.5212221023594666,0.5234138972809668,0.5234925879183582,7724.917967796326,1.9448433957191151,7818.587095588915,1.968425754176464,7899.078773652309,1.9886905271027968,9743.120368003845,2.4529507472315824,16181.03399377287,4.073774922903542,30376.68825164055,7.647706004944751,13845.120368003845,3.485679850957665,33177.72232038641,8.352900886300707,82568.74242886622,20.787699503742754
11,4035.3837370872498,0.49269889224572005,0.49049598581076315,0.49269889224572005,0.492782298104427,8106.854231834412,2.041000561891846,8220.293406076878,2.0695602734332526,8324.684416246551,2.0958419980479737,10118.7674741745,2.5475245403259064,16556.681099943526,4.168348715997866,30752.335357811207,7.742279798039076,14220.7674741745,3.580253644051989,33553.36942655707,8.447474679395032,82944.38953503687,20.882273296837077
12,4060.338098526001,0.4730614300100705,0.47137918133623485,0.4730614300100705,0.4731385431665543,8159.282608032227,2.0542000523746795,8280.642344014466,2.084753863044931,8394.927787488832,2.1135266333053453,10168.676197052002,2.5600896770020145,16606.589822821028,4.180913852673974,30802.24408068871,7.754844934715184,14270.676197052002,3.592818780728097,33603.27814943457,8.46003981607114,82994.29825791437,20.894838433513186
13,4261.8619928359985,0.4310171198388721,0.42854071883095984,0.4310171198388721,0.4310778442431104,8582.617631912231,2.1607798670473897,8767.750545780018,2.2073893619788567,8966.963369179579,2.257543647829703,10571.723985671997,2.6615619299274917,17009.637611441023,4.282386105599452,31205.291869308705,7.856317187640661,14673.723985671997,3.6942910336535744,34006.325938054564,8.561512068996617,83397.34604653437,20.99631068643866
14,4425.758880376816,0.40231621349446123,0.4002951964598352,0.40231621349446123,0.4023774752066069,8930.658912181854,2.2484035529158746,9179.440111956661,2.311037289012251,9470.528057535881,2.3843222702759017,10899.517760753632,2.7440880565844994,17337.431386522658,4.36491223225646,31533.08564439034,7.938843314297668,15001.517760753632,3.776817160310582,34334.1197131362,8.644038195653625,83725.139821616,21.07883681309567
15,4537.55842590332,0.39123867069486407,0.3904215579422501,0.39123867069486407,0.391281298844324,9166.096542358398,2.3076778807548837,9452.092337998736,2.379680850452854,9799.406319294438,2.4671214298324364,11123.11685180664,2.800381886154743,17561.030477575667,4.4212060618267035,31756.68473544335,7.995137143867913,15225.11685180664,3.8331109898808258,34557.71880418921,8.700332025223869,83948.73891266901,21.135130642665914
16,4643.080425739288,0.3675730110775428,0.3665732855381795,0.3675730110775428,0.3676171323230147,9398.034050941467,2.3660710098039948,9749.708853275706,2.4546094796766633,10199.91111218394,2.5679534522114653,11334.160851478577,2.8535148165857445,17772.074477247603,4.474338992257705,31967.728735115285,8.048270074298914,15436.160851478577,3.886243920311827,34768.762803861144,8.75346495565487,84159.78291234095,21.188263573096915
17,4657.219052553177,0.3564954682779456,0.3552657215969084,0.3564954682779456,0.3565317865037753,9426.081667423248,2.3731323432586224,9777.034602515694,2.461489074147959,10226.08335819178,2.574542638014043,11362.438105106354,2.8606339640247618,17800.35173087538,4.481458139696722,31996.00598874306,8.055389221737931,15464.438105106354,3.8933630677508444,34797.04005748892,8.760584103093887,84188.06016596872,21.19538272053593
18,4680.989013671875,0.37059415911379656,0.36860767103278463,0.37059415911379656,0.3706536745752433,9465.641960144043,2.3830921349808767,9791.510830005278,2.465133643002336,10200.776773417703,2.568171393106169,11409.97802734375,2.872602725917359,17847.891653112776,4.493426901589319,32043.545910980458,8.067357983630528,15511.97802734375,3.9053318296434414,34844.57997972632,8.772552864986485,84235.60008820612,21.20735148242853
19,4605.071906089783,0.3723564954682779,0.3685219750793845,0.3723564954682779,0.37244071417740887,9301.680555343628,2.3418128286363613,9589.427452840911,2.414256659829031,9939.426737852842,2.5023732975460327,11258.143812179565,2.834376589169075,17696.05743794859,4.455200764841035,31891.711695816273,8.029131846882244,15360.143812179565,3.8671056928951573,34692.74576456213,8.7343267282382,84083.76587304194,21.169125345680246
20,4602.542063713074,0.3683282980866062,0.3671484838631347,0.3683282980866062,0.3683404985925995,9274.887212753296,2.3350672741070735,9494.314084896054,2.3903106960966904,9742.291709692257,2.4527421222790173,11253.084127426147,2.833102751114337,17690.997753195174,4.4539269267862975,31886.652011062855,8.027858008827506,15355.084127426147,3.86583185484042,34687.686079808715,8.733052890183464,84078.70618828852,21.167851507625507
21,4649.492807388306,0.3690835850956697,0.36703629553006195,0.3690835850956697,0.369153929378019,9347.033466339111,2.3532309834690612,9498.072488928537,2.3912569206768723,9650.819021390842,2.429712744559628,11346.985614776611,2.856743608956851,17784.899240545637,4.477567784628811,31980.55349841332,8.05149886667002,15448.985614776611,3.889472712682933,34781.58756715918,8.756693748025976,84172.60767563898,21.191492365468022
22,4519.460523605347,0.391742195367573,0.39115614571066315,0.391742195367573,0.3917846340815529,9061.37230682373,2.281312262543739,9131.948122340551,2.2990805947483763,9186.23974799091,2.312749181266594,11086.921047210693,2.7912691458234375,17524.83467297972,4.412093321495398,31720.4889308474,7.986024403536606,15188.921047210693,3.82399824954952,34521.52299959326,8.691219284892563,83912.54310807306,21.12601790233461
23,4521.897211074829,0.3637965760322256,0.35946851359498316,0.3637965760322256,0.3638663442585011,9057.26361656189,2.2802778490840607,9099.604197731145,2.290937612721839,9125.293426982047,2.297405193097192,11091.794422149658,2.7924960780840027,17529.708047918684,4.413320253755963,31725.362305786366,7.987251335797172,15193.794422149658,3.8252251818100853,34526.396374532225,8.692446217153128,83917.41648301203,21.127244834595174
24,4515.068662881851,0.3610271903323263,0.3523303271493099,0.3610271903323263,0.36114217766878837,9045.335784435272,2.2772748702002197,9093.112329441321,2.2893032047938875,9123.935515620184,2.297063322160167,11078.137325763702,2.789057735590056,17516.05095153273,4.4098819112620165,31711.70520940041,7.983812993303225,15180.137325763702,3.8217868393161387,34512.73927814627,8.68900787465918,83903.75938662607,21.123806492101227
