layer_number,loss,accuracy_score,f1_macro,f1_micro,balanced_accuracy_score,aic,aic_avg,bic,bic_avg,ebic,ebic_avg
1,6920.8447341918945,0.46923367308418273,0.45828380203290875,0.46923367308418273,0.46941930618401206,30241.68946838379,5.708133157490334,84157.3837610063,15.884745896754682,231952.37046634476,43.781119378321016
2,1600.6368770599365,0.8859947149867875,0.8858211751517789,0.8859947149867875,0.8860791169614699,19601.273754119873,3.699749670464302,73516.96804674239,13.87636240972865,221311.95475208084,41.772735891294985
3,1438.049038887024,0.8926009815024537,0.892314792856659,0.8926009815024537,0.8926950500479913,19276.098077774048,3.638372608111372,73191.79237039656,13.81498534737572,220986.77907573502,41.71135882894205
4,1438.3379497528076,0.8942997357493394,0.8941283706850643,0.8942997357493394,0.8943910256410256,19276.675899505615,3.6384816722358653,73192.37019212813,13.815094411500214,220987.35689746658,41.71146789306655
5,1601.6609630584717,0.8831634579086448,0.8832513758996294,0.8831634579086448,0.8832536336212807,19603.321926116943,3.700136263895233,73519.01621873946,13.876749003159581,221314.0029240779,41.77312248472592
6,1679.126558303833,0.8754246885617214,0.875097332826597,0.8754246885617214,0.8755390442890443,19758.253116607666,3.729379599208695,73673.94740923018,13.905992338473043,221468.93411456863,41.80236582003938
7,1748.7245635986328,0.8712721781804454,0.8707224263426365,0.8712721781804454,0.871383518442342,19897.449127197266,3.755652911890764,73813.14341981978,13.932265651155111,221608.13012515823,41.82863913272145
8,1979.8338537216187,0.8537183842959607,0.8531843597764222,0.8537183842959607,0.853839297956945,20359.667707443237,3.8428968870221287,74275.36200006575,14.019509626286476,222070.3487054042,41.915883107852814
9,1938.854393005371,0.8499433748584372,0.8496489329364685,0.8499433748584372,0.8500599890305773,20277.708786010742,3.8274271019272823,74193.40307863326,14.00403984119163,221988.3897839717,41.90041332275797
10,1944.2126474380493,0.8525858814647037,0.8525464854898142,0.8525858814647037,0.8527106471959414,20288.4252948761,3.8294498480324837,74204.11958749862,14.006062587296832,221999.10629283707,41.90243606886317
11,2035.0898113250732,0.847678369195923,0.847409637757034,0.847678369195923,0.847795831619361,20470.179622650146,3.863756063165373,74385.87391527266,14.040368802429722,222180.8606206111,41.93674228399606
12,2200.3742542266846,0.8323895809739524,0.8322669663123881,0.8323895809739524,0.8325140545728781,20800.74850845337,3.926151096348314,74716.44280107589,14.102763835612663,222511.42950641434,41.999137317179
13,2274.921633720398,0.8252170630426576,0.8240261177748375,0.8252170630426576,0.8253496503496502,20949.843267440796,3.9542928024614565,74865.53756006331,14.130905541725804,222660.52426540176,42.02727902329214
14,2360.4651279449463,0.8187995469988675,0.8177855507729495,0.8187995469988675,0.8189342520224874,21120.930255889893,3.9865855522630977,75036.62454851241,14.163198291527445,222831.61125385086,42.05957177309378
15,2497.87166595459,0.8114382785956965,0.809712899031466,0.8114382785956965,0.8115770259152613,21395.74333190918,4.038456650039483,75311.4376245317,14.215069389303832,223106.42432987015,42.11144287087017
16,2540.0594806671143,0.8091732729331823,0.8087546839395864,0.8091732729331823,0.8093162964486494,21480.11896133423,4.05438258990831,75395.81325395675,14.230995329172659,223190.7999592952,42.12736881073899
17,2853.762819290161,0.7833144582861458,0.7821852523840498,0.7833144582861458,0.7834678801590567,22107.525638580322,4.172805896296777,76023.21993120284,14.349418635561126,223818.2066365413,42.245792117127465
18,2849.8191776275635,0.7870894677236693,0.7856253826610252,0.7870894677236693,0.7872540449746332,22099.638355255127,4.171317167847325,76015.33264787764,14.347929907111673,223810.3193532161,42.24430338867801
19,3198.1763038635254,0.7655719139297849,0.7636555452808876,0.7655719139297849,0.7657496914849855,22796.35260772705,4.3028223117642606,76712.04690034957,14.479435051028608,224507.03360568802,42.375808532594945
20,3239.503532409668,0.759531898829747,0.7569608834732744,0.759531898829747,0.759700226244344,22879.007064819336,4.318423379543098,76794.70135744185,14.495036118807446,224589.6880627803,42.391409600373784
21,3532.6093158721924,0.7387693469233673,0.7370881657427486,0.7387693469233673,0.73893630878925,23465.218631744385,4.429071089419476,77380.9129243669,14.605683828683825,225175.89962970535,42.50205731025016
22,3695.5362300872803,0.7281993204983013,0.7251123323296722,0.7281993204983013,0.7283713835184424,23791.07246017456,4.490576153298331,77706.76675279708,14.66718889256268,225501.75345813553,42.56356237412901
23,3883.2958812713623,0.7091355228388071,0.7071566147375569,0.7091355228388071,0.7093068696009872,24166.591762542725,4.561455598818936,78082.28605516524,14.738068338083284,225877.2727605037,42.63444181964962
24,3791.864393234253,0.7180067950169875,0.7158672484411643,0.7180067950169875,0.7181783902372137,23983.728786468506,4.526940125796245,77899.42307909102,14.703552865060594,225694.40978442947,42.59992634662693
