layer_number,loss,accuracy_score,f1_macro,f1_micro,balanced_accuracy_score,aic_pr,aic_pr_avg,bic_pr,bic_pr_avg,ebic_pr,ebic_pr_avg,aic_rep,aic_rep_avg,bic_rep,bic_rep_avg,ebic_rep,ebic_rep_avg,aic_cls,aic_cls_avg,bic_cls,bic_cls_avg,ebic_cls,ebic_cls_avg
1,5328.375949859619,0.5885239713099283,0.5801463429618344,0.5885239713099283,0.588738344988345,10725.331649780273,2.0244114099245514,10950.790481423885,2.066966870785935,11193.209619194042,2.1127235974318688,12192.751899719238,2.3013876745411928,17242.416926150225,3.254514331096683,27447.27795626505,5.1806866659616935,22960.75189971924,4.333852755703895,63410.67278852579,11.968794410820271,170757.32080615193,32.230524878473375
2,4488.582813262939,0.6562853907134768,0.6496793972755108,0.6562853907134768,0.6564685314685315,9048.279159545898,1.707866961031691,9282.06790993466,1.751994697986912,9536.023617671102,1.7999289576578148,10513.165626525879,1.984364972919192,15562.830652956865,2.9374916294746822,25767.69168307169,4.863663964339692,21281.16562652588,4.016830054081895,61731.086515332434,11.65177170919827,169077.73453295857,31.91350217685137
3,4096.611377716064,0.697432993582484,0.6933068810275753,0.697432993582484,0.6976192924722336,8274.548812866211,1.5618249929909798,8541.911669612566,1.6122898583640177,8843.25068832285,1.669167740340289,9729.222755432129,1.8363953860762796,14778.887781863115,2.7895220426317695,24983.74881197794,4.71569437749678,20497.22275543213,3.8688604672389824,60947.143644238684,11.503802122355358,168293.79166186482,31.76553259000846
4,4116.502868652344,0.6900717251793129,0.6863551189629569,0.6900717251793129,0.6902372137666255,8306.794021606445,1.567911291356445,8549.376130069293,1.613698778797526,8815.60815072761,1.6639501983253322,9769.005737304688,1.8439044426773665,14818.670763735674,2.7970310992328566,25023.5317938505,4.723203434097867,20537.005737304688,3.8763695238400695,60986.92662611124,11.511311178956445,168333.57464373737,31.773041646609546
5,4508.391014099121,0.6551528878822197,0.6488657655241523,0.6551528878822197,0.655342451665981,9077.032619476318,1.7132941901616305,9275.108989006714,1.7506811983780133,9480.284257550855,1.7894081271330418,10552.782028198242,1.9918425874288868,15602.447054629229,2.9449692439843767,25807.308084744054,4.871141578849388,21320.782028198242,4.0243076685915895,61770.7029170048,11.659249323707964,169117.35093463093,31.920979791361066
6,4791.696086883545,0.6338240845602114,0.6295038184633048,0.6338240845602114,0.6339820718497189,9631.993816375732,1.8180433779493643,9791.773773998102,1.8482019203469426,9946.837814024666,1.8774703310729834,11119.39217376709,2.0987905197748375,16169.057200198076,3.0519171763303277,26373.918230312902,4.978089511195338,21887.39217376709,4.131255600937541,62337.313062573645,11.766197256053916,169683.96108019978,32.027927723707016
7,4858.190963745117,0.6111740279350698,0.6050982280321902,0.6111740279350698,0.6113756341697518,9775.04704284668,1.8450447419491656,9967.911093163724,1.8814479224544591,10166.12280757553,1.918860477081074,11252.381927490234,2.123892398544778,16302.04695392122,3.0770190551002683,26506.907984036046,5.003191389965279,22020.381927490234,4.156357479707481,62470.30281629679,11.791299134823856,169816.95083392292,32.053029602476954
8,4811.576290130615,0.6215553038882597,0.6133755872487432,0.6215553038882597,0.62174688057041,9703.130088806152,1.8314703829381187,9966.05953398869,1.8810984397864645,10261.06442452699,1.9367807520813496,11159.15258026123,2.1062953152625954,16208.817606692217,3.0594219718180855,26413.678636807042,4.985594306683096,21927.15258026123,4.138760396425298,62377.073469067785,11.773702051541674,169723.72148669392,32.03543251919478
9,4701.537952423096,0.6394865987164968,0.6338421596952131,0.6394865987164968,0.639663033045386,9491.602798461914,1.791544507070954,9782.638709002207,1.8464776725183478,10118.169731541497,1.9098093113517358,10939.075904846191,2.064755738929066,15988.740931277178,3.017882395484556,26193.601961392003,4.944054730349566,21707.07590484619,4.097220820091769,62156.99679365275,11.732162475208144,169503.64481127888,31.993892942861244
10,4565.842052459717,0.6479803699509249,0.6424812806247364,0.6479803699509249,0.6481763334704511,9226.36767578125,1.7414812525068422,9537.643923410491,1.800234791130708,9902.875691937283,1.8691724597843116,10667.684104919434,2.0135304086295647,15717.34913135042,2.966657065185055,25922.210161465246,4.892829400050065,21435.684104919434,4.045995489792268,61885.60499372599,11.680937144908643,169232.25301135212,31.942667612561745
11,4863.313690185547,0.6268403171007928,0.6207493419714045,0.6268403171007928,0.6270276292335115,9819.627304077148,1.85345928729278,10125.368490404762,1.9111680804841,10482.437191761532,1.978564966357405,11262.627380371094,2.1258262326106254,16312.29240680208,3.0789528891661155,26517.153436916906,5.005125224031126,22030.627380371094,4.158291313773328,62480.54826917765,11.793232968889704,169827.19628680378,32.054963436542806
12,5294.712886810303,0.5985277463193658,0.5940650053079477,0.5985277463193658,0.5986948100918689,10675.925598144531,2.015085994364766,10960.297433229744,2.068761312425395,11286.141856283375,2.1302646010349897,12125.425773620605,2.2886798364704806,17175.090800051592,3.2418064930259707,27379.951830166417,5.167978827890981,22893.425773620605,4.321144917633183,63343.34666242716,11.956086572749559,170689.9946800533,32.21781704040266
