layer_number,loss,accuracy_score,f1_macro,f1_micro,balanced_accuracy_score,aic,aic_avg,bic,bic_avg,ebic,ebic_avg
1,10235.339462280273,0.25424688561721404,0.23870760638393146,0.25424688561721404,0.2544229055258467,53254.67892456055,10.051845776625244,161033.46683244692,30.395142852481488,479187.3910827427,90.44684618398315
2,10783.627540588379,0.19913174782936957,0.1915590633439339,0.19913174782936957,0.19929298642533935,54351.25508117676,10.258825043634722,162130.04298906313,30.602122119490964,480283.9672393589,90.65382545099263
3,10917.683464050293,0.1868629671574179,0.1800107774920791,0.1868629671574179,0.18700894693541753,54619.366928100586,10.309431281257188,162398.15483598696,30.652728357113432,480552.07908628276,90.70443168861509
4,10975.455474853516,0.17232918082295207,0.1669282729137705,0.17232918082295207,0.17243846839435073,54734.91094970703,10.331240269857878,162513.6988575934,30.67453734571412,480667.6231078892,90.72624067721578
5,11026.48617553711,0.16666666666666666,0.16143660159333403,0.16666666666666666,0.16677721788015906,54836.97235107422,10.350504407526278,162615.7602589606,30.693801483382522,480769.6845092564,90.74550481488419
6,11028.790237426758,0.16459041147602868,0.1591258430952333,0.16459041147602868,0.16470588235294117,54841.580474853516,10.351374193064084,162620.3683827399,30.694671268920327,480774.2926330357,90.74637460042199
7,10815.879180908203,0.19535673839184597,0.18875013302843568,0.19535673839184597,0.19549482380364736,54415.758361816406,10.271000068293018,162194.54626970278,30.614297144149262,480348.4705199986,90.66600047565092
8,10823.170639038086,0.19592298980747452,0.18926019218641954,0.19592298980747452,0.19605700671877144,54430.34127807617,10.273752600618378,162209.12918596255,30.617049676474622,480363.05343625834,90.66875300797628
9,10855.391487121582,0.1866742166855417,0.17853308437450024,0.1866742166855417,0.18681184012066365,54494.782974243164,10.2859160011784,162273.57088212954,30.629213077034642,480427.49513242533,90.6809164085363
10,10651.490966796875,0.20139675349188374,0.1923532383980016,0.20139675349188374,0.20154943096119565,54086.98193359375,10.208943362324225,161865.76984148013,30.55224043818047,480019.6940917759,90.60394376968213
11,10578.058013916016,0.21234428086070214,0.20347636142203374,0.21234428086070214,0.2124991430138489,53940.11602783203,10.18122235330918,161718.9039357184,30.524519429165423,479872.8281860142,90.57622276066708
12,10558.12085723877,0.20838052095130238,0.2000678556367802,0.20838052095130238,0.20854243795420263,53900.24171447754,10.17369605784778,161679.02962236392,30.516993133704023,479832.9538726597,90.56869646520569
13,10402.019973754883,0.22593431483578708,0.21617079449372537,0.22593431483578708,0.22611322501028383,53588.039947509766,10.114767827012036,161366.82785539614,30.45806490286828,479520.75210569194,90.50976823436994
14,10569.195259094238,0.2212155530388826,0.2122052193868882,0.2212155530388826,0.22139637323460853,53922.39051818848,10.177876654999713,161701.17842607485,30.521173730855956,479855.10267637065,90.57287706235762
15,11182.52953338623,0.1904492261230653,0.18788365550214628,0.1904492261230653,0.19054572878102288,55149.05906677246,10.409410922380609,162927.84697465884,30.75270799823685,481081.77122495463,90.80441132973851
16,11085.810775756836,0.1906379765949415,0.18775744486978496,0.1906379765949415,0.19073169477581242,54955.62155151367,10.372899500096956,162734.40945940005,30.716196575953198,480888.33370969584,90.76789990745486
17,10871.283409118652,0.20951302378255945,0.2054262381073868,0.20951302378255945,0.20962738242150009,54526.566818237305,10.291915216730333,162305.35472612368,30.635212292586576,480459.2789764195,90.68691562408823
18,10725.180671691895,0.22064930162325405,0.2151431239927928,0.22064930162325405,0.22078362813656932,54234.36134338379,10.236761295466929,162013.14925127017,30.580058371323172,480167.07350156596,90.63176170282483
19,10356.738876342773,0.2544356360890902,0.2478612855843576,0.2544356360890902,0.25458316193610314,53497.47775268555,10.097674170004822,161276.26566057192,30.440971245861064,479430.1899108677,90.49267457736272
20,10020.476760864258,0.2793506983767459,0.2723515751800619,0.2793506983767459,0.27950003427944603,52824.953521728516,9.970734904063518,160603.7414296149,30.31403197991976,478757.6656799107,90.36573531142142
21,9702.057807922363,0.297281993204983,0.28800714727313254,0.297281993204983,0.2974427533251063,52188.11561584473,9.850531448819314,159966.9035237311,30.193828524675556,478120.8277740269,90.24553185617722
22,9114.900184631348,0.34465836164590413,0.3342034577247118,0.34465836164590413,0.3448375154257507,51013.800369262695,9.628878891895564,158792.58827714907,29.972175967751806,476946.51252744487,90.02387929925347
23,9227.07763671875,0.3376745941864855,0.3287778497425664,0.3376745941864855,0.3378376525435349,51238.1552734375,9.671225985926293,159016.94318132388,30.014523061782537,477170.86743161967,90.0662263932842
24,9193.768714904785,0.3431483578708947,0.3348826123638168,0.3431483578708947,0.34332322089675027,51171.53742980957,9.658651836506147,158950.32533769595,30.00194891236239,477104.24958799174,90.05365224386405
25,9116.24641418457,0.34937712344280863,0.342444105486091,0.34937712344280863,0.3495423693953106,51016.49282836914,9.629387094822413,158795.28073625552,29.972684170678654,476949.2049865513,90.02438750218032
26,8565.65894317627,0.38882597206493014,0.3656719938291478,0.38882597206493014,0.3890228643905115,49915.31788635254,9.421539804898554,157694.10579423892,29.764836880754796,475848.0300445347,89.81654021225646
27,8221.43384552002,0.4082672706681767,0.38768642177070844,0.4082672706681767,0.40847387906211435,49226.86769104004,9.291594505670071,157005.65559892642,29.634891581526315,475159.5798492222,89.68659491302797
28,7545.694541931152,0.45847489618724047,0.440050228042724,0.45847489618724047,0.4586624160153572,47875.389083862305,9.036502280834712,155654.17699174868,29.379799356690956,473808.1012420445,89.43150268819261
29,6878.208843231201,0.5066062665156663,0.48917085914554626,0.5066062665156663,0.5068044700397641,46540.4176864624,8.784525799634277,154319.20559434878,29.12782287549052,472473.1298446446,89.17952620699218
30,6488.220275878906,0.53359758399396,0.5172254367593815,0.53359758399396,0.5337832510626628,45760.44055175781,8.637304747406155,153539.2284596442,28.9806018232624,471693.15270994,89.03230515476406
31,6402.348361968994,0.5377500943752359,0.5209464418659939,0.5377500943752359,0.5379576306046894,45588.69672393799,8.604888018863342,153367.48463182437,28.948185094719587,471521.40888212016,88.99988842622125
32,6411.284427642822,0.5381275953189883,0.5226805451202389,0.5381275953189883,0.5383167078020019,45606.568855285645,8.608261392088645,153385.35676317202,28.95155846794489,471539.2810134678,89.00326179944655
33,6506.80574798584,0.535673839184598,0.5192113029119558,0.535673839184598,0.5358640134375428,45797.61149597168,8.644320780666606,153576.39940385806,28.98761785652285,471730.32365415385,89.03932118802452
34,6420.790740966797,0.5398263495658739,0.5241347459168395,0.5398263495658739,0.5400195392842452,45625.581481933594,8.611850034340051,153404.36938981997,28.955147110196297,471558.29364011576,89.00685044169795
35,6484.3637771606445,0.5405813514533786,0.5225868343864437,0.5405813514533786,0.5407719731249143,45752.72755432129,8.635848915500432,153531.51546220767,28.979145991356674,471685.43971250346,89.03084932285833
36,6474.003551483154,0.538882597206493,0.5217499273205805,0.538882597206493,0.5390657136980666,45732.00710296631,8.631937920529692,153510.7950108527,28.975234996385936,471664.7192611485,89.02693832788759
37,6431.477401733398,0.5526613816534541,0.5348487996089653,0.5526613816534541,0.5528443370355136,45646.9548034668,8.615884258865005,153425.74271135317,28.959181334721247,471579.66696164897,89.0108846662229
38,6203.6517333984375,0.5607776519441299,0.546550430063401,0.5607776519441299,0.5609737076648842,45191.303466796875,8.529879854057546,152970.09137468325,28.87317692991379,471124.01562497905,88.92488026141545
39,5894.688491821289,0.5892789731974329,0.5763586606472525,0.5892789731974329,0.5894830659536542,44573.37698364258,8.413245938777383,152352.16489152896,28.75654301463363,470506.08914182475,88.80824634613529
40,5673.285991668701,0.6073990184975463,0.5952018575950033,0.6073990184975463,0.6076228918140683,44130.5719833374,8.32966628602065,151909.35989122378,28.672963361876892,470063.2841415196,88.72466669337855
41,5887.139465332031,0.5894677236693092,0.578755722155414,0.5894677236693092,0.5896861716714659,44558.27893066406,8.410396174153277,152337.06683855044,28.75369325000952,470490.99108884623,88.80539658151118
42,5917.875713348389,0.5907889769724425,0.5782142235013403,0.5907889769724425,0.5910145002056767,44619.75142669678,8.421999136786859,152398.53933458315,28.7652962126431,470552.46358487895,88.81699954414476
