layer_number,loss,accuracy_score,f1_macro,f1_micro,balanced_accuracy_score,aic,aic_avg,bic,bic_avg,ebic,ebic_avg
1,10160.1771774292,0.24971687429218573,0.2341063978251109,0.24971687429218573,0.2499108734402852,44912.3543548584,8.477228077549716,125759.59545511285,23.737182985110014,357343.1796372045,67.4486937782568
2,10347.860244750977,0.24575311438278596,0.23314800041647188,0.24575311438278596,0.24592931578225696,45287.72048950195,8.548078612590025,126134.9615897564,23.80803352015032,357718.54577184806,67.5195443132971
3,10791.664070129395,0.19554548886372217,0.1882493156480714,0.19554548886372217,0.19568164678458796,46175.32814025879,8.715614975511285,127022.56924051324,23.975569883071582,358606.1534226049,67.68708067621837
4,11370.490005493164,0.15345413363533408,0.15236476012997416,0.15345413363533408,0.15349136157959686,47332.98001098633,8.93412231237945,128180.22111124078,24.194077219939746,359763.80529333244,67.90558801308653
5,10663.412498474121,0.20970177425443565,0.19951553050308504,0.20970177425443565,0.20984162895927602,45918.82499694824,8.667199886173696,126766.0660972027,23.927154793733994,358349.65027929435,67.63866558688078
6,10587.989921569824,0.21687429218573046,0.2060814963245624,0.21687429218573046,0.2170111750994104,45767.97984313965,8.638727792212089,126615.2209433941,23.898682699772387,358198.80512548576,67.61019349291917
7,10950.999786376953,0.19214798036995093,0.18724766463469583,0.19214798036995093,0.19223484848484848,46493.999572753906,8.775764358768196,127341.24067300836,24.035719266328496,358924.8248551,67.74723005947527
8,9840.854675292969,0.2770856927142318,0.26422384477599103,0.2770856927142318,0.27726330042506514,44273.70935058594,8.356683531631925,125120.95045084039,23.616638439192222,356704.53463293205,67.328149232339
9,10576.231369018555,0.22517931294828236,0.21951289654544814,0.22517931294828236,0.22528023447141093,45744.46273803711,8.634288927526823,126591.70383829156,23.89424383508712,358175.2880203832,67.6057546282339
10,9716.964553833008,0.2936957342393356,0.28096678057566715,0.2936957342393356,0.2938879747703277,44025.929107666016,8.309914893859196,124873.17020792047,23.569869801419493,356456.7543900121,67.28138059456627
11,10520.709831237793,0.23121932804832013,0.2225850121283862,0.23121932804832013,0.23133312765665706,45633.419662475586,8.613329494616004,126480.66076273004,23.8732844021763,358064.2449448217,67.58479519532308
12,9575.644264221191,0.304643261608154,0.29112514422829644,0.304643261608154,0.30482911696146986,43743.28852844238,8.256566351159378,124590.52962869684,23.516521258719674,356174.1138107885,67.22803205186646
13,10347.616416931152,0.24782936957342394,0.23944296082031233,0.24782936957342394,0.24793380638968876,45287.232833862305,8.547986567357928,126134.47393411676,23.807941474918227,357718.0581162084,67.51945226806501
14,10230.99479675293,0.25839939599849,0.2503083112642944,0.25839939599849,0.2585064445358563,45053.98959350586,8.50396179567872,125901.23069376031,23.763916703239016,357484.81487585197,67.4754274963858
15,8788.37124633789,0.36126840317100795,0.35014616379478203,0.36126840317100795,0.36147504456327983,42168.74249267578,7.959370043917663,123015.98359293024,23.21932495147796,354599.5677750219,66.93083574462474
16,10043.43856048584,0.26689316723291806,0.2599826642422352,0.26689316723291806,0.2670154600301659,44678.87712097168,8.433159139481253,125526.11822122613,23.69311404704155,357109.7024033178,67.40462484018833
17,8723.35131072998,0.3654209135522839,0.3530627983439384,0.3654209135522839,0.36561171671465786,42038.70262145996,7.934824956862959,122885.94372171442,23.194779864423257,354469.52790380607,66.90629065757004
18,8481.855247497559,0.3892034730086825,0.3772973379215494,0.3892034730086825,0.38940250925545045,41555.71049499512,7.843659965080241,122402.95159524957,23.103614872640538,353986.5357773412,66.81512566578732
19,8300.509101867676,0.3944884862212156,0.38219187057261894,0.3944884862212156,0.3946978266831208,41193.01820373535,7.7752016239591075,122040.2593039898,23.035156531519405,353623.84348608146,66.74666732466619
20,9758.599632263184,0.3027557568893922,0.2803271986649254,0.3027557568893922,0.30294631838749486,44109.19926452637,8.32563217525979,124956.44036478082,23.585587082820087,356540.0245468725,67.29709787596687
21,9562.90266418457,0.3052095130237826,0.280883398682959,0.3052095130237826,0.30540329768270946,43717.80532836914,8.251756385120638,124565.0464286236,23.511711292680936,356148.63061071525,67.22322208582771
22,9247.54532623291,0.33352208380520953,0.307659669048542,0.33352208380520953,0.33372583299053893,43087.09065246582,8.132708692424655,123934.33175272027,23.392663599984953,355517.9159348119,67.10417439313173
23,8932.64525604248,0.35805964514911287,0.3327705650786469,0.35805964514911287,0.3582536336212807,42457.29051208496,8.013833618740083,123304.53161233942,23.27378852630038,354888.11579443107,66.98529931944717
24,8720.475227355957,0.38052095130237823,0.3538344185840846,0.38052095130237823,0.38072552447552443,42032.950454711914,7.933739232674956,122880.19155496637,23.19369414023525,354463.775737058,66.90520493338204
25,8456.295196533203,0.403359758399396,0.37770613166657097,0.403359758399396,0.4035513506101741,41504.590393066406,7.834011021718839,122351.83149332086,23.093965929279136,353935.4156754125,66.80547672242592
26,7533.77880859375,0.46998867497168745,0.4465325048288819,0.46998867497168745,0.47021801727684076,39659.5576171875,7.485760214644677,120506.79871744195,22.745715122204974,352090.3828995336,66.45722591535176
27,7140.428688049316,0.4971687429218573,0.4754810506782753,0.4971687429218573,0.49736905251611135,38872.85737609863,7.3372701729140495,119720.09847635309,22.597225080474345,351303.68265844474,66.30873587362113
28,6913.62419128418,0.5117025292563231,0.49056420618537366,0.5117025292563231,0.5119129644864938,38419.24838256836,7.251651261337932,119266.48948282281,22.51160616889823,350850.07366491447,66.22311696204501
29,6798.623027801514,0.5201963004907513,0.5025810788677365,0.5201963004907513,0.5203885575209105,38189.24605560303,7.208238213590605,119036.48715585748,22.468193121150904,350620.07133794914,66.17970391429769
30,6752.8790283203125,0.5234050585126463,0.5039095335380979,0.5234050585126463,0.5236013986013985,38097.758056640625,7.190969810615445,118944.99915689508,22.45092471817574,350528.58333898673,66.16243551132253
