layer_number,loss,accuracy_score,f1_macro,f1_micro,balanced_accuracy_score,aic_pr,aic_pr_avg,bic_pr,bic_pr_avg,ebic_pr,ebic_pr_avg,aic_rep,aic_rep_avg,bic_rep,bic_rep_avg,ebic_rep,ebic_rep_avg,aic_cls,aic_cls_avg,bic_cls,bic_cls_avg,ebic_cls,ebic_cls_avg
1,10281.264595031738,0.26406191015477537,0.25826863910520315,0.26406191015477537,0.26420968737145206,20596.64812850952,3.8876270533238055,20708.815583073287,3.908798713301866,20805.600961583223,3.9270669991663314,22610.529190063477,4.267748053994616,29343.41589197146,5.538583596068603,43539.07014983914,8.218020035832227,36962.52919006348,6.976694826361547,90878.223482686,17.153307565625894,238673.21018802444,45.04968104719223
2,10237.980674743652,0.2682144205360513,0.2593309286194715,0.2682144205360513,0.2683772110242698,20518.00804901123,3.872783701210123,20656.23835373963,3.8988747364551966,20784.297202688653,3.923045904622245,22523.961349487305,4.2514083332365615,29256.84805139529,5.522243875310549,43452.50230926297,8.201680315074173,36875.961349487305,6.960355105603493,90791.65564210982,17.13696784486784,238586.64234744827,45.033341326434176
3,6018.258197784424,0.5434126085315213,0.5346276700828675,0.5434126085315213,0.5435640340052106,12092.992805480957,2.2825580984297766,12278.661393991086,2.3176031321236477,12467.330771597142,2.353214566175376,14084.516395568848,2.6584591158114095,20817.403097476832,3.929294657885397,35013.057355344514,6.608731097649021,28436.516395568848,5.36740588817834,82352.21068819136,15.54401862744269,230147.19739352982,43.440392109009025
4,3726.9107818603516,0.7123442808607021,0.7099662113252194,0.7123442808607021,0.7125317084875908,7517.781520843506,1.4189848095212356,7728.052587624133,1.4586735725979865,7949.680878714766,1.500506017122455,9501.821563720703,1.7934733038355424,16234.708265628686,3.064308845909529,30430.362523496366,5.743745285673153,23853.821563720703,4.5024200762024735,77769.51585634322,14.67903281546682,225564.50256168167,42.575406297033155
5,3540.612730026245,0.7293318233295584,0.7273374965606689,0.7293318233295584,0.7295317427670369,7148.847202301025,1.3493482828050256,7371.156542703863,1.3913092757085435,7609.237987450911,1.4362472607495111,9129.22546005249,1.7231456134489411,15862.112161960473,2.993981155522928,30057.766419828153,5.673417595286552,23481.22546005249,4.4320923858158725,77396.919752675,14.60870512508022,225191.90645801346,42.505078606646556
6,3557.365339279175,0.7257455643639109,0.7233145448943465,0.7257455643639109,0.7259238310708899,7182.132823944092,1.3556309595968463,7403.720230363882,1.3974556871204007,7640.809280356321,1.4422063571831487,9162.73067855835,1.7294697392522367,15895.617380466332,3.0003052813262236,30091.271638334012,5.679741721089847,23514.73067855835,4.438416511619168,77430.42497118087,14.615029250883516,225225.41167651932,42.51140273244985
7,3654.2510929107666,0.7212155530388826,0.7184055599644031,0.7212155530388826,0.7213732346085286,7367.474338531494,1.3906142579334644,7561.347787146622,1.4272079628438321,7760.904733029483,1.4648744305453913,9356.502185821533,1.766044202684321,16089.388887729516,3.036879744758308,30285.043145597196,5.716316184521932,23708.502185821533,4.474990975051252,77624.19647844405,14.6516037143156,225419.1831837825,42.547977195881934
8,3848.6117095947266,0.7097017742544356,0.7082740382073698,0.7097017742544356,0.7098776223776224,7760.298320770264,1.4647599699453122,7967.659729987839,1.503899533784039,8185.3422969535795,1.5449872210180406,9745.223419189453,1.8394155189108066,16478.110121097438,3.110251060984794,30673.76437896512,5.7896875007484185,24097.223419189453,4.548362291277737,78012.91771181197,14.724975030542085,225807.90441715042,42.62134851210842
9,3982.112522125244,0.7021517553793885,0.6992201313644459,0.7021517553793885,0.7023361442479089,8026.982433319092,1.5150967220307836,8233.30000671092,1.5540392613648397,8449.570070393132,1.5948603379375486,10012.225044250488,1.8898122016327839,16745.111746158473,3.160647743706771,30940.766004026154,5.840084183470395,24364.22504425049,4.598758973999715,78279.919336873,14.775371713264063,226074.90604221146,42.6717451948304
10,3793.0666007995605,0.7074367685919215,0.7049912164133696,0.7074367685919215,0.7076194638694638,7648.787517547607,1.443712253217744,7854.766233693459,1.482590833086723,8070.57811185083,1.5233254269254115,9634.133201599121,1.8184471879198039,16367.019903507104,3.0892827299937906,30562.674161374784,5.768719169757415,23986.13320159912,4.527393960286735,77901.82749422164,14.704006699551083,225696.8141995601,42.60038018111742
11,3691.7966690063477,0.7178180445451113,0.7156644933599421,0.7178180445451113,0.7180207047854107,7444.668029785156,1.4051846035834572,7645.453664579068,1.4430829868967663,7854.265001515071,1.4824962252765328,9431.593338012695,1.780217693094129,16164.480039920678,3.0510532351681157,30360.134297788358,5.73048967493174,23783.593338012695,4.48916446546106,77699.28763063521,14.665777204725408,225494.27433597366,42.562150686291744
12,3673.3511295318604,0.7183842959607399,0.7152742146261892,0.7183842959607399,0.7185700329082683,7407.152263641357,1.3981034850210188,7605.884212836205,1.4356142342084193,7811.938298006582,1.4745070400163425,9394.70225906372,1.7732544845344886,16127.588960971703,3.0440900266084756,30323.243218839383,5.7235264663721,23746.70225906372,4.482201256901419,77662.39655168624,14.658813996165767,225457.3832570247,42.555187477732105
13,3873.478328704834,0.698565496413741,0.696472546068329,0.698565496413741,0.6987479432332373,7807.733242034912,1.473713333717424,8007.538836962008,1.511426734043414,8215.033591113524,1.5505914668013447,9794.956657409668,1.8488026910928026,16527.843359317652,3.11963823316679,30723.497617185334,5.799074672930415,24146.956657409668,4.557749463459733,78062.65095003218,14.734362202724082,225857.63765537064,42.63073568429042
14,3737.8405990600586,0.7181955454888638,0.7151697441058189,0.7181955454888638,0.718385780885781,7535.993190765381,1.4224222708126426,7734.271419889828,1.4598473801226555,7939.717211737027,1.4986253702787895,9523.681198120117,1.7975993201434726,16256.5679000281,3.0684348622174595,30452.22215789578,5.747871301981084,23875.681198120117,4.506546092510403,77791.37549074263,14.683158831774751,225586.36219608109,42.57953231334109
15,4052.5497856140137,0.6910154775386939,0.686899555232547,0.6910154775386939,0.6912107500342795,8165.289768218994,1.541202296757077,8363.16758897373,1.5785518287983638,8568.076834872554,1.6172285456535587,10153.099571228027,1.9164023350751278,16885.98627313601,3.187237877149115,31081.640531003693,5.866674316912739,24505.099571228027,4.625349107442059,78420.79386385054,14.801961846706407,226215.780569189,42.69833532827274
16,4378.800872802734,0.6693091732729332,0.6652631376770617,0.6693091732729332,0.6694895790484026,8811.844989776611,1.6632398999200853,8990.17195137243,1.6968991980695411,9169.19263086079,1.7306894357985638,10805.601745605469,2.0395624283891034,17538.488447513453,3.3103979704630904,31734.142705381135,5.989834410226715,25157.60174560547,4.748509200756034,79073.29603822799,14.925121940020382,226868.28274356644,42.82149542158672
