layer_number,loss,accuracy_score,f1_macro,f1_micro,balanced_accuracy_score,aic,aic_avg,bic,bic_avg,ebic,ebic_avg
1,6671.596160888672,0.4888637221593054,0.4816917038195435,0.4888637221593054,0.4890305772658714,25647.192321777344,4.840919653034606,66097.11321058389,12.47586130815098,173443.76122821003,32.737591775804084
2,6802.334037780762,0.49584748961872405,0.4882264909773126,0.49584748961872405,0.49601501439736734,25908.668075561523,4.89027332494555,66358.58896436807,12.525214980061923,173705.2369819942,32.78694544771503
3,7707.209403991699,0.42431106077765196,0.4150289450983815,0.42431106077765196,0.42447638146167554,27718.4188079834,5.231864629668441,68168.33969678995,12.866806284784815,175514.9877144161,33.12853675243792
4,8695.846076965332,0.3633446583616459,0.355368798244181,0.3633446583616459,0.3635172425613602,29695.692153930664,5.6050759067441795,70145.61304273721,13.240017561860553,177492.26106036335,33.50174802951366
5,9544.064727783203,0.2944507361268403,0.28609664430163156,0.2944507361268403,0.2945812765665707,31392.129455566406,5.925279247936279,71842.05034437295,13.560220903052652,179188.6983619991,33.821951370705754
6,10244.83139038086,0.24952812382030956,0.2377933804360694,0.24952812382030956,0.24966491841491842,32793.66278076172,6.189819324417085,73243.58366956827,13.824760979533458,180590.2316871944,34.08649144718656
7,10558.441192626953,0.24235560588901472,0.235372260397574,0.24235560588901472,0.24249537227478404,33420.882385253906,6.308207320734977,73870.80327406045,13.94314897585135,181217.4512916866,34.20487944350445
8,10993.474395751953,0.19875424688561721,0.18579246277670125,0.19875424688561721,0.1989201974496092,34290.948791503906,6.472432765478276,74740.86968031045,14.107374420594649,182087.5176979366,34.369104888247755
9,11057.02466583252,0.18761796904492262,0.18092524887597727,0.18761796904492262,0.18773052927464692,34418.04933166504,6.4964230524094075,74867.97022047159,14.131364707525782,182214.61823809773,34.393095175178885
10,11032.400772094727,0.18478671196677993,0.1793164521635413,0.18478671196677993,0.18486990950226245,34368.80154418945,6.487127509284533,74818.722432996,14.122069164400907,182165.37045062214,34.38379963205401
11,11136.478240966797,0.1708191770479426,0.16467867980465398,0.1708191770479426,0.17090274921157275,34576.956481933594,6.526416852007096,75026.87737074014,14.16135850712347,182373.52538836628,34.423088974776576
12,11106.089820861816,0.178557946394866,0.17341280712722879,0.178557946394866,0.17860619772384478,34516.17964172363,6.514945194738322,74966.10053053018,14.149886849854695,182312.74854815632,34.4116173175078
