layer_number,loss,accuracy_score,f1_macro,f1_micro,balanced_accuracy_score,aic,aic_avg,bic,bic_avg,ebic,ebic_avg
1,6034.179580688477,0.5604001510003775,0.5547835134647352,0.5604001510003775,0.5605597833539009,28468.359161376953,5.373416225250463,82384.05345399947,15.55002896451481,230179.04015933792,43.446402446081144
2,5942.880531311035,0.5666289165722914,0.5604333272158663,0.5666289165722914,0.5667943576031811,28285.76106262207,5.338950747946786,82201.45535524459,15.515563487211134,229996.44206058304,43.41193696877747
3,6060.22492980957,0.5536051340128351,0.5480747356141258,0.5536051340128351,0.5537887357740299,28520.44985961914,5.383248369124035,82436.14415224166,15.559861108388384,230231.1308575801,43.45623458995472
4,6384.138999938965,0.5228388070970177,0.5151132615726857,0.5228388070970177,0.5230280748663101,29168.27799987793,5.50552623629255,83083.97229250045,15.682138975556898,230878.9589978389,43.57851245712323
5,6933.327789306641,0.48395620989052474,0.4775338084027247,0.48395620989052474,0.4841174756615933,30266.65557861328,5.712845522577063,84182.3498712358,15.889458261841412,231977.33657657425,43.78583174340775
6,7604.757514953613,0.43714609286523215,0.42861328253224906,0.43714609286523215,0.43733203071438365,31609.515029907227,5.966310877672183,85525.20932252974,16.14292361693653,233320.1960278682,44.03929709850287
7,7927.555160522461,0.41694979237448093,0.40953080131249586,0.41694979237448093,0.4170857328945564,32255.110321044922,6.088167293515463,86170.80461366744,16.26478003277981,233965.7913190059,44.16115351434615
8,8589.65470123291,0.3607021517553794,0.35242576253894886,0.3607021517553794,0.36087086932675166,33579.30940246582,6.338110494991661,87495.00369508834,16.51472323425601,235289.9904004268,44.411096715822346
9,9068.31201171875,0.3463571158927897,0.3387249632648477,0.3463571158927897,0.34652834910187846,34536.6240234375,6.518804081434031,88452.31831606002,16.69541682069838,236247.30502139847,44.59179030226472
10,9740.129035949707,0.282559456398641,0.277185670856573,0.282559456398641,0.2827043054984232,35880.258071899414,6.772415642110119,89795.95236452193,16.949028381374468,237590.93906986038,44.845401862940804
11,10010.122825622559,0.28123820309550773,0.27353709680463545,0.28123820309550773,0.28138797477032773,36420.24565124512,6.874338552518897,90335.93994386763,17.050951291783246,238130.92664920609,44.947324773349585
12,10413.623901367188,0.2538693846734617,0.24557699661978621,0.2538693846734617,0.2540166940902235,37227.247802734375,7.026660589417586,91142.94209535689,17.203273328681934,238937.92880069534,45.099646810248274
13,10935.862976074219,0.2212155530388826,0.21442612491869179,0.2212155530388826,0.22134066913478678,38271.72595214844,7.22380633298385,92187.42024477095,17.400419072248198,239982.4069501094,45.296792553814534
14,11312.588119506836,0.20328425821064552,0.19858267424923248,0.20328425821064552,0.20340309200603318,39025.17623901367,7.366020430164906,92940.87053163619,17.542633169429255,240735.85723697464,45.43900665099559
15,11494.020324707031,0.17893544733861835,0.1743448087347644,0.17893544733861835,0.1790406897024544,39388.04064941406,7.434511258855052,93303.73494203658,17.6111239981194,241098.72164737503,45.50749747968574
16,11549.387565612793,0.18082295205738014,0.1763995993891443,0.18082295205738014,0.18090377759495407,39498.775131225586,7.455412444549941,93414.4694238481,17.63202518381429,241209.45612918655,45.52839866538063
17,11584.182823181152,0.18384295960739902,0.17779437330408704,0.18384295960739902,0.1839409365144659,39568.365646362305,7.468547687120103,93484.05993898482,17.64516042638445,241279.04664432327,45.541533907950786
18,11486.662124633789,0.18648546621366555,0.1822286256260975,0.18648546621366555,0.18658988070752777,39373.32424926758,7.431733531383084,93289.0185418901,17.60834627064743,241084.00524722855,45.50471975221377
19,11396.546745300293,0.17685919214798038,0.1718470118390414,0.17685919214798038,0.17694964349376113,39193.093490600586,7.397714890638087,93108.7877832231,17.574327629902434,240903.77448856155,45.47070111146877
20,11542.836456298828,0.1821442053605134,0.177767370077294,0.1821442053605134,0.1822458179075826,39485.672912597656,7.4529393946012945,93401.36720522017,17.62955213386564,241196.35391055862,45.52592561543198
21,11193.669830322266,0.19384673461683655,0.18958810861299685,0.19384673461683655,0.1939531057178116,38787.33966064453,7.321128663768315,92703.03395326705,17.497741403032663,240498.0206586055,45.394114884599
22,11116.118202209473,0.19214798036995093,0.18915449312866953,0.19214798036995093,0.19224598930481285,38632.236404418945,7.291852850966204,92547.93069704146,17.46846559023055,240342.9174023799,45.36483907179689
23,11177.85424041748,0.1662891657229143,0.16092414394689797,0.1662891657229143,0.16639671602906897,38755.70848083496,7.315158263653258,92671.40277345748,17.491771002917606,240466.38947879593,45.388144484483945
24,11282.88198852539,0.16081540203850508,0.15812521120647233,0.16081540203850508,0.16084858768682297,38965.76397705078,7.354806337684179,92881.4582696733,17.531419076948527,240676.44497501175,45.42779255851487
