model,polyrhythms,dynamics,seventh_chords,mode_mixture,secondary_dominants
wav2vec2-large,1989.9598951339722,392.87605488300323,11923.596862792969,3587.573757171631,6524.677742958069
wav2vec2-base,4354.909074783325,665.3169233798981,13368.321577072144,3728.320812225342,7420.079586982727
MERT-v1-330M,264.77128553390503,76.19670822098851,2957.0487384796143,178.7363024018705,1760.1111775934696
MERT-v1-95M,336.95191264152527,174.07978580892086,8274.548812866211,1766.834927558899,4050.2986815571785
jukebox,35.20260402560234,14.430586465323358,1234.544972062111,80.99854271486402,1252.28687190052
musicgen-large,807.7568397521973,154.330884963274,6108.687026977539,2002.5396347045898,5993.9991979599
musicgen-medium,1854.2034788131714,195.37486611306667,9310.014587402344,2539.9667987823486,6291.985059261322
musicgen-small,4155.468974113464,406.63014820218086,7148.847202301025,1622.4561367034912,4793.744839191437
musicgen-audio,14239.048718452454,5486.453267097473,20604.44138431549,4076.932342529297,8806.491305828094
baseline-mel,15764.957587242126,2872.2806606292725,16216.960220336914,2854.481828212738,8240.870524406433
baseline-mfcc,22837.419748306274,2342.2708826065063,20060.084590911865,3895.6665182113647,8526.803492546082
baseline-chroma,26000.725516319275,7289.172749519348,21782.605102539062,3434.28431892395,6749.34956073761
baseline-concat,8694.037771224976,999.5598077774048,15642.422546386719,2006.1244077682495,5557.7669105529785
