model,polyrhythms,dynamics,seventh_chords,mode_mixture,secondary_dominants
baseline-concat,0.7315904139433551,0.9130158226511061,0.4379053544494721,0.8536298435775946,0.6884240875837514
baseline-chroma,0.17973856209150327,0.2564661841162396,0.1832090703414233,0.708607829774345,0.5865046873450234
baseline-mfcc,0.27494553376906317,0.8014377070376648,0.2772238790621143,0.6258539138054131,0.4262896041607526
baseline-mel,0.4984749455337691,0.7367615510893201,0.3855794940353764,0.7804900640401549,0.4649569229401162
musicgen-audio,0.5655773420479303,0.5030038050581335,0.2525041135335253,0.5686470976396011,0.39403567694884223
musicgen-small,0.9091503267973856,0.9715150869058042,0.7295317427670369,0.8905570519893555,0.73222052353705
musicgen-medium,0.9718954248366013,0.9913809655317526,0.6574454956807898,0.809657001146665,0.6301181441237463
musicgen-large,0.9917211328976033,0.9939564182480504,0.787434012066365,0.8744455983211095,0.6482422028640515
jukebox,1.0,1.0,0.9718968531468531,0.9986572661777114,0.9484101332840829
MERT-v1-95M,1.0,0.9901555739666759,0.6976192924722336,0.8784724475887584,0.7895710990949086
MERT-v1-330M,1.0,0.9970313215686836,0.8926950500479913,0.9922809707708617,0.9219739177722371
wav2vec2-base,0.9115468409586058,0.9572245543907304,0.4890305772658714,0.6535584474589472,0.5579667764541715
wav2vec2-large,0.9810457516339869,0.9769382306913376,0.5667943576031811,0.6841208541572013,0.630486382587223
