model,polyrhythms,dynamics,seventh_chords,mode_mixture,secondary_dominants
wav2vec2-large,0.4927694767129704,0.07653186373903005,2.2740626005342053,1.2326705493644214,1.6634758041601012
wav2vec2-base,0.9658675279989039,0.12360693541052306,2.538870341203985,1.2715709699430937,1.888735578138746
MERT-v1-330M,0.07017396521305605,0.02186673581988237,0.6083762670042631,0.10943770994851147,0.48122361276417797
MERT-v1-95M,0.08584414699228193,0.042460910549295044,1.6122898583640177,0.6561056270642805,1.0520075899963266
jukebox,0.019755635268263242,0.009814597450781892,0.2716940152837633,0.07087153692608249,0.3488952452185248
musicgen-large,0.1887888156327225,0.034758946924170094,1.1894794083527827,0.7301922269623409,1.559648572486347
musicgen-medium,0.4191670601602384,0.0441909820893688,1.7964582712241615,0.8993651204952854,1.6226792835933104
musicgen-small,0.914580950371486,0.07462219648089945,1.3913092757085435,0.5887077497472475,1.2421980530016525
musicgen-audio,3.109375107577326,0.8843804599076108,3.893208052809018,1.3806297702817825,2.221481925603917
baseline-mel,3.440802624710358,0.4650468888030853,3.071751199188793,0.9661713310457155,2.0823657955993586
baseline-mfcc,4.990488215783979,0.38453700520855866,3.8070493604549456,1.3131744850798004,2.1703718444432116
baseline-chroma,5.671824460293336,1.1742659843080643,4.1365663820511545,1.1800123309913004,1.7192598159917314
baseline-concat,1.9022305230693584,0.16633755191941504,3.0078357678865806,0.7206311824178188,1.437677824265553
