model,polyrhythms,dynamics,seventh_chords,mode_mixture,secondary_dominants
wav2vec2-large,2261.811898112534,477.3292341403304,12047.98365763022,3672.1255665566114,6607.325894123922
wav2vec2-base,4433.3319535149685,770.9364561554323,13450.93506769871,3788.009919460476,7502.0577163671
MERT-v1-330M,322.0985003279273,136.38283130860634,3223.1774625885855,326.0149379366157,1911.420189899315
MERT-v1-95M,394.02463469457405,264.8286990959532,8541.911669612566,1954.5386630244916,4178.57414746541
jukebox,90.67836588132828,61.21364430052667,1439.4348929733778,211.12630850279973,1385.8119140079805
musicgen-large,866.5406637541963,216.79155196604887,6301.861905453043,2175.2426441208136,6194.92412991577
musicgen-medium,1923.9768061354944,275.6191552913932,9517.635920945608,2679.208693955455,6445.282114432629
musicgen-small,4197.926562205121,465.4186394513698,7371.156542703863,1753.7603864970504,4934.010666522564
musicgen-audio,14272.031743779928,5515.880928443768,20626.21626378218,4112.89608566943,8823.726208498758
baseline-mel,15793.284047420542,2900.497445464843,16274.137853302225,2878.2243951851865,8271.156940120653
baseline-mfcc,22906.340910448464,2398.35730148578,20169.7475116903,3911.946791052725,8620.716966128437
baseline-chroma,26033.67427274641,7323.896944129397,21915.528692107015,3515.256734023084,6828.899989119157
baseline-concat,8731.238100888355,1037.4473113213917,15935.513898263103,2146.760292422682,5710.456317982776
