model,polyrhythms,dynamics,seventh_chords,mode_mixture,secondary_dominants
wav2vec2-large,2.296169620215686,1.4936318677646419,3.900839517653842,3.944516252966495,3.772482304187551
wav2vec2-base,2.354252370656388,1.1776410473230776,3.7615812284273935,3.3071224074464323,3.46385606599137
MERT-v1-330M,1.9348451413058256,1.4440124073635658,2.200261377818428,2.7932075296484724,2.5674448801337006
MERT-v1-95M,1.4803268683924855,1.0995869591682224,2.7895220426317695,2.634359030208456,2.611764221838062
jukebox,8.82130744109028,6.725054793145103,7.99030355974126,12.901800618759243,10.319116467644408
musicgen-large,3.9340885297840216,2.891091411600708,4.456719661790361,6.152272583837534,5.76583814647593
musicgen-medium,3.2208057489596564,2.179495970174578,4.2314440685670025,4.961577215790744,4.776457535555853
musicgen-small,2.7834990826784667,1.497058467161127,2.993981155522928,3.2796275406318864,3.332084021552543
musicgen-audio,3.3350853028018133,1.0575942516016412,4.095022417868518,1.7082440460495723,2.4828166716184734
baseline-mel,4.843495647414519,1.5351747752698706,4.30072348713738,3.0178120712134064,3.6746402734093757
baseline-mfcc,5.191238357266422,0.5409995617269807,3.974280414950394,1.6281169253391607,2.389569779857647
baseline-chroma,5.794674818543116,1.2679205538994731,4.22038102838637,1.3371075026709247,1.843078836765822
baseline-concat,3.655084910580658,1.5034533760461686,4.489496359863588,3.235518590135408,3.3899139149493878
