layer_number,loss,accuracy_score,f1_macro,f1_micro,balanced_accuracy_score,aic,aic_avg,bic,bic_avg,ebic,ebic_avg
1,741.4286878705025,0.9721706864564007,0.9643197712289423,0.9721706864564007,0.9777062000840079,15832.857375741005,0.5439722866673883,75232.52713111172,2.5847772669247484,202636.96501412097,6.962034117162131
2,334.05364791303873,0.9886621315192744,0.9853839103230673,0.9886621315192744,0.9916949391060242,15018.107295826077,0.5159797737863697,74417.7770511968,2.5567847540437296,201822.21493420604,6.934041604281112
3,488.71050453186035,0.9888682745825603,0.9857854129401513,0.9888682745825603,0.990904408573858,15327.42100906372,0.5266069198468948,74727.09076443444,2.567411900104255,202131.5286474437,6.944668750341637
4,283.25348119437695,0.9923727066584209,0.9898513665788095,0.9923727066584209,0.9935554535434229,14916.506962388754,0.5124890731254296,74316.17671775947,2.5532940533827895,201720.61460076872,6.930550903620172
5,305.20922960340977,0.99292242149385,0.9902303910738047,0.99292242149385,0.993521413645363,14960.41845920682,0.513997748203354,74360.08821457754,2.554802728460714,201764.5260975868,6.932059578698096
6,239.75221771001816,0.9952587095444239,0.9935146640220216,0.9952587095444239,0.9951874935807823,14829.504435420036,0.5094999118882717,74229.17419079076,2.5503048921456317,201633.6120738,6.927561742383014
7,233.19287966936827,0.9933690647976362,0.9908473148884233,0.9933690647976362,0.9949830209025498,14816.385759338737,0.5090491912093292,74216.05551470946,2.549854171466689,201620.4933977187,6.9271110217040714
8,170.33975454047322,0.9972857830000688,0.9962122754444798,0.9972857830000688,0.9978156098304611,14690.679509080946,0.5047302792922747,74090.34926445167,2.5455352595496348,201494.7871474609,6.922792109787017
9,227.1353510990739,0.9954992097849241,0.9949719490342419,0.9954992097849241,0.9968077993134388,14804.270702198148,0.5086329520441885,74203.94045756887,2.5494379323015486,201608.3783405781,6.926694782538931
10,116.65291865263134,0.9968047825190682,0.9954663752378664,0.9968047825190682,0.9971816713915961,14583.305837305263,0.5010412230229253,73982.97559267598,2.541846203280285,201387.41347568523,6.919103053517667
11,124.6137239318341,0.9977324263038548,0.9971348571291107,0.9977324263038548,0.9982237126588261,14599.227447863668,0.5015882446184178,73998.89720323439,2.5423932248757777,201403.33508624363,6.91965007511316
12,225.71854130923748,0.9951556380127808,0.9943049994681157,0.9951556380127808,0.9965673645842588,14801.437082618475,0.5085355968741316,74201.1068379892,2.5493405771314914,201605.54472099844,6.926597427368874
13,221.11475624889135,0.9959458530887102,0.9948980227468353,0.9959458530887102,0.9966873358399686,14792.229512497783,0.5082192507557817,74191.8992678685,2.5490242310131417,201596.33715087775,6.926281081250524
14,247.82443194836378,0.9950182093039236,0.9938053723285,0.9950182093039236,0.9961833439246783,14845.648863896728,0.5100545888784693,74245.31861926745,2.550859569135829,201649.7565022767,6.928116419373212
15,119.89528398402035,0.9970109255823542,0.995994021015102,0.9970109255823542,0.997767586654623,14589.79056796804,0.5012640200634935,73989.46032333876,2.5420690003208533,201393.898206348,6.919325850558236
16,270.24934151023626,0.9933690647976362,0.9911721427043491,0.9933690647976362,0.9946950911724685,14890.498683020473,0.511595502062134,74290.16843839119,2.552400482319494,201694.60632140044,6.929657332556876
17,229.95633701980114,0.994743351886209,0.993577098316935,0.994743351886209,0.9958948173550944,14809.912674039602,0.5088267942705834,74209.58242941032,2.5496317745279433,201614.02031241957,6.926888624765326
18,356.32285372912884,0.9921322064179207,0.9899531660119323,0.9921322064179207,0.9941191510350716,15062.645707458258,0.5175099878876609,74462.31546282898,2.558314968145021,201866.75334583822,6.935571818382403
19,201.93790680542588,0.9945372088229231,0.9927490986606144,0.9945372088229231,0.996039358866654,14753.875813610852,0.5069015259262988,74153.54556898157,2.547706506183659,201557.98345199082,6.924963356421041
20,262.7069240361452,0.9947089947089947,0.9936282806237581,0.9947089947089947,0.9959668018191145,14875.41384807229,0.5110772297145706,74275.08360344301,2.5518822099719305,201679.52148645226,6.929139060209312
21,196.71824156492949,0.9958427815570673,0.9946133588135707,0.9958427815570673,0.9968555563838011,14743.436483129859,0.5065428599989644,74143.10623850058,2.5473478402563243,201547.54412150983,6.924604690493706
22,215.78020337969065,0.9967360681646396,0.9956517253103042,0.9967360681646396,0.9972394761050785,14781.560406759381,0.5078526903992091,74181.2301621301,2.5486576706565693,201585.66804513935,6.925914520893952
23,294.1022903621197,0.9930942073799217,0.9906981440399936,0.9930942073799217,0.9946949540330868,14938.20458072424,0.5132345420437106,74337.87433609496,2.5540395223010703,201742.3122191042,6.931296372538453
24,385.9326605349779,0.9928880643166358,0.9918459044202743,0.9928880643166358,0.9935795436417768,15121.865321069956,0.5195446066470816,74521.53507644068,2.5603495869044415,201925.97295944992,6.937606437141824
