layer_number,loss,accuracy_score,f1_macro,f1_micro,balanced_accuracy_score,aic_pr,aic_pr_avg,bic_pr,bic_pr_avg,ebic_pr,ebic_pr_avg,aic_rep,aic_rep_avg,bic_rep,bic_rep_avg,ebic_rep,ebic_rep_avg,aic_cls,aic_cls_avg,bic_cls,bic_cls_avg,ebic_cls,ebic_cls_avg
1,10870.513179779053,0.5654160654160654,0.5208474858720427,0.5654160654160654,0.5571503174234907,21749.494687080383,0.7472512432859336,21784.548056990043,0.7484555781278789,21796.76942707308,0.7488754699056236,25837.026359558105,0.8876872933263968,42791.80317614337,1.470205565043062,74022.24254345226,2.5431953048667717,50427.026359558105,1.7325302810265273,169168.41497297722,5.812149212292216,443722.61716315907,15.245056591876557
2,8588.748637199402,0.6323438466295609,0.5940296012859784,0.6323438466295609,0.6338802655131959,17200.65361213684,0.5909659043543201,17296.505794323824,0.5942591147640975,17353.218478365492,0.5962076025000169,21273.497274398804,0.7308973158248747,38228.274090984065,1.31341558754154,69458.71345829296,2.38640532736525,45863.497274398804,1.5757403035250053,164604.88588781792,5.655359234790693,439159.08807799977,15.088266614375035
3,6236.940643310547,0.7432831718546005,0.7052878202312046,0.7432831718546005,0.7474265570833815,12504.672719955444,0.42962525664658296,12632.129233638716,0.43400430267431855,12716.31576434509,0.4368967142288563,16569.881286621094,0.5692943477846868,33524.658103206355,1.151812619501352,64755.09747051525,2.2248023593250617,41159.881286621094,1.4141373354848175,159901.2699000402,5.4937562667505055,434455.47209022206,14.926663646334847
4,5982.650001525879,0.7616299044870474,0.7213669510970775,0.7616299044870474,0.7617786325484903,11998.175075531006,0.4122234273184569,12134.256500510184,0.41689880095204374,12226.292483701556,0.4200608975366439,16061.300003051758,0.5518209304972087,33016.07681963702,1.134339202213874,64246.51618694591,2.207328942037584,40651.30000305176,1.3966639181973393,159392.68861647087,5.476282849463027,433946.8908066527,14.909190229047368
5,5767.00509929657,0.7671614100185529,0.7287987959501481,0.7671614100185529,0.7707878886887212,11566.431104660034,0.39738992320002864,11700.632575987103,0.4020007069328353,11790.94607442809,0.4051036238036175,15630.01019859314,0.5370030302546945,32584.787015178397,1.1195213019713597,63815.22638248729,2.1925110417950697,40220.01019859314,1.381846017954825,158961.39881201225,5.461464949220513,433515.6010021941,14.894372328804854
6,5829.322923660278,0.7735518449804164,0.7314288116286756,0.7735518449804164,0.7719081170804072,11690.89295578003,0.40166608107538065,11824.375018014058,0.4062521479424881,11914.031050814334,0.40933247614974005,15754.645847320557,0.5412851593252441,32709.422663905814,1.1238034310419094,63939.86203121471,2.196793170865619,40344.64584732056,1.3861281470253748,159086.03446073967,5.465747078291063,433640.2366509215,14.898654457875404
7,5199.338315486908,0.8044733044733045,0.7686540836950579,0.8044733044733045,0.8091707398603403,10430.216418266296,0.35835279386608593,10560.77063076302,0.36283826808091185,10647.7606018455,0.36582699793326123,14494.676630973816,0.4979961736746312,31449.453447559074,1.0805144453912965,62679.89281486797,2.1535041852150063,39084.676630973816,1.3428391613747617,157826.06524439293,5.42245809264045,432380.2674345748,14.855365472224792
8,4989.549387454987,0.8098330241187384,0.7765989465349142,0.8098330241187384,0.8175046955610995,10010.5003824234,0.34393253564293963,10140.482620478131,0.34839835843049993,10226.953601987192,0.35136925726610296,14075.098774909973,0.48358066291864127,31029.87559149523,1.0660989346353065,62260.31495880413,2.1390886744590163,38665.09877490997,1.3284236506187719,157406.4873883291,5.40804258188446,431960.68957851094,14.840949961468802
9,4393.980361938477,0.8348450491307634,0.805295065390611,0.8348450491307634,0.8458675818908772,8819.278776168823,0.3030055238153241,8948.91514993318,0.3074594636821679,9035.07260287931,0.3104195905613726,12883.960723876953,0.44265652181258,29838.73754046221,1.0251747935292452,61069.17690777111,2.098164533352955,37473.96072387695,1.2874995095127106,156215.34933729607,5.367118440778398,430769.5515274779,14.800025820362741
10,3928.9392886161804,0.8570397856112142,0.8302779359455614,0.8570397856112142,0.8687400061929155,7888.337368965149,0.27102100491187897,8014.416962698614,0.27535274385688907,8097.363181990001,0.2782025418123411,11953.87857723236,0.4107015246764365,28908.65539381762,0.9932197963931018,60139.094761126515,2.0662095362168116,36543.87857723236,1.2555445123765672,155285.26719065147,5.335163443642255,429839.4693808333,14.768070823226596
11,3306.611222267151,0.8818800247371676,0.8623199809638807,0.8818800247371676,0.8942884263336194,6643.586151123047,0.22825486673273712,6769.2721541837045,0.23257308301325172,6851.864499185767,0.23541072284703385,10709.222444534302,0.367938653354439,27663.99926111956,0.9504569250711042,58894.438628428456,2.023446664894814,35299.2224445343,1.2127816410545695,154040.6110579534,5.292400572320258,428594.81324813527,14.725307951904599
