layer_number,loss,accuracy_score,f1_macro,f1_micro,balanced_accuracy_score,aic_pr,aic_pr_avg,bic_pr,bic_pr_avg,ebic_pr,ebic_pr_avg,aic_rep,aic_rep_avg,bic_rep,bic_rep_avg,ebic_rep,ebic_rep_avg,aic_cls,aic_cls_avg,bic_cls,bic_cls_avg,ebic_cls,ebic_cls_avg
1,9358.961410522461,0.6176046176046176,0.5812389600904384,0.6176046176046176,0.6171497159828735,18728.630234718323,0.6434628679556903,18772.95196545938,0.6449856375132061,18790.91674860125,0.6456028567512282,20765.922821044922,0.7134584903815337,29243.311229337553,1.0047176262398665,43438.965487205234,1.4924402352506436,33067.92282104492,1.1361204844720993,92467.59257641564,3.176925464729459,219872.0304594249,7.554182314966842
2,6186.605717658997,0.7831374974232117,0.7413946769812446,0.7831374974232117,0.7743291626372774,12386.740405082703,0.4255734352052052,12442.741543490656,0.42749747624169093,12468.604688046846,0.4283860608825275,14421.211435317993,0.49547211692839943,22898.599843610624,0.7867312527867321,37094.254101478306,1.2744538617975092,26723.211435317993,0.9181341110189649,86122.88119068871,2.9589390912763247,213527.31907369796,7.336195941513707
3,3597.7311968803406,0.8726379440665155,0.8406704389481657,0.8726379440665155,0.882652259480578,7208.22811126709,0.24765437062004705,7261.0698815856285,0.2494698646871995,7284.732621318845,0.25028284962958997,9243.462393760681,0.3175792755363389,17720.85080205331,0.6088384113946717,31916.505059920994,1.0965610204054488,21545.46239376068,0.7402412696269045,80945.1321491314,2.7810462498842643,208349.57003214065,7.158303100121647
4,2497.6605682373047,0.9065828351542637,0.8849196250717105,0.9065828351542637,0.9154263708678829,5008.256387710571,0.1720695522473226,5061.79991744011,0.17390915678692057,5085.94756254256,0.17473880170901396,7043.321136474609,0.2419886324632244,15520.709544767238,0.533247768321557,29716.363802634918,1.0209703773323342,19345.32113647461,0.6646506265537899,78744.99089184533,2.70545560681115,206149.42877485458,7.082712457048532
5,1997.0539816617966,0.9262007833436405,0.9101903956294517,0.9262007833436405,0.93705669769345,4008.0111253261566,0.13770394850979717,4065.561176302302,0.13968120580987775,4092.518978308132,0.1406073997907006,6042.107963323593,0.2075897740439632,14519.496371616222,0.4988489099022958,28715.150629483902,0.9865715189130729,18344.107963323593,0.6302517681345288,77743.77771869431,2.6710567483918886,205148.21560170356,7.048313598629271
6,1676.244315624237,0.945475159760874,0.9310605585118706,0.945475159760874,0.9516908287612705,3367.6132497787476,0.11570168521194076,3430.2193365992493,0.11785265363152785,3460.8191119534745,0.11890397553609133,5400.488631248474,0.18554554494772466,13877.877039541103,0.47680468080605726,28073.531297408783,0.9645272898168344,17702.488631248474,0.6082075390382902,77102.1583866192,2.64901251929565,204506.59626962844,7.026269369533033
7,1420.1738764047623,0.9518312375455232,0.9395389801358988,0.9518312375455232,0.9577873141646595,2856.7005894184113,0.09814816839890096,2924.390700507708,0.10047380954125294,2958.752167519223,0.10165437255271156,4888.3477528095245,0.1679498300285001,13365.736161102153,0.45920896588683274,27561.390418969833,0.9469315748976099,17190.347752809525,0.5906118241190657,76590.01750818024,2.6314168043764257,203994.4553911895,7.0086736546138075
8,1302.2751967906952,0.9573283858998145,0.9462976419088401,0.9573283858998145,0.9635583687540815,2621.1107268333435,0.09005396574016847,2689.6597391124305,0.09240911630290767,2724.6660146978757,0.09361183311681014,4652.55039358139,0.15984849837083043,13129.93880187402,0.45110763422916306,27325.5930597417,0.9388302432399402,16954.55039358139,0.582510492461396,76354.22014895211,2.623315472718756,203758.65803196136,7.000572322956138
9,1156.706998348236,0.9615199615199616,0.951725833209997,0.9615199615199616,0.9683079976824714,2331.1240129470825,0.08009084082137988,2404.4319653267694,0.0826094951325077,2443.0572151002293,0.08393654968392185,4361.413996696472,0.14984587358951668,12838.802404989101,0.44110500944784925,27034.45666285678,0.9288276184586264,16663.413996696472,0.5725078676800822,76063.08375206719,2.613312847937442,203467.52163507644,6.990569698174824
10,1028.4800609350204,0.966295609152752,0.9576711617744599,0.966295609152752,0.9738272028730901,2073.8896491527557,0.07125299419888531,2143.966884672463,0.07366065019832553,2180.126868196357,0.07490300516032286,4104.960121870041,0.1410348423648059,12582.34853016267,0.43229397822313853,26778.00278803035,0.9200165872339157,16406.96012187004,0.5636968364553714,75806.62987724076,2.6045018167127316,203211.06776025,6.981758666950114
11,1246.0955147147179,0.957706314849172,0.9484616986059347,0.957706314849172,0.9644996414468896,2508.282444834709,0.08617750446075412,2574.8904421148295,0.08846596722719816,2608.4432766872383,0.08961874791064517,4540.191029429436,0.15598814778497339,13017.579437722065,0.447247283643306,27213.233695589744,0.9349698926540831,16842.191029429436,0.5786501418755389,76241.86078480016,2.6194551221328988,203646.2986678094,6.9967119723702815
12,1178.0207654237747,0.9631003916718203,0.952206851988333,0.9631003916718203,0.9693795041524853,2373.017654657364,0.08153018809377324,2443.2877695026086,0.08394447088238194,2479.5939378122807,0.08519184834097027,4404.041530847549,0.1513104353345547,12881.429939140178,0.4425695711928873,27077.084197007858,0.9302921802036644,16706.04153084755,0.5739724294251203,76105.71128621827,2.61477740968248,203510.14916922752,6.992034259919863
13,1165.2705693244934,0.9615543186971759,0.9513738454849502,0.9615543186971759,0.9672070257184926,2348.214171409607,0.08067801042429763,2421.3690361870763,0.08319140507754677,2459.876676708907,0.08451441890706064,4378.541138648987,0.15043431384075404,12855.929546941616,0.44169344969908664,27051.583804809296,0.9294160587098638,16680.541138648987,0.5730963079313196,76080.2108940197,2.6139012881886794,203484.64877702895,6.991158138426062
14,1026.8069604039192,0.96285989143132,0.9524731194384614,0.96285989143132,0.970733434081537,2070.3688760995865,0.07113203037516617,2139.7234970818745,0.07351485937888663,2175.3369409017405,0.07473843677941801,4101.613920807838,0.14091987634191708,12579.002329100467,0.4321790122002497,26774.656586968147,0.9199016212110268,16403.61392080784,0.5635818704324826,75803.28367617856,2.6043868506898424,203207.7215591878,6.981643700927225
15,806.6589966118336,0.972205043633615,0.9643606142431977,0.972205043633615,0.977427538431313,1630.7722607254982,0.056028731557943315,1703.0215795708407,0.05851101420912667,1740.8351489348045,0.05981018171287035,3661.317993223667,0.12579255113116428,12138.706401516296,0.41705168698949685,26334.360659383976,0.904774296000274,15963.317993223667,0.5484545452217298,75362.98774859439,2.5892595254790898,202767.42563160363,6.966516375716472
16,803.8288340568542,0.9715866144437573,0.963583476468063,0.9715866144437573,0.9775708969426649,1625.001675605774,0.055830470542354634,1696.7945897007817,0.05829707241464927,1734.2593799932788,0.059584256854025935,3655.6576681137085,0.12559807833827075,12133.046076406337,0.4168572141966034,26328.700334274017,0.9045798232073805,15957.657668113708,0.5482600724288362,75357.32742348443,2.5890650526861965,202761.76530649367,6.966321902923578
17,946.8906907141209,0.9663643235071806,0.9566411160536089,0.9663643235071806,0.972559311896563,1911.1378763318062,0.06566130269813118,1982.982480191214,0.06812968048482149,2020.4867333596353,0.06941822075721965,3941.7813814282417,0.13542848146183747,12419.16978972087,0.4266876173201701,26614.82404758855,0.9144102263309473,16243.781381428242,0.558090475552403,75643.45113679896,2.598895455809763,203047.8890198082,6.976152306047145
18,1230.691277563572,0.9552669552669553,0.9404797014384199,0.9552669552669553,0.962840968902836,2475.2801905870438,0.08504364016309503,2532.8073652698718,0.0870201114983121,2559.7489262946747,0.08794574748487166,4509.382555127144,0.15492965557366672,12986.770963419773,0.44618879143199935,27182.425221287453,0.9339114004427765,16811.382555127144,0.5775916496642323,76211.05231049786,2.6183966299215924,203615.4901935071,6.995653480158975
19,1315.4031842947006,0.950731807874665,0.9356165144186009,0.950731807874665,0.9581707711319564,2645.676342725754,0.09089797095876292,2707.2283673229836,0.09301272477575014,2737.060460918912,0.09403767130209964,4678.806368589401,0.16075057955711541,13156.19477688203,0.45200971541544804,27351.84903474971,0.9397323244262252,16980.8063685894,0.583412573647681,76380.47612396012,2.6242175539050407,203784.91400696937,7.0014744041424235
