layer_number,loss,accuracy_score,f1_macro,f1_micro,balanced_accuracy_score,aic,aic_avg,bic,bic_avg,ebic,ebic_avg
1,8094.690628051758,0.6969958315365818,0.6969952054916648,0.6969958315365818,0.6969960525495865,20289.381256103516,1.4581990265993614,35747.71540939487,2.569190413209348,67012.65520513793,4.816203478880116
2,404.4531972706318,0.9891476211010493,0.9891475075867637,0.9891476211010493,0.9891471766605548,4908.906394541264,0.35280339187446197,20367.240547832618,1.4637947784844487,51632.180343575674,3.710807844155216
3,186.7046919837594,0.9957596665229266,0.9957596549364103,0.9957596665229266,0.995759449492486,4473.409383967519,0.32150419605918634,19931.743537258873,1.432495582669173,51196.68333300193,3.67950864833994
4,153.1624479778111,0.9973408078194624,0.9973407962678233,0.9973408078194624,0.9973405288380245,4406.324895955622,0.3166828299522511,19864.659049246977,1.4276742165622378,51129.59884499003,3.674687282233005
5,210.77441699430346,0.9965502371711945,0.9965502211339493,0.9965502371711945,0.9965499478428115,4521.548833988607,0.32496398116922576,19979.88298727996,1.4359553677792125,51244.82278302302,3.6829684334499797
6,251.431757055223,0.9951847060514589,0.9951846642404845,0.9951847060514589,0.9951843030581418,4602.863514110446,0.3308080720217368,20061.1976674018,1.4417994586317235,51326.137463144856,3.6888125243024907
7,194.02049352228642,0.9971970677015956,0.9971970635174469,0.9971970677015956,0.9971969126845192,4488.040987044573,0.32255577023462506,19946.375140335927,1.4335471568446116,51211.31493607898,3.680560222515379
8,381.885728508234,0.9936035647549231,0.993603514501386,0.9936035647549231,0.9936031823901595,4863.771457016468,0.3495595412545974,20322.105610307823,1.460550927864584,51587.04540605088,3.7075639935353513
9,448.6674345433712,0.9906568923386517,0.990656859714775,0.9906568923386517,0.9906566442109488,4997.334869086742,0.35915875155144045,20455.669022378097,1.470150138161427,51720.60881812115,3.7171632038321945
10,580.4469988048077,0.9872071295098462,0.9872071030781585,0.9872071295098462,0.9872069432945327,5260.893997609615,0.3781007616508276,20719.22815090097,1.4890921482608144,51984.167946644026,3.7361052139315816
11,556.5847068428993,0.988932010924249,0.9889319832541208,0.988932010924249,0.9889318040833517,5213.169413685799,0.3746707929916486,20671.503566977153,1.4856621796016354,51936.44336272021,3.7326752452724024
12,997.5564769506454,0.9785108523788989,0.9785105166046734,0.9785108523788989,0.9785103044125263,6095.112953901291,0.4380561272029101,21553.447107192645,1.5490475138128967,52818.3869029357,3.796060579483664
13,1107.8228161931038,0.9745579991375592,0.9745571995792912,0.9745579991375592,0.9745572134854639,6315.645632386208,0.45390582380237227,21773.979785677562,1.5648972104123589,53038.91958142062,3.8119102760831263
14,1187.4620689153671,0.9718269368980883,0.9718268530768938,0.9718269368980883,0.9718267090425573,6474.924137830734,0.46535317937550197,21933.25829112209,1.5763445659854887,53198.198086865144,3.823357631656256
15,1057.663030743599,0.9732643380767573,0.9732632194373037,0.9732643380767573,0.9732634284306017,6215.326061487198,0.4466958503296822,21673.660214778552,1.5576872369396688,52938.60001052161,3.8047003026104362
16,1217.8065565824509,0.9685927842460831,0.9685918223676422,0.9685927842460831,0.9685935997154371,6535.613113164902,0.4697148996093792,21993.947266456256,1.580706286219366,53258.88706219931,3.827719351890133
17,1808.3244347572327,0.9555843035791289,0.9555816274556076,0.9555843035791289,0.9555854390286516,7716.648869514465,0.554596009020732,23174.98302280582,1.6655873956307188,54439.922818548876,3.9126004613014858
18,1674.1744140386581,0.9575247951703321,0.957524526406812,0.9575247951703321,0.9575244533825809,7448.348828077316,0.5353132692307975,22906.68298136867,1.6463046558407841,54171.62277711173,3.8933177215115515
19,2213.1323680877686,0.94164151214604,0.9416415012942192,0.94164151214604,0.9416415935851699,8526.264736175537,0.6127831490711181,23984.59888946689,1.7237745356811047,55249.53868520995,3.970787601351872
20,2535.8606400489807,0.9299985625988213,0.9299984179670022,0.9299985625988213,0.9299983752015089,9171.721280097961,0.6591721489218026,24630.055433389316,1.7701635355317893,55894.99522913237,4.017176601202556
21,2588.516387939453,0.9246083081788127,0.9246082984432837,0.9246083081788127,0.9246082756292954,9277.032775878906,0.6667408923299487,24735.36692917026,1.7777322789399355,56000.30672491332,4.024745344610703
22,3048.1665346622467,0.9130372286905275,0.9130352719780424,0.9130372286905275,0.9130365657346693,10196.333069324493,0.7328110585974194,25654.667222615848,1.843802445207406,56919.6070183589,4.090815510878174
23,3345.6233625411987,0.9049159120310478,0.9049150864203124,0.9049159120310478,0.9049163542827655,10791.246725082397,0.7755675380970531,26249.580878373752,1.8865589247070398,57514.52067411681,4.133571990377807
24,3291.538423061371,0.9045565617363807,0.9045547869231623,0.9045565617363807,0.9045572002622818,10683.076846122742,0.7677933625213987,26141.410999414096,1.8787847491313854,57406.35079515715,4.125797814802152
