layer_number,loss,accuracy_score,f1_macro,f1_micro,balanced_accuracy_score,aic_pr,aic_pr_avg,bic_pr,bic_pr_avg,ebic_pr,ebic_pr_avg,aic_rep,aic_rep_avg,bic_rep,bic_rep_avg,ebic_rep,ebic_rep_avg,aic_cls,aic_cls_avg,bic_cls,bic_cls_avg,ebic_cls,ebic_cls_avg
1,6309.878204345703,0.7890613770303292,0.7890493639207284,0.7890613770303292,0.7890624780474518,12662.934246063232,0.9100858305349455,12825.728743163272,0.9217858806355665,12958.378843287863,0.9313194511490487,14155.756408691406,1.0173750473401901,19946.976228070802,1.4335903570555413,30151.837258185627,2.167014320697544,15695.756408691406,1.1280549380977005,27293.277349063163,1.9615694515641198,49865.69789866492,3.583850646734578
2,5481.922662258148,0.8265775477935892,0.8265764504562391,0.8265775477935892,0.8265772033003078,11006.613657951355,0.7910459722546611,11167.864191955872,0.8026350576366158,11298.848657456401,0.8120489188915051,12499.845324516296,0.8983646201319747,18291.065143895692,1.314579929847326,28495.926174010518,2.0480038934893288,14039.845324516296,1.0090445108894852,25637.366264888053,1.8425590243559042,48209.78681448981,3.4648402195263626
3,4898.192803859711,0.8479229552968234,0.8479225751020749,0.8479229552968234,0.8479227455425067,9848.971018791199,0.7078461275543481,10047.235129995033,0.7220953809109554,10219.152174762621,0.7344510690500662,11332.385607719421,0.8144592214833565,17123.605427098817,1.2306745311987075,27328.466457213643,1.9640984948407103,12872.385607719421,0.9251391122408669,24469.906548091178,1.758653625707286,47042.327097692934,3.3809348208777443
4,5523.8195214271545,0.8272962483829237,0.8272852565182877,0.8272962483829237,0.8272974121736911,11097.960076332092,0.7976110447270441,11287.68674717076,0.8112467117414661,11449.985968407073,0.8229111663365727,12583.639042854309,0.9043868796071804,18374.858862233705,1.3206021893225317,28579.71989234853,2.0540261529645343,14123.639042854309,1.015066770364691,25721.159983226065,1.84858128383111,48293.58053282782,3.4708624790015685
5,4952.535160064697,0.8455512433520196,0.8455499022806132,0.8455512433520196,0.8455516843771906,9947.042053222656,0.7148944985786011,10105.289144722265,0.7262677263707248,10233.04477217209,0.7354495308446234,11441.070320129395,0.822270398169426,17232.29013950879,1.2384857078847773,27437.151169623616,1.9719096715267799,12981.070320129395,0.9329502889269365,24578.59126050115,1.7664648023933556,47151.01181010291,3.388745997563814
6,5444.138672828674,0.8249245364381199,0.8249245219690269,0.8249245364381199,0.8249245121596249,10927.898962020874,0.785388742419209,11077.285348713775,0.7961251508346826,11195.60451902922,0.8046287565782105,12424.277345657349,0.8929335450379006,18215.497165036744,1.3091488547532517,28420.35819515157,2.0425728183952545,13964.277345657349,1.003613435795411,25561.798286029105,1.8371279492618302,48134.21883563086,3.4594091444322883
7,5381.806653499603,0.8300273106223948,0.8300231305480135,0.8300273106223948,0.8300280405839291,10799.017939567566,0.7761260557400866,10932.504925132493,0.7857197732594863,11034.247062387021,0.7930319866599843,12299.613306999207,0.8839739332326583,18090.833126378602,1.3001892429480093,28295.694156493428,2.033613206590012,13839.613306999207,0.9946538239901687,25437.134247370963,1.8281683374565878,48009.55479697272,3.450449532627046
8,5042.013150215149,0.8422452206410809,0.8422452002697881,0.8422452206410809,0.8422452896959511,10130.173776626587,0.7280561863322256,10304.16477842495,0.7405609298853637,10449.007631298799,0.7509707942574959,11620.026300430298,0.835131975020145,17411.246119809693,1.251347284735496,27616.10714992452,1.9847712483774989,13160.026300430298,0.9458118657776554,24757.547240802054,1.7793263792440746,47329.96779040381,3.401607574414533
9,4435.836437225342,0.8682621819749892,0.8682543908583318,0.8682621819749892,0.8682633052897191,8926.239456176758,0.6415293557694953,9131.973225426646,0.6563154538900852,9312.385318450415,0.6692816816480103,10407.672874450684,0.7480000628468222,16198.89269383008,1.1642153725621733,26403.753723944905,1.897639336204176,11947.672874450684,0.8586799536043326,23545.19381482244,1.6921944670707518,46117.6143644242,3.31447566224121
10,3404.1340947151184,0.9030472904987782,0.903045987925575,0.9030472904987782,0.9030478360179974,6870.47728061676,0.49378160705884433,7105.025797429895,0.5106386227849572,7318.860471320055,0.5260069333994577,8344.268189430237,0.5997030465308493,14135.488008809632,1.0159183562462004,24340.349038924458,1.7493423198882032,9884.268189430237,0.7103829372883597,21481.789129801993,1.543897450754779,44054.20967940375,3.1661786459252372
11,4011.8722496032715,0.8809831824062095,0.8809799954143258,0.8809831824062095,0.8809839444123875,8088.4903564453125,0.5813202786003531,8332.603306747313,0.5988646907249757,8557.745537983503,0.6150456761523287,9559.744499206543,0.6870594005466827,15350.964318585939,1.1032747102620337,25555.825348700764,1.8366986739040365,11099.744499206543,0.7977392913041931,22697.2654395783,1.6312538047706122,45269.685989180056,3.2535349999410705
12,4682.2354192733765,0.857337933017105,0.8573379145947742,0.857337933017105,0.8573380023838091,9426.640111923218,0.6774931803883296,9661.038502635587,0.694339406542733,9874.696495889391,0.7096950191094862,10900.470838546753,0.7834174815686901,16691.69065792615,1.1996327912840412,26896.551688040974,1.9330567549260438,12440.470838546753,0.8940973723262005,24037.99177891851,1.7276118857926197,46610.412328520266,3.349893080963078
