layer_number,loss,accuracy_score,f1_macro,f1_micro,balanced_accuracy_score,aic_pr,aic_pr_avg,bic_pr,bic_pr_avg,ebic_pr,ebic_pr_avg,aic_rep,aic_rep_avg,bic_rep,bic_rep_avg,ebic_rep,ebic_rep_avg,aic_cls,aic_cls_avg,bic_cls,bic_cls_avg,ebic_cls,ebic_cls_avg
1,11973.428834915161,0.5051746442432082,0.5007150434029686,0.5051746442432082,0.5051882394341404,23961.630140304565,1.7221237703251808,24017.327161002242,1.7261267184851403,24046.86646141741,1.7282497097468312,33546.85766983032,2.411014637762708,69741.98154095153,5.012360323483652,151115.14503115296,10.860654379125554,43150.85766983032,3.101254683759546,115556.18671368572,8.30502994923715,291651.6180509871,20.961018977360002
2,11803.165479660034,0.5199798763834986,0.5184235013561302,0.5199798763834986,0.5199717156136523,23622.22709274292,1.6977308532947333,23682.160688400418,1.7020382843467312,23715.112239068192,1.7044065142351725,33206.33095932007,2.386540963009923,69401.45483044127,4.987886648730866,150774.6183206427,10.836180704372769,42810.33095932007,3.0767810090067607,115215.66000317546,8.280556274484365,291311.0913404768,20.936545302607218
3,11623.98226737976,0.5077619663648124,0.5077024403858522,0.5077619663648124,0.5077635574392713,23264.38446044922,1.6720126822228847,23326.292923396428,1.67646204710338,23360.862586831656,1.6789465708517792,32847.96453475952,2.3607851469569874,69043.08840588073,4.96213083267793,150416.25189608216,10.810424888319833,42451.96453475952,3.051025192953825,114857.29357861492,8.25480045843143,290952.7249159163,20.910789486554282
4,13874.517734527588,0.5242920799195055,0.5168663093964289,0.5242920799195055,0.524274270448122,27767.635761260986,1.9956616186043543,27837.764915472275,2.0007018050504723,27879.244126212565,2.00368291837089,37349.035469055176,2.684277380268447,73544.15934017638,5.285623065989391,154917.32283037782,11.133917121631294,46953.035469055176,3.374517426265285,119358.36451291057,8.57829269174289,295453.7958502119,21.23428171986574
5,10622.195861816406,0.5367974701739255,0.5367207967479847,0.5367974701739255,0.5367993304441783,21263.5900554657,1.5282154704230055,21335.97401367509,1.5334177097653507,21379.39442600171,1.5365383373581794,30844.391723632812,2.216788250943856,67039.51559475402,4.8181339366647995,148412.67908495545,10.666427992306701,40448.39172363281,2.9070282969406938,112853.72076748821,8.1108035624183,288949.15210478957,20.76679259054115
6,13096.472333908081,0.5272387523357769,0.5237787679871462,0.5272387523357769,0.5272265111245804,26212.27889060974,1.8838780286481056,26285.17520196031,1.8891170908409018,26329.03932718209,1.8922696081056556,35792.94466781616,2.5724410426776028,71988.06853893737,5.173786728398546,153361.2320291388,11.02208078404045,45396.94466781616,3.2626810886744404,117802.27371167156,8.466456354152045,293897.7050489729,21.122445382274897
7,11903.496475219727,0.5456374874227397,0.5456184765662191,0.5456374874227397,0.545638428451263,23825.99550628662,1.7123757011848943,23897.64132532372,1.7175248904214258,23940.42417780391,1.7205996965505181,33406.99295043945,2.400962552137376,69602.11682156066,5.00230823785832,150975.2803117621,10.850602293500222,43010.99295043945,3.091202598134214,115416.32199429485,8.29497786361182,291511.7533315962,20.95096689173467
8,9593.58779335022,0.5740980307603852,0.5740916157153271,0.5740980307603852,0.5740986004749437,19207.742069244385,1.3804615544950687,19285.28440083515,1.3860345264363338,19333.214904812445,1.389479294581892,28787.17558670044,2.0689360059436854,64982.29945782165,4.67028169166463,146355.46294802308,10.518575747306532,38391.17558670044,2.759176051940523,110796.50463055584,7.962951317418129,286891.9359678572,20.61894034554098
9,9821.053550720215,0.6185855972401897,0.6177018043861711,0.6185855972401897,0.6185786988421947,19663.435388565063,1.4132122602102244,19743.849971318705,1.4189916610118374,19794.33161882106,1.422619779992889,29242.10710144043,2.1016319607187315,65437.23097256164,4.702977646439676,146810.39446276307,10.551271702081577,38846.10710144043,2.791872006715569,111251.43614529583,7.995647272193175,287346.8674825972,20.651636300316024
10,9395.548950195312,0.6221072301279287,0.6221006637160827,0.6221072301279287,0.6221078421568597,18812.217170715332,1.3520351567281395,18891.843692118506,1.357757919514051,18941.622630357146,1.3613355347389064,28391.097900390625,2.040469879286375,64586.22177151184,4.641815565007319,145959.38526171327,10.490109620649221,37995.097900390625,2.7307099252832128,110400.42694424602,7.934485190760818,286495.8582815474,20.59047421888367
11,8464.0344581604,0.6905993962915049,0.6904871255817036,0.6905993962915049,0.6905966729482291,16949.674268722534,1.2181740885958412,17031.13347772878,1.2240285667477921,17082.549763200874,1.2277238582148104,26528.0689163208,1.9065738764065545,62723.192787442014,4.507919562127499,144096.35627764344,10.3562136177694,36132.0689163208,2.5968139224033924,108537.3979601762,7.800589187880997,284632.82929747755,20.456578216003848
12,9053.703453063965,0.6974270518901825,0.6974094903324666,0.6974270518901825,0.6974259712551163,18129.048931121826,1.302935815087094,18210.646407733908,1.308800230540025,18262.186668506693,1.3125044321192103,27707.40690612793,1.9913329672364475,63902.53077724914,4.5926786529573915,145275.69426745057,10.440972708599293,37311.40690612793,2.6815730132332853,109716.73594998333,7.88534827871089,285812.1672872847,20.541337306833743
13,9022.80603981018,0.7278280868190312,0.7270953001730297,0.7278280868190312,0.7278206534863498,18068.777416229248,1.2986040977597562,18156.118273320382,1.304881290306194,18212.861993732877,1.308959464836343,27645.61207962036,1.9868917694135664,63840.735950741575,4.58823745513451,145213.899440943,10.436531510776412,37249.61207962036,2.677131815410404,109654.94112347576,7.880907080888009,285750.3724607771,20.53689610901086
14,6653.596998214722,0.7841023429639212,0.7840999832229048,0.7841023429639212,0.7841018839563298,13332.076265335083,0.95817710689486,13425.89051588031,0.9649195426103429,13488.61892114722,0.9694278367936768,22907.193996429443,1.6463413825233177,59102.31786755066,4.247687068244262,140475.48135775208,10.095981123886164,32511.193996429443,2.3365814285201556,104916.52304028484,7.540356693997761,281011.9543775862,20.19634572212061
15,5103.416862487793,0.8500790570648268,0.8500787473092061,0.8500790570648268,0.850079281240718,10232.945575714111,0.7354424015893425,10331.395749879232,0.7425180214085979,10398.483413509523,0.7473396157474143,19806.833724975586,1.4235183070990072,56001.9575960968,4.024863992819951,137375.12108629823,9.873158048461853,29410.833724975586,2.113758353095845,101816.16276883098,7.31753361857345,277911.59410613234,19.973522646696303
16,4226.06928396225,0.8813425327008768,0.8813262462711257,0.8813425327008768,0.8813408670209046,8480.449578285217,0.6094904109734955,8587.191299839673,0.617161944792272,8662.218409439478,0.6225541475808163,18052.1385679245,1.2974082627515093,54247.26243904571,3.898753948472453,135620.42592924714,9.747048004114355,27656.1385679245,1.987648308748347,100061.4676117799,7.191423574225952,276156.89894908125,19.847412602348804
17,2748.759895324707,0.9234583872358776,0.9234545121084632,0.9234583872358776,0.9234573835851716,5525.857036590576,0.39714367087757485,5632.69767482045,0.4048223138436431,5707.820558974798,0.4102213999550667,15097.519790649414,1.0850596371028758,51292.64366177063,3.68640532282382,132665.80715197205,9.534699378465723,24701.519790649414,1.7752996830997134,97106.84883450481,6.979074948577319,273202.28017180617,19.63506397670017
18,2577.638820886612,0.9280580710076183,0.928057318505632,0.9280580710076183,0.9280576253049391,5182.311613559723,0.37245304107803096,5284.238484136882,0.37977853127331335,5354.633518264906,0.38483782652471654,14755.277641773224,1.060462673693634,50950.40151289444,3.661808359414578,132323.56500309586,9.51010241505648,24359.277641773224,1.7507027196904716,96764.60668562862,6.954477985168077,272860.03802293,19.61046701329093
19,2427.158214569092,0.9310047434238896,0.9310044640196078,0.9310047434238896,0.9310044734024785,4883.028087615967,0.35094351643064303,4991.280382943955,0.3587236152755466,5067.772725846802,0.36422112446793176,14454.316429138184,1.0388325736048716,50649.4403002594,3.6401782593258156,132022.60379046082,9.488472314967717,24058.316429138184,1.7290726196017094,96463.64547299358,6.9328478850793145,272559.07681029494,19.588836913202165
20,805.639310836792,0.9800201236165014,0.9800196740577651,0.9800201236165014,0.9800208256852376,1640.818977355957,0.11792575660169305,1752.1957308060062,0.12593041043596423,1831.7363957133891,0.1316470027104635,11211.278621673584,0.8057552552589898,47406.4024927948,3.4071009409799338,128779.56598299622,9.255394996621837,20815.278621673584,1.4959953012558276,93220.60766552898,6.699770566733433,269316.03900283034,19.355759594856284
21,778.1839674711227,0.9813137846773035,0.9813137460692203,0.9813137846773035,0.9813140115646644,1588.4962956905365,0.11416532238684321,1709.6306703843347,0.1228712570349529,1798.8380203322786,0.1292825945330084,11156.367934942245,0.8018088209675324,47351.49180606346,3.4031545066884763,128724.65529626489,9.251448562330378,20760.367934942245,1.4920488669643701,93165.69697879764,6.695824132441975,269261.128316099,19.351813160564827
22,324.80121417343616,0.9923817737530545,0.9923817334579652,0.9923817737530545,0.9923814636773239,683.7981757223606,0.04914461518775051,812.727270735003,0.058410756844545275,909.8074317203636,0.0653879137358318,10249.602428346872,0.7366395305697048,46444.726299468086,3.3379852162906487,127817.88978966951,9.18627927193255,19853.602428346872,1.4268795765665425,92258.93147220227,6.630654842044147,268354.3628095036,19.286643870166998
23,232.5309548676014,0.9961190168175937,0.996119013930901,0.9961190168175937,0.9961191613659612,499.1539927124977,0.035874226873113244,627.6922392112199,0.045112278224178515,724.3745892683917,0.052060844420611735,10065.061909735203,0.723376592621475,46260.18578085642,3.324722278342419,127633.34927105784,9.173016333984322,19669.061909735203,1.4136166386183127,92074.3909535906,6.617391904095918,268169.82229089196,19.27338093221877
