layer_number,loss,accuracy_score,f1_macro,f1_micro,balanced_accuracy_score,aic,aic_avg,bic,bic_avg,ebic,ebic_avg
1,9755.357414245605,0.538306741411528,0.5375360677070911,0.538306741411528,0.5383008847465802,27706.71482849121,1.99128322757591,58608.30183346095,4.212182106760166,126784.71431229629,9.112024889485143
2,9628.873342514038,0.525657611039241,0.5256290310793041,0.525657611039241,0.5256587376059528,27453.746685028076,1.9731023921969295,58355.33368999782,4.194001271381186,126531.74616883315,9.093844054106164
3,9637.669914245605,0.5211297973264338,0.5209763880515184,0.5211297973264338,0.5211272357714842,27471.33982849121,1.9743668124544496,58372.92683346095,4.195265691638705,126549.33931229629,9.095108474363684
4,9667.173389434814,0.522279718269369,0.5222796960612277,0.522279718269369,0.5222796980684733,27530.34677886963,1.9786076454556294,58431.93378383937,4.199506524639886,126608.3462626747,9.099349307364863
5,9690.837013244629,0.5247233002731062,0.524723297818157,0.5247233002731062,0.5247233007839198,27577.674026489258,1.9820090575312101,58479.261031459,4.202907936715467,126655.67351029433,9.102750719440444
6,10275.33009147644,0.5176081644386948,0.5175564909892444,0.5176081644386948,0.5176096627410895,28746.66018295288,2.066024161488636,59648.24718792262,4.286923040672892,127824.65966675796,9.18676582339787
7,10247.07110786438,0.5184706051458963,0.5184100679085415,0.5184706051458963,0.5184722274334416,28690.14221572876,2.0619622118534395,59591.7292206985,4.282861091037696,127768.14169953384,9.182703873762673
8,9657.609573364258,0.522279718269369,0.5222773469217352,0.522279718269369,0.5222794088113665,27511.219146728516,1.9772329414063903,58412.806151698256,4.198131820590646,126589.21863053359,9.097974603315624
9,9662.614646911621,0.5252982607445739,0.5252979640548757,0.5252982607445739,0.5252983852345983,27521.229293823242,1.977952371268021,58422.81629879298,4.198851250452277,126599.22877762832,9.098694033177255
10,9656.576503753662,0.5278855828661779,0.5278746356690055,0.5278855828661779,0.5278862859238731,27509.153007507324,1.9770844478587986,58410.740012477065,4.197983327043055,126587.1524913124,9.097826109768032
11,9650.259359359741,0.5301854247520483,0.5301809376747939,0.5301854247520483,0.530185879922598,27496.518718719482,1.9761764207790342,58398.10572368922,4.1970752999632905,126574.51820252456,9.096918082688267
12,9472.743293762207,0.5849504096593359,0.5849276642246847,0.5849504096593359,0.5849493576921978,27141.486587524414,1.950660240586777,58043.073592494155,4.171559119771033,126219.48607132949,9.07140190249601
13,9454.272521972656,0.586244070720138,0.5862326813972042,0.586244070720138,0.5862433286980571,27104.545043945312,1.9480052496726543,58006.13204891505,4.16890412885691,126182.54452775039,9.068746911581888
14,9535.418186187744,0.579344545062527,0.579312730488514,0.579344545062527,0.5793433070285675,27266.83637237549,1.9596691370113186,58168.42337734523,4.180568016195575,126344.83585618057,9.080410798920552
15,9171.047096252441,0.6067270375161707,0.6067211139376087,0.6067270375161707,0.6067264921989011,26538.094192504883,1.9072943935967286,57439.68119747462,4.128193272780985,125616.09367630996,9.028036055505963
16,9176.355540275574,0.6048584159839011,0.604848414698732,0.6048584159839011,0.6048577053382482,26548.711080551147,1.9080574299663036,57450.29808552089,4.12895630915056,125626.71056435622,9.028799091875538
17,9088.226803779602,0.6103205404628432,0.6103150977393766,0.6103205404628432,0.6103200158810416,26372.453607559204,1.895389794994912,57274.040612528945,4.116288674179168,125450.45309136428,9.016131456904146
18,9065.153179168701,0.6134109529969815,0.6134069093324619,0.6134109529969815,0.6134105007933083,26326.306358337402,1.8920731894737244,57227.89336330714,4.112972068657981,125404.30584214248,9.012814851382958
19,8822.576313018799,0.6388529538594222,0.6388033843200522,0.6388529538594222,0.6388546509484906,25841.152626037598,1.857205162141555,56742.73963100734,4.078104041325811,124919.15210984267,8.97794682405079
20,8128.731053352356,0.7001581141296536,0.7001563237351744,0.7001581141296536,0.7001584798365483,24453.462106704712,1.757471762735713,55355.04911167445,3.978370641919969,123531.46159050979,8.878213424644947
