layer_number,loss,accuracy_score,f1_macro,f1_micro,balanced_accuracy_score,aic_pr,aic_pr_avg,bic_pr,bic_pr_avg,ebic_pr,ebic_pr_avg,aic_rep,aic_rep_avg,bic_rep,bic_rep_avg,ebic_rep,ebic_rep_avg,aic_cls,aic_cls_avg,bic_cls,bic_cls_avg,ebic_cls,ebic_cls_avg
1,9890.765628814697,0.5516027023142159,0.5501042636524625,0.5516027023142159,0.5515944182304044,19806.95224380493,1.423526825054257,19902.79763375802,1.4304152388786846,19967.428661221897,1.435060274631443,21829.531257629395,1.568889697975377,29551.157683468587,2.1238434442625116,43746.811941336266,3.1440859523743185,23881.531257629395,1.716367058906813,39339.86541092075,2.8273584455167997,70604.8052066638,5.074371511187567
2,9633.262395858765,0.55835848785396,0.5583515870759788,0.55835848785396,0.5583590675739312,19297.397047042847,1.386905063033121,19413.795495551258,1.3952706263871826,19498.2839297135,1.4013428151296177,21314.52479171753,1.5318761529191842,29036.151217556722,2.086829899206319,43231.8054754244,3.1070724073181255,23366.52479171753,1.6793535138506201,38824.858945008884,2.7903449004606067,70089.79874075194,5.037357966131374
3,8148.449201583862,0.6837717406928274,0.6837682843477966,0.6837717406928274,0.683772230028491,16337.950546264648,1.1742094686118045,16492.7304842405,1.1853335118758443,16616.777574763666,1.1942487835822673,18344.898403167725,1.3184489293637864,26066.524829006918,1.8734026756509212,40262.179086874596,2.893645183762728,20396.898403167725,1.4659262902952224,35855.23255645908,2.576917676905209,67120.17235220213,4.8239307425759765
4,5708.27003288269,0.8227684346701164,0.822758909762803,0.8227684346701164,0.8227673979472001,11461.115715026855,0.8237110618820509,11629.180417803389,0.8357898819752327,11767.545043894732,0.8457341558067222,13464.54006576538,0.9676972880383341,21186.166491604574,1.5226510343254689,35381.82074947225,2.5428935424372754,15516.54006576538,1.11517464896977,30974.874219056735,2.2261660355797566,62239.81401479979,4.473179101250524
5,3650.8939123153687,0.8990944372574385,0.8990900255596683,0.8990944372574385,0.8990954062500361,7349.581960678101,0.5282148886501438,7529.781405943469,0.5411658334011404,7681.468326452635,0.5520675813175675,9349.787824630737,0.6719698019714487,17071.41425046993,1.2269235482585834,31267.06850833761,2.24716605637039,11401.787824630737,0.8194471629028847,26860.121977922092,1.9304385495128713,58125.06177366515,4.177451615183639
6,4124.4662981033325,0.883929854822481,0.8839237386156804,0.883929854822481,0.8839309164772584,8296.934434890747,0.5963011668025547,8477.916986683656,0.609308393465837,8630.471257773059,0.6202724779195816,10296.932596206665,0.7400411525231181,18018.559022045858,1.2949948988102529,32214.213279913536,2.3152374069220594,12348.932596206665,0.887518513454554,27807.26674949802,1.9985099000645408,59072.206545241075,4.245522965735308
7,3898.50106716156,0.8891044990656892,0.889103948593386,0.8891044990656892,0.8891048376846142,7838.9675006866455,0.5633870562517354,7997.190587543394,0.5747585588287619,8124.920472242375,0.5839385131696403,9845.00213432312,0.7075608835937272,17566.628560162313,1.262514629880862,31762.28281802999,2.2827571379926686,11897.00213432312,0.8550382445251632,27355.336287614475,1.9660296311351497,58620.27608335753,4.213042696805917
8,3349.7639660835266,0.908150064683053,0.9081494498138154,0.908150064683053,0.9081504553485376,6743.57786655426,0.4846613386915524,6909.660453185481,0.4965977039805578,7045.870632867969,0.5063871376216738,8747.527932167053,0.6286853480068315,16469.154358006246,1.1836390942939663,30664.808615873924,2.203881602405773,10799.527932167053,0.7761627089382674,26257.862085458408,1.8871540955482542,57522.80188120146,4.134167161219021
9,3501.916153907776,0.9032629006755786,0.9032600144570879,0.9032629006755786,0.9032637044645264,7047.912961959839,0.506533919933868,7214.11137207156,0.5184786094632428,7350.447272877992,0.5282770786889458,9051.832307815552,0.6505557214183952,16773.458733654745,1.20550946770553,30969.112991522423,2.2257519758173365,11103.832307815552,0.7980330823498313,26562.166461106906,1.909024468959818,57827.10625684996,4.156037534630586
10,3273.0420002937317,0.9101624263331896,0.9101620625255309,0.9101624263331896,0.9101621558811507,6592.031151771545,0.4737696673689482,6765.266863087481,0.4862201281506024,6909.281067266174,0.4965704374921787,8594.084000587463,0.6176573236012264,16315.710426426656,1.1726110698883612,30511.364684294334,2.1928535780001677,10646.084000587463,0.7651346845326623,26104.418153878818,1.876126071142649,57369.35794962187,4.123139136813416
