layer_number,loss,accuracy_score,f1_macro,f1_micro,balanced_accuracy_score,aic_pr,aic_pr_avg,bic_pr,bic_pr_avg,ebic_pr,ebic_pr_avg,aic_rep,aic_rep_avg,bic_rep,bic_rep_avg,ebic_rep,ebic_rep_avg,aic_cls,aic_cls_avg,bic_cls,bic_cls_avg,ebic_cls,ebic_cls_avg
1,8343.320009231567,0.6824780796320253,0.682475954051202,0.6824780796320253,0.682477721830862,16706.04487991333,1.2006644300642038,16779.20752198539,1.2059226334616495,16823.302673854818,1.2090917546251845,18222.640018463135,1.3096622120499595,24013.85983784253,1.7258775217653104,34218.72086795735,2.459301485407313,19762.640018463135,1.4203421028074699,31360.16095883489,2.253856616273889,53932.58150843665,3.876137811444347
2,8168.429597854614,0.6889463849360357,0.6888686018438261,0.6889463849360357,0.6889441264360996,16362.23546409607,1.1759548270875426,16457.912253434457,1.1828311235758557,16522.384908605614,1.1874647771026028,17872.85919570923,1.284523443704846,23664.079015088624,1.7007387534201972,33868.940045203446,2.4341627170621996,19412.85919570923,1.3952033344623564,31010.380136080985,2.2287178479287757,53582.80068568274,3.850999043099234
3,8284.418942451477,0.6782377461549518,0.6782340747544022,0.6782377461549518,0.6782382457068874,16600.59373855591,1.1930856503202465,16720.32364028527,1.2016906454136316,16808.12635303847,1.2080010315537208,18104.837884902954,1.3011957657685032,23896.05770428235,1.7174110754838543,34100.91873439717,2.450835039125857,19644.837884902954,1.4118756565260138,31242.35882527471,2.245390169992433,53814.77937487647,3.867671365162891
4,8779.873905181885,0.6380623832111543,0.6379767464929611,0.6380623832111543,0.6380601856435582,17594.019035339355,1.2644831849460512,17723.232705465023,1.27376977903299,17820.602700183328,1.280767766291744,19095.74781036377,1.372412520509111,24886.967629743165,1.788627830224462,35091.82865985799,2.5220517938664644,20635.74781036377,1.4830924112666213,32233.268750735526,2.3166069247330405,54805.68930033728,3.9388881199034986
5,9278.165912628174,0.5947966077332183,0.5946896774924215,0.5947966077332183,0.5947942853043671,18593.855602264404,1.336341497934771,18735.33245194346,1.3465094474589234,18845.34569497435,1.3544161057190132,20092.331825256348,1.444037072391573,25883.551644635743,1.8602523821069241,36088.412674750565,2.5936763457489267,21632.331825256348,1.5547169631490836,33229.85276562811,2.388231476615503,55802.27331522986,4.010512671785961
6,9201.540691375732,0.6029897944516315,0.6028124627931897,0.6029897944516315,0.6029867697105165,18433.774423599243,1.32483645418997,18549.49717521036,1.3331534551682018,18633.316458035762,1.339177551964623,19939.081382751465,1.4330229540571702,25730.30120213086,1.8492382637725213,35935.16223224568,2.5826622274145237,21479.081382751465,1.5437028448146806,33076.602323123225,2.3772173582811,55649.02287272498,3.999498553451558
7,9284.3291721344,0.5900531838436107,0.5888199712326396,0.5900531838436107,0.5900453241092823,18594.599563598633,1.3363949664797063,18692.406401828972,1.343424349707415,18758.88560055922,1.3482022136380063,20104.6583442688,1.4449229800394423,25895.878163648194,1.8611382897547932,36100.73919376302,2.594562253396796,21644.6583442688,1.5556028707969527,33242.17928464056,2.389117384263372,55814.59983424231,4.0113985794338305
8,9512.868709564209,0.5605864596808969,0.5599382849395884,0.5605864596808969,0.5605809547170479,19047.67428970337,1.3689574737461097,19130.383430099733,1.3749017845407312,19182.922710652663,1.3786777857303911,20561.737419128418,1.477773280086849,26352.957238507814,1.8939885898022002,36557.818268622636,2.6274125534442025,22101.737419128418,1.5884531708443594,33699.25835950018,2.421967684310779,56271.67890910193,4.044248879481237
9,9398.930767059326,0.5777634037659911,0.5777593710936844,0.5777634037659911,0.5777629714870178,18812.7878742218,1.3520761732227828,18869.065033490133,1.356120815976005,18899.066681581622,1.3582770361924408,20333.861534118652,1.4613958268016856,26125.081353498048,1.8776111365170367,36329.94238361287,2.611035100159039,21873.861534118652,1.572075717559196,33471.38247449041,2.405590231025615,56043.803024092165,4.027871426196073
10,9340.715473175049,0.5786258444731924,0.5786257378233822,0.5786258444731924,0.5786259287425861,18697.418318748474,1.3437845564717892,18757.69591503316,1.348116710869136,18790.928097125947,1.350505109754632,20217.430946350098,1.4530279535971036,26008.650765729493,1.8692432633124545,36213.511795844315,2.602667226954457,21757.430946350098,1.563707844354614,33354.95188672186,2.3972223578210334,55927.37243632361,4.019503552991491
11,9506.337245941162,0.5656173638062383,0.5654537350792523,0.5656173638062383,0.5656145862276261,19027.803240776062,1.3675293402886346,19084.84354704939,1.3716288304620805,19115.455808844777,1.3738289355214013,20548.674491882324,1.476834446735829,26339.89431126172,1.8930497564511801,36544.75534137654,2.6264737200931827,22088.674491882324,1.5875143374933394,33686.195432254084,2.421028850959759,56258.61598185584,4.043310046130217
12,9641.862510681152,0.5537588040822193,0.5537444182879296,0.5537588040822193,0.5537579994052875,19303.83879852295,1.3873680320916306,19379.674283506873,1.392818332866672,19426.102066891908,1.3961551003947037,20819.725021362305,1.4963148642634976,26610.9448407417,1.9125301739788487,36815.80587085652,2.6459541376208513,22359.725021362305,1.606994755021008,33957.245961734065,2.4405092684874274,56529.66651133582,4.062790463657885
