layer_number,loss,accuracy_score,f1_macro,f1_micro,balanced_accuracy_score,aic_pr,aic_pr_avg,bic_pr,bic_pr_avg,ebic_pr,ebic_pr_avg,aic_rep,aic_rep_avg,bic_rep,bic_rep_avg,ebic_rep,ebic_rep_avg,aic_cls,aic_cls_avg,bic_cls,bic_cls_avg,ebic_cls,ebic_cls_avg
1,8213.113648414612,0.6896650855253701,0.6896636428415229,0.6896650855253701,0.6896654096930221,16451.93710708618,1.1824016894556693,16548.871457810517,1.189368366954903,16614.527255376244,1.194087052995274,18474.227296829224,1.327743804573036,26195.853722668417,1.8826975508601709,40391.507980536095,2.9029400589719776,20526.227296829224,1.475221165504472,35984.56145012058,2.5862125521144588,67249.50124586363,4.833225617785226
2,7861.51834487915,0.7130228546787408,0.7130201138343969,0.7130228546787408,0.7130233136269354,15750.716804504395,1.1320049449837857,15855.07984429624,1.1395055228040996,15927.81120182194,1.1447327297557812,17771.0366897583,1.2772054542014015,25492.663115597494,1.8321592004885363,39688.31737346517,2.852401708600343,19823.0366897583,1.4246828151328375,35281.370843049655,2.535674201742824,66546.31063879271,4.782687267413592
3,7677.217832565308,0.7241627138134253,0.7241526601724015,0.7241627138134253,0.7241618610041916,15382.289485931396,1.105526051885252,15487.307454073927,1.1130736994447268,15560.66948565117,1.1183462329776606,17402.435665130615,1.2507140768384803,25124.06209096981,1.8056678231256151,39319.716348837486,2.825910331237422,19454.435665130615,1.3981914377699163,34912.76981842197,2.509182824379903,66177.70961416503,4.7561958900506704
4,7881.048522949219,0.7111542331464712,0.7111155544425702,0.7111542331464712,0.7111525846114227,15789.72981262207,1.1348088121763742,15893.914334962037,1.1422965599369008,15966.473979359353,1.1475114258559258,17810.097045898438,1.2800127242991546,25531.72347173763,1.8349664705862894,39727.37772960531,2.855208978698096,19862.097045898438,1.4274900852305905,35320.43119918979,2.5384814718405773,66585.37099493285,4.785494537511345
5,7846.679327011108,0.7110104930286043,0.7110099541560215,0.7110104930286043,0.7110103114373417,15719.73357963562,1.1297781787865186,15819.175631684448,1.1369250849277308,15887.203595029221,1.1418142586624422,17741.358654022217,1.2750724920240202,25462.98507986141,1.830026238311155,39658.63933772909,2.8502687464229615,19793.358654022217,1.422549852955456,35251.69280731357,2.5335412395654426,66516.63260305663,4.78055430523621
6,8252.942667007446,0.6810406784533564,0.6810405137010416,0.6810406784533564,0.6810405892183793,16534.136445999146,1.1883093607876345,16640.652331183202,1.1959646637331611,16715.46087163599,1.2013411579442281,18553.885334014893,1.333468832400093,26275.511759854086,1.8884225786872277,40471.16601772176,2.9086650867990342,20605.885334014893,1.4809461933315289,36064.21948730625,2.5919375799415154,67329.1592830493,4.838950645612282
7,8497.846130371094,0.6651573954290643,0.6651345203785244,0.6651573954290643,0.665156221151769,17024.67434501648,1.2235643484991001,17133.946233594736,1.2314177255709886,17211.430722134002,1.236986540328734,19043.692260742188,1.3686712850899947,26765.31868658138,1.9236250313771295,40960.97294444906,2.943867539488936,21095.692260742188,1.5161486460214308,36554.02641403354,2.6271400326314174,67818.9662097766,4.874153098302185
8,8632.631671905518,0.6557424177087825,0.6557386550058968,0.6557424177087825,0.6557419560491182,17296.528497695923,1.2431025224734744,17414.40830162438,1.2515745509288758,17500.367370847776,1.2577524342998259,19313.263343811035,1.3880453747169064,27034.889769650228,1.9429991210040412,41230.544027517906,2.963241629115848,21365.263343811035,1.5355227356483423,36823.59749710239,2.646514122258329,68088.53729284545,4.893527187929096
9,9126.18295097351,0.615423314647118,0.6153665711056111,0.615423314647118,0.6154215814892642,18287.358905792236,1.314313562296409,18419.29391712559,1.3237957393363224,18519.44392710206,1.3309935264555168,20300.36590194702,1.4589884937434974,28021.992327786214,2.013942240030632,42217.64658565389,3.034184748142439,22352.36590194702,1.6064658546749333,37810.700055238376,2.71745724128492,69075.63985098143,4.964470306955687
10,9035.080965042114,0.6185137271812563,0.6185023452735684,0.6185137271812563,0.6185129548340731,18102.397869110107,1.3010204016896727,18223.937848916732,1.309755487201145,18313.551660304827,1.3161960371068584,20118.16193008423,1.44589348354781,27839.78835592342,2.0008472298349447,42035.4426137911,3.0210897379467516,22170.16193008423,1.593370844479246,37628.49608337558,2.704362231089233,68893.43587911864,4.95137529676
