layer_number,loss,accuracy_score,f1_macro,f1_micro,balanced_accuracy_score,aic_pr,aic_pr_avg,bic_pr,bic_pr_avg,ebic_pr,ebic_pr_avg,aic_rep,aic_rep_avg,bic_rep,bic_rep_avg,ebic_rep,ebic_rep_avg,aic_cls,aic_cls_avg,bic_cls,bic_cls_avg,ebic_cls,ebic_cls_avg
1,485.3001862168312,1.0,1.0,1.0,1.0,986.6954251527786,0.04606421219200647,1050.8509518616477,0.04905933482080521,1084.4150085551703,0.05062628424627312,2506.6003724336624,0.11702149264396183,8629.158076626998,0.40285518565018663,18834.019106741824,0.8792726006882271,53262.60037243366,2.486582650440414,261700.61304670313,12.217582308436187,793586.1545773206,37.04884008297481
2,612.8349921703339,0.9997665732959851,0.9997665696201478,0.9997665732959851,0.9997665732959851,1243.448157787323,0.0580508010171486,1314.31267133049,0.0613591349827493,1353.1548554114265,0.06317249558410021,2761.6699843406677,0.1289295044043262,8884.227688534003,0.41476319741055107,19089.08871864883,0.8911806124485915,53517.66998434067,2.498490662200778,261955.68265861014,12.229490320196552,793841.2241892276,37.06074809473518
3,626.998707652092,0.9997665732959851,0.9997665696201478,0.9997665732959851,0.9997665732959851,1276.1007401943207,0.059575197954916934,1364.2054811411924,0.0636883978123806,1417.310509039329,0.06616762413815729,2789.997415304184,0.1302519801729311,8912.55511949752,0.4160856731791559,19117.416149612345,0.8925030882171964,53545.997415304184,2.499813137969383,261984.01008957365,12.230812795965157,793869.5516201911,37.062070570503785
4,531.6256980895996,0.9997665732959851,0.9997665696201478,0.9997665732959851,0.9997665732959851,1086.23996925354,0.05071148315842857,1177.87334502484,0.05498941853523997,1234.0079964483693,0.057610083867804356,2599.251396179199,0.12134693726326794,8721.809100372535,0.40718063026949275,18926.67013048736,0.8835980453075332,53355.2513961792,2.4909080950597198,261793.26407044867,12.221907753055493,793678.8056010661,37.053165527594125
5,501.9329940676689,1.0,1.0,1.0,1.0,1030.278149008751,0.04809888650834505,1135.5580832795251,0.053013916119492306,1203.7193465206135,0.056196047923464686,2539.865988135338,0.11857450925001577,8662.423692328673,0.4044082022562406,18867.2847224435,0.880825617294281,53295.86598813534,2.4881356670464676,261733.8786624048,12.219135325042242,793619.4201930222,37.05039309958087
6,287.7771259844303,1.0,1.0,1.0,1.0,602.7500222325325,0.02813959020693429,711.1534550120352,0.033200441410459164,782.1320847995605,0.036514102931818886,2111.5542519688606,0.09857862987716436,8234.111956162196,0.38441232288338917,18438.972986277022,0.8608297379214296,52867.55425196886,2.4681397876736164,261305.56692623833,12.19913944566939,793191.1084568558,37.030397220208016
7,641.854100227356,1.0,1.0,1.0,1.0,1310.6888942718506,0.061189957715772667,1418.2350236954208,0.06621078541995429,1488.438100657395,0.06948823999334243,2819.708200454712,0.13163903830320783,8942.265904648048,0.4174727313094327,19147.126934762873,0.8938901463474731,53575.70820045471,2.50120019609966,262013.72087472418,12.232199854095434,793899.2624053416,37.06345762863406
8,827.1982638835907,1.0,1.0,1.0,1.0,1679.4410681724548,0.07840527862616503,1779.2696123171736,0.08306580823142734,1842.5699069720104,0.08602100406031794,3190.3965277671814,0.14894474919547998,9312.954231960517,0.4347784422017048,19517.815262075343,0.9111958572397452,53946.39652776718,2.518505906991932,262384.4092020367,12.249505564987707,794269.9507326541,37.080763339526335
9,755.1413631439209,0.999813258636788,0.99981325675477,0.999813258636788,0.999813258636788,1532.642234802246,0.0715519250607958,1621.768133966857,0.0757127980376684,1675.746323232227,0.07823278819945037,3046.282726287842,0.14221674725900288,9168.840430481177,0.4280504402652277,19373.701460596003,0.9044678553032681,53802.28272628784,2.511777905055455,262240.29540055734,12.242777563051229,794125.8369311747,37.074035337589855
10,665.165363073349,1.0,1.0,1.0,1.0,1348.9470419883728,0.06297605238040956,1423.1524247879447,0.06644035596582375,1464.6834004916423,0.06837924372043148,2866.330726146698,0.13381562680423426,8988.888430340034,0.4196493198104591,19193.74946045486,0.8960667348484995,53622.3307261467,2.503376784600686,262060.34340041617,12.23437644259646,793945.8849310336,37.06563421713509
11,752.0785022974014,1.0,1.0,1.0,1.0,1518.2179329395294,0.0708785216124897,1574.2653581772352,0.07349511476084197,1601.6877226496795,0.07477533719186179,3040.157004594803,0.1419307658540991,9162.714708788139,0.42776445886032394,19367.575738902964,0.9041818738983644,53796.1570045948,2.511491923650551,262234.1696788643,12.242491581646325,794119.7112094817,37.073749356184955
12,1479.0597636699677,0.9994397759103641,0.9994398487209476,0.9994397759103641,0.9994397759103641,2973.5778937339783,0.1388224973732016,3035.1955631741416,0.14169913927050148,3066.807971541642,0.14317497532874146,4494.119527339935,0.2098095017432276,10616.677231533271,0.49564319474945245,20821.538261648097,0.9720606097874929,55250.119527339935,2.5793706595396797,263688.13220160943,12.310370317535455,795573.6737322268,37.14162809207408
