layer_number,loss,accuracy_score,f1_macro,f1_micro,balanced_accuracy_score,aic,aic_avg,bic,bic_avg,ebic,ebic_avg
1,44805.815170288086,0.39019607843137255,0.3920906154422573,0.39019607843137255,0.39019607843137255,99211.63034057617,4.631728774069849,137477.61599178452,6.418189355358755,218850.77948198596,10.217123225116058
2,19680.21643447876,0.7263772175536881,0.7266967662869777,0.7263772175536881,0.7263772175536881,48960.43286895752,2.2857344943490907,87226.41852016587,4.072195075637996,168599.5820103673,7.871128945395299
3,9000.13123512268,0.8995798319327731,0.900239026236694,0.8995798319327731,0.8995798319327731,27600.26247024536,1.2885276596753203,65866.24812145371,3.0749882409642257,147239.41161165514,6.873922110721529
4,5210.817354679108,0.9297852474323063,0.9299190248743147,0.9297852474323063,0.9297852474323063,20021.634709358215,0.9347168398393191,58287.620360566565,2.7211774211282242,139660.783850768,6.520111290885527
5,5442.440143108368,0.9323996265172736,0.9324709696502193,0.9323996265172736,0.9323996265172735,20484.880286216736,0.9563436174704358,58750.865937425086,2.742804198759341,140124.02942762652,6.541738068516644
6,1347.977536201477,0.988422035480859,0.9884158539249734,0.988422035480859,0.988422035480859,12295.955072402954,0.5740408530533592,50561.940723611304,2.3605014343422646,131935.10421381274,6.159435304099568
7,1239.1850129961967,0.9867413632119515,0.9867321761983076,0.9867413632119515,0.9867413632119515,12078.370025992393,0.5638828210080482,50344.35567720074,2.3503434022969536,131717.51916740218,6.149277272054257
8,1498.5642611980438,0.9835200746965452,0.9836001803613079,0.9835200746965452,0.9835200746965453,12597.128522396088,0.5881012382071003,50863.11417360444,2.3745618194960056,132236.27766380587,6.173495689253309
9,1429.6557921171188,0.9859943977591037,0.986049206815223,0.9859943977591037,0.9859943977591035,12459.311584234238,0.58166720748059,50725.29723544259,2.3681277887694954,132098.46072564402,6.167061658526799
10,2482.502716779709,0.9734360410830999,0.973494003062881,0.9734360410830999,0.9734360410831,14565.005433559418,0.6799722424630914,52830.99108476777,2.4664328237519966,134204.1545749692,6.2653666935093
11,132.0335821956396,0.999953314659197,0.9999533146297909,0.999953314659197,0.999953314659197,9864.06716439128,0.46050733727316895,48130.05281559963,2.246967918562074,129503.21630580106,6.0459017883193775
12,1290.465854883194,0.9891223155929039,0.9891486401272164,0.9891223155929039,0.9891223155929038,12180.931709766388,0.5686709481683655,50446.91736097474,2.3551315294572706,131820.08085117617,6.1540653992145735
13,1221.9486963748932,0.9889355742296919,0.9889067568663454,0.9889355742296919,0.9889355742296919,12043.897392749786,0.5622734543767407,50309.883043958136,2.348734035665646,131683.04653415957,6.147667905422949
14,390.6032434999943,0.9979458450046685,0.9979443548684863,0.9979458450046685,0.9979458450046685,10381.206486999989,0.48465016279178286,48647.19213820834,2.271110744080688,130020.35562840977,6.070044613837991
15,603.1566058695316,0.9932306255835668,0.993250286424384,0.9932306255835668,0.9932306255835668,10806.313211739063,0.5044964151138684,49072.29886294741,2.2909569964027736,130445.46235314885,6.089890866160077
16,1975.3226608037949,0.9799253034547152,0.9800492115357615,0.9799253034547152,0.9799253034547152,13550.64532160759,0.6326164949396634,51816.63097281594,2.4190770762285685,133189.79446301737,6.2180109459858715
17,1061.626327186823,0.9873949579831933,0.9874011184175973,0.9873949579831933,0.9873949579831932,11723.252654373646,0.5473040454889657,49989.238305581996,2.333764626777871,131362.40179578343,6.132698496535174
18,345.4169741868973,0.9977591036414566,0.997758048279245,0.9977591036414566,0.9977591036414566,10290.833948373795,0.4804310900267878,48556.819599582144,2.266891671315693,129929.98308978358,6.065825541072996
19,1152.2712368369102,0.9892623716153128,0.9892547849945058,0.9892623716153128,0.9892623716153127,11904.54247367382,0.5557676224871064,50170.52812488217,2.3422282037760116,131543.6916150836,6.141162073533315
20,677.9148899912834,0.9935574229691877,0.9935561214724056,0.9935574229691877,0.9935574229691878,10955.829779982567,0.5114766470580097,49221.81543119092,2.297937228346915,130594.97892139235,6.096871098104218
21,566.9622984826565,0.9954248366013072,0.9954267620373713,0.9954248366013072,0.9954248366013073,10733.924596965313,0.5011169279628997,48999.91024817366,2.287577509251805,130373.0737383751,6.086511379009108
22,24.87736631371081,1.0,1.0,1.0,1.0,9649.754732627422,0.4505020883579562,47915.74038383577,2.236962669646861,129288.9038740372,6.035896539404164
23,240.12474519014359,0.9990196078431373,0.9990175269760454,0.9990196078431373,0.9990196078431373,10080.249490380287,0.47059988283754844,48346.23514158864,2.257060464126454,129719.39863179007,6.055994333883757
24,96.68383061885834,1.0,1.0,1.0,1.0,9793.367661237717,0.45720670687384296,48059.35331244607,2.243667288162748,129432.5168026475,6.042601157920052
25,187.80614525079727,0.999859943977591,0.9998599437129343,0.999859943977591,0.999859943977591,9975.612290501595,0.4657148595005413,48241.597941709944,2.2521754407894465,129614.76143191138,6.0511093105467495
26,44.289743930101395,1.0,1.0,1.0,1.0,9688.579487860203,0.4523146352875912,47954.56513906855,2.2387752165764963,129327.72862926999,6.037709086333799
