layer_number,loss,accuracy_score,f1_macro,f1_micro,balanced_accuracy_score,aic,aic_avg,bic,bic_avg,ebic,ebic_avg
1,24057.902641296387,0.3438274932614555,0.33110393239331715,0.3438274932614555,0.34380901639767364,76921.80528259277,4.146728047579125,189671.73093750924,10.224891155660876,465494.70584762504,25.094054223591645
2,24372.25846862793,0.35509433962264153,0.3506897852703658,0.35509433962264153,0.35508490200025694,77550.51693725586,4.18062085915126,190300.44259217233,10.25878396723301,466123.4175022881,25.127947035163782
3,24778.09065246582,0.3562264150943396,0.3537230185985678,0.3562264150943396,0.3562207267855641,78362.18130493164,4.22437635067017,191112.1069598481,10.30253945875192,466935.0818699639,25.17170252668269
4,24109.331169128418,0.37601078167115903,0.37607270521009495,0.37601078167115903,0.3760118716037561,77024.66233825684,4.152272902331905,189774.5879931733,10.230436010413655,465597.5629032891,25.099599078344426
5,21869.91851043701,0.4360646900269542,0.4363970230540491,0.4360646900269542,0.4360642409510341,72545.83702087402,3.9108267935781145,185295.7626757905,9.988989901659865,461118.7375859063,24.858152969590634
6,21968.755798339844,0.39789757412398924,0.3967676189335971,0.39789757412398924,0.39789377595989084,72743.51159667969,3.9214831049423013,185493.43725159616,9.999646213024052,461316.41216171195,24.86880928095482
7,21861.343780517578,0.47902964959568733,0.4762123254311741,0.47902964959568733,0.4790202439192141,72528.68756103516,3.909902294395426,185278.61321595163,9.988065402477178,461101.5881260674,24.857228470407946
8,20488.00845336914,0.5041509433962265,0.5036571784082239,0.5041509433962265,0.5041445319208391,69782.01690673828,3.7618337955114978,182531.94256165475,9.839996903593248,458354.91747177055,24.70915997152402
9,19925.143047332764,0.513854447439353,0.5134519403402175,0.513854447439353,0.513847338647765,68656.28609466553,3.7011474983647186,181406.211749582,9.779310606446469,457229.1866596978,24.64847367437724
10,19588.236400604248,0.5240431266846362,0.5243885443965514,0.5240431266846362,0.524037395775045,67982.4728012085,3.664823331601536,180732.39845612497,9.742986439683287,456555.37336624076,24.612149507614056
11,16609.09815979004,0.5833423180592991,0.5836926083659986,0.5833423180592991,0.5833351818191584,62024.19631958008,3.3436224431040475,174774.12197449655,9.421785551185797,450597.09688461234,24.29094861911657
12,17531.509979248047,0.6183288409703505,0.6192673552741369,0.6183288409703505,0.6183234435853985,63869.019958496094,3.443073852210032,176618.94561341256,9.521236960291782,452441.92052352836,24.390400028222555
13,16940.347187042236,0.604690026954178,0.6054111041585614,0.604690026954178,0.6046828040176735,62686.69437408447,3.3793366239398637,175436.62002900094,9.457499732021613,451259.59493911674,24.326662799952384
14,17203.38920211792,0.6492183288409703,0.6469252372127393,0.6492183288409703,0.649205538230942,63212.77840423584,3.407696949015409,175962.7040591523,9.48586005709716,451785.6789692681,24.35502312502793
