layer_number,loss,accuracy_score,f1_macro,f1_micro,balanced_accuracy_score,aic_pr,aic_pr_avg,bic_pr,bic_pr_avg,ebic_pr,ebic_pr_avg,aic_rep,aic_rep_avg,bic_rep,bic_rep_avg,ebic_rep,ebic_rep_avg,aic_cls,aic_cls_avg,bic_cls,bic_cls_avg,ebic_cls,ebic_cls_avg
1,20242.57956314087,0.38566037735849057,0.3848190698241001,0.38566037735849057,0.3856550908206426,40491.53137111664,2.1828318798445627,40516.47305449475,2.18417644498624,40523.85724147271,2.1845745143651056,43557.15912628174,2.3480948316054846,55581.31283078439,2.9962971876433633,78120.38302969419,4.211341403218015,49707.15912628174,2.679631219745646,85803.1049149938,4.62550430808592,163601.74161200406,8.819500895525826
2,20303.14453125,0.3726145552560647,0.37099833342590455,0.3726145552560647,0.3726125236100468,40621.93710231781,2.189861838399882,40683.18529110151,2.193163627552642,40715.376415525636,2.194898998141544,43678.2890625,2.354624747304582,55702.44276700265,3.0028271033424607,78241.51296591245,4.217871318917113,49828.2890625,2.686161135444744,85924.23485121207,4.632034223785017,163722.87154822232,8.826030811224923
3,20750.44886779785,0.360377358490566,0.36029738217253243,0.360377358490566,0.36037760519663076,41574.66120147705,2.2412216281119703,41863.379707835826,2.256785968077403,42129.49736765921,2.2711319335665343,44572.8977355957,2.402851629951251,56597.05144009835,3.0510539859891295,79136.12163900815,4.266098201563782,50722.8977355957,2.7343880180914124,86818.84352430777,4.6802611064316855,164617.48022131802,8.874257693871591
4,21066.50789642334,0.35175202156334234,0.3515804384052699,0.35175202156334234,0.35175236107443203,42226.21922302246,2.276346049758623,42591.02793728694,2.2960122877243636,42949.081717939276,2.3153143783255676,45205.01579284668,2.4369280750860742,57229.16949734933,3.085130431123953,79768.23969625913,4.300174646698605,51355.01579284668,2.7684644632262363,87450.96158155875,4.714337551566509,165249.598278569,8.908334139006415
5,20972.053871154785,0.35692722371967656,0.35674186533256874,0.35692722371967656,0.3569294815911041,42057.95792388916,2.2672753597783912,42503.58034661003,2.291298131892724,42963.732738445775,2.3161041907517936,45016.10774230957,2.426744352685152,57040.26144681222,3.0749467087230307,79579.33164572202,4.289990924297683,51166.10774230957,2.7582807408253136,87262.05353102164,4.704153829165587,165060.6902280319,8.898150416605493
6,20674.3180809021,0.3625876010781671,0.3622331928416798,0.3625876010781671,0.3625851855510071,41446.19960021973,2.234296474405376,41828.07387738382,2.254882688807753,42207.33765274893,2.2753281753503467,44420.6361618042,2.3946434588573693,56444.78986630685,3.042845814895248,78983.86006521665,4.2578900304699,50570.6361618042,2.726179846997531,86666.58195051627,4.672052935337804,164465.21864752652,8.86604952277771
7,20520.387088775635,0.3693800539083558,0.3685963627213067,0.3693800539083558,0.3693754935980309,41133.39328765869,2.2174336004128676,41495.91490741973,2.236976544874379,41851.141460187224,2.256126224268853,44112.77417755127,2.378047125474462,56136.92788205392,3.0262494815123406,78675.99808096372,4.241293697086993,50262.77417755127,2.7095835136146236,86358.71996626334,4.655456601954897,164157.3566632736,8.849453189394803
8,20459.300247192383,0.3973584905660377,0.3970615875829469,0.3973584905660377,0.39735525623570994,41020.836585998535,2.2113658536926435,41421.00015361298,2.2329380136718586,41823.21100394714,2.2546205392963414,43990.600494384766,2.3714609430935183,56014.754198887415,3.019663299131397,78553.82439779722,4.23470751470605,50140.600494384766,2.70299733123368,86236.54628309683,4.648870419573953,164035.18298010709,8.84286700701386
9,20363.067127227783,0.3978436657681941,0.39763218583683474,0.3978436657681941,0.3978405012033294,40817.11519622803,2.200383568529813,41173.22484077636,2.219580853950208,41520.544856703236,2.2383043049435707,43798.13425445557,2.3610854045528606,55822.287958958215,3.0092877605907393,78361.35815786802,4.2243319761653915,49948.13425445557,2.6926217926930223,86044.08004316763,4.638494881033296,163842.7167401779,8.8324914684732
10,20284.965114593506,0.40161725067385445,0.4016210514389762,0.40161725067385445,0.4016143070849741,40661.15547180176,2.191976036215728,41018.221337338946,2.2112248699374093,41366.7185923769,2.230011783955628,43641.93022918701,2.3526647023820493,55666.08393368966,3.000867058419928,78205.15413259946,4.21591127399458,49791.93022918701,2.684201090522211,85887.87601789908,4.630074178862484,163686.51271490933,8.82407076630239
