layer_number,loss,accuracy_score,f1_macro,f1_micro,balanced_accuracy_score,aic_pr,aic_pr_avg,bic_pr,bic_pr_avg,ebic_pr,ebic_pr_avg,aic_rep,aic_rep_avg,bic_rep,bic_rep_avg,ebic_rep,ebic_rep_avg,aic_cls,aic_cls_avg,bic_cls,bic_cls_avg,ebic_cls,ebic_cls_avg
1,17126.966751098633,0.5631805929919137,0.5613691568678706,0.5631805929919137,0.5631718112468573,34273.30940246582,1.8476177575453272,34349.14885656485,1.8517061378202073,34393.14925608969,1.8540781270129212,35789.933502197266,1.9293764691211464,41802.01035444859,2.2534776471400857,52006.87138456342,2.803604926391559,38867.933502197266,2.0953063882586127,56927.64873415535,3.0688759425420673,92657.09556736905,4.994991674790784
2,16269.185306549072,0.5931536388140162,0.5915876290779363,0.5931536388140162,0.5931443113581153,32564.080507278442,1.755476038128218,32664.71192633782,1.7609009124710415,32730.368024036747,1.7644403247459162,34074.370613098145,1.8368932945066385,40086.44746534947,2.160994472525578,50291.3084954643,2.711121751777051,37152.370613098145,2.002823213644105,55212.08584505623,2.9763927679275595,90941.53267826993,4.9025085001762765
3,16391.776416778564,0.5921832884097035,0.5909791718411718,0.5921832884097035,0.5921740132468772,32814.441551208496,1.768972590361644,32935.34346812745,1.7754902139152264,33019.89342181214,1.7800481629009242,34319.55283355713,1.850110664881786,40331.62968580845,2.1742118429007253,50536.49071592328,2.7243391221521986,37397.55283355713,2.0160405840192523,55457.268065515214,2.989610138302707,91186.71489872891,4.915725870551424
4,17140.364658355713,0.5579514824797843,0.5575168876259088,0.5579514824797843,0.5579444328419988,34314.32221221924,1.8498286906856731,34445.808585580315,1.8569169048830358,34540.5797695773,1.8620258635890727,35816.729316711426,1.9308209874237965,41828.80616896275,2.254922165442736,52033.66719907758,2.805049444694209,38894.729316711426,2.096750906561263,56954.44454866951,3.0703204608447177,92683.89138188321,4.996436193093435
5,17832.155612945557,0.5302964959568733,0.5285761460762742,0.5302964959568733,0.5302864636847869,35699.610637664795,1.924507312003493,35837.776507731614,1.9319556068858013,35939.111206661786,1.9374183938901233,37200.31122589111,2.005407613255586,43212.38807814244,2.329508791274525,53417.24910825727,2.879636070525998,40278.31122589111,2.1713375323930517,58338.0264578492,3.1449070866765068,94067.4732910629,5.071022818925224
6,18307.266510009766,0.5106199460916442,0.5108126833686355,0.5106199460916442,0.5106148252190387,36642.71092033386,1.975348297592122,36753.00239313649,1.981293929549137,36827.54394995364,1.9853123423155599,38150.53302001953,2.0566325078177643,44162.609872270856,2.3807336858367036,54367.470902385685,2.930860965088177,41228.53302001953,2.2225624269552307,59288.24825197762,3.1961319812386857,95017.69508519131,5.122247713487402
7,18721.188457489014,0.4867385444743935,0.48229419718074545,0.4867385444743935,0.4867252908714516,37466.669759750366,2.019766563867944,37561.754687960725,2.0248924360086646,37622.41476066807,2.0281625207907314,38978.37691497803,2.1012602110500285,44990.45376722935,2.425361389068968,55195.31479734418,2.975488668320441,42056.37691497803,2.267190130187495,60116.09214693611,3.2407596844709494,95845.53898014981,5.166875416719666
8,18921.534271240234,0.4741239892183288,0.47298863249651585,0.4741239892183288,0.47411872217592865,37863.21578788757,2.0411437082419175,37942.07437366145,2.045394844941318,37988.6129050375,2.047903660648922,39379.06854248047,2.1228608378695673,45391.14539473179,2.4469620158885066,55596.00642484662,2.9970892951399795,42457.06854248047,2.288790757007033,60516.783774438554,3.262360311290488,96246.23060765225,5.188476043539205
9,19471.570976257324,0.45390835579514827,0.45403278712538997,0.45390835579514827,0.45390444848925693,38957.38996887207,2.100128839292295,39013.15830828155,2.103135218775286,39041.13386749847,2.10464333517512,40479.14195251465,2.1821639866584714,46491.21880476597,2.506265164677411,56696.0798348808,3.056392443928884,43557.14195251465,2.348093905795938,61616.857184472734,3.321663460079393,97346.30401768643,5.247779192328109
10,19948.643383026123,0.4187601078167116,0.41676549079954883,0.4187601078167116,0.4187514099064053,39912.33716583252,2.1516084725516182,39971.24612425447,2.15478415764175,40001.62170467591,2.1564216552385935,41433.286766052246,2.233600364746752,47445.36361830357,2.5577015427656913,57650.2246484184,3.1078288220171646,44511.286766052246,2.3995302838842183,62571.00199801033,3.373099838167673,98300.44883122403,5.29921557041639
11,19810.32650756836,0.4201078167115903,0.418723123360073,0.4201078167115903,0.42010106613686965,39634.93318748474,2.136654080187857,39690.82738906007,2.139667244693265,39718.898278362125,2.1411805001812465,41156.65301513672,2.218687494077451,47168.72986738804,2.5427886720963904,57373.59089750287,3.0929159513478637,44234.65301513672,2.3846174132149174,62294.368247094804,3.358186967498372,98023.8150803085,5.284302699747089
12,20003.96015548706,0.4087870619946092,0.40799816772178094,0.4087870619946092,0.40878383374286015,40027.01010131836,2.157790301957863,40101.72968897651,2.1618183120742054,40144.79637968089,2.164139966559617,41543.92031097412,2.2395644372492787,47555.997163225446,2.563665615268218,57760.858193340275,3.1137928945196913,44621.92031097412,2.405494356386745,62681.63554293221,3.3790639106701996,98411.0823761459,5.305179642918916
