layer_number,loss,accuracy_score,f1_macro,f1_micro,balanced_accuracy_score,aic_pr,aic_pr_avg,bic_pr,bic_pr_avg,ebic_pr,ebic_pr_avg,aic_rep,aic_rep_avg,bic_rep,bic_rep_avg,ebic_rep,ebic_rep_avg,aic_cls,aic_cls_avg,bic_cls,bic_cls_avg,ebic_cls,ebic_cls_avg
1,21939.05708694458,0.643457868348698,0.6356213832495017,0.643457868348698,0.6434095643200051,43947.72757720947,1.776958093854499,44230.21365932731,1.7883799797560775,44477.328009883415,1.7983716646402803,45414.11417388916,1.8362491579285605,51647.08945505021,2.0882698307880565,61851.95048516504,2.500887533768601,56182.11417388916,2.2716365103464806,106110.84324902305,4.290427108564736,213457.4912666492,8.630822063183292
2,17658.31667327881,0.7157124373281578,0.7103432325799435,0.7157124373281578,0.7156685767485371,35388.466567993164,1.43087767135667,35679.96050912203,1.4426637760440737,35937.20963342414,1.4530652447608015,36852.63334655762,1.4900789805336252,43085.60862771867,1.742099653393121,53290.4696578335,2.1547173563736655,47620.63334655762,1.9254663329515453,97549.3624216915,3.9442569311698006,204896.01043931764,8.284651885788357
3,15196.208850860596,0.7609574640142326,0.7578695633354576,0.7609574640142326,0.760915294022332,30474.647872924805,1.2321950458080546,30808.33187323585,1.2456870399982147,31113.93003499633,1.2580434269366136,31928.41770172119,1.2909759704723107,38161.392982882244,1.5429966433318067,48366.25401299707,1.9556143463123514,42696.41770172119,1.7263633228902309,92625.14677685508,3.745153921108486,199971.79479448122,8.085548875727042
4,14744.114196777344,0.7652434093482129,0.7632550240493243,0.7652434093482129,0.7652060924220226,29563.203651428223,1.1953422145976154,29867.447745845162,1.207643851926458,30139.15890808575,1.2186300706811317,31024.228393554688,1.2544164804122064,37257.20367471574,1.5064371532717022,47462.06470483057,1.919054856252247,41792.22839355469,1.6898038328301264,91720.95746868858,3.7085944310483816,199067.60548631471,8.048989385666939
5,16797.86794281006,0.7358078602620087,0.7323187927416261,0.7358078602620087,0.735762062506538,33657.20573043823,1.3608768288225066,33906.645849766435,1.3709625525540368,34117.204628044296,1.3794761696605327,35131.73588562012,1.4204971650339688,41364.71116678117,1.6725178378934646,51569.572196896,2.0851355408740093,45899.73588562012,1.855884517451889,95828.464960754,3.874675115670144,203175.11297838014,8.2150700702887
6,18530.22889328003,0.6951318130357431,0.6916264048973859,0.6951318130357431,0.6950894386102913,37109.49808502197,1.5004649072061287,37308.500017374754,1.5085112412006612,37465.40422257691,1.5148554189946994,38596.45778656006,1.5605878128157875,44829.43306772111,1.8126084856752835,55034.29409783594,2.225226188655828,49364.45778656006,1.9959751652337077,99293.18686169395,4.014765763451963,206639.8348793201,8.35516071807052
7,19139.715512275696,0.6898754649846353,0.6856669321787994,0.6898754649846353,0.6898310154748816,38338.62642097473,1.5501628020772575,38578.83699562656,1.5598753435074624,38779.3730331779,1.5679837066625384,39815.43102455139,1.6098751020763138,46048.406305712444,1.8618957749358096,56253.26733582727,2.2745134779163543,50583.43102455139,2.045262454494234,100512.16009968528,4.064053052712489,207858.80811731142,8.404448007331046
8,19224.329837799072,0.6901989325570111,0.6844478211711815,0.6901989325570111,0.6901540382458282,38529.91017913818,1.5578970636882656,38859.61875996302,1.5712283179671285,39160.60229737978,1.583398119738791,39984.659675598145,1.6167175996926308,46217.6349567592,1.8687382725521267,56422.495986874026,2.281355975532671,50752.659675598145,2.0521049521105508,100681.38875073203,4.070895550328806,208028.03676835817,8.411290504947363
9,17811.0106010437,0.715227235969594,0.711184174346361,0.715227235969594,0.7151860672315673,35711.756187438965,1.4439493849037266,36075.89417282415,1.4586727386715246,36417.22035342165,1.4724737325498,37158.0212020874,1.5024268640662868,43390.996483248455,1.7544475369257826,53595.857513363284,2.1670652399063273,47926.0212020874,1.9378142164842067,97854.75027722129,3.956604814702462,205201.39829484743,8.296999769321019
10,17865.884464263916,0.7158337376677988,0.7105975093397829,0.7158337376677988,0.7157895693732405,35827.70616912842,1.4486376422904907,36217.01245116374,1.464378637035571,36588.342055350106,1.479392772737753,37267.76892852783,1.5068643428969688,43500.744209688884,1.7588850157564646,53705.60523980371,2.1715027187370093,48035.76892852783,1.942251695314889,97964.49800366172,3.961042293533144,205311.14602128786,8.3014372481517
11,19095.447080612183,0.7022480996280123,0.6970610284084211,0.7022480996280123,0.702204136485051,38284.781871795654,1.5479856813761788,38665.77131137616,1.5633903975164223,39027.14063030122,1.5780018045568986,39726.894161224365,1.6062952515455429,45959.86944238542,1.8583159244050387,56164.73047250025,2.2709336273855834,50494.894161224365,2.041682603963463,100423.62323635825,4.0604732021817185,207770.2712539844,8.400868156800275
12,21387.48950767517,0.6678796700630761,0.6628665400401847,0.6678796700630761,0.6678324659543533,42861.752727508545,1.733048387817748,43213.8740835871,1.7472858678468017,43541.024569090056,1.7605136895152051,44310.97901535034,1.7916456014616828,50543.954296511394,2.0436662743211786,60748.81532662622,2.4562839773017235,55078.97901535034,2.227032953879603,105007.70809048423,4.245823552097859,212354.35610811037,8.586218506716415
