layer_number,loss,accuracy_score,f1_macro,f1_micro,balanced_accuracy_score,aic,aic_avg,bic,bic_avg,ebic,ebic_avg
1,56020.76029205322,0.1840934821284166,0.18333264536640945,0.1840934821284166,0.18409975438496104,188857.52058410645,7.6361604635333356,500571.2114680047,20.239819321850423,1311442.5244609956,53.02614121223498
2,54705.356857299805,0.2044719391880964,0.20188039689646015,0.2044719391880964,0.2044629465485862,186226.7137145996,7.529787874599693,497940.40459849784,20.13344673291678,1308811.7175914887,52.91976862330134
3,55105.430236816406,0.21599547145398673,0.2141218831669386,0.21599547145398673,0.2159880461652347,187026.8604736328,7.562140565810805,498740.55135753105,20.165799424127894,1309611.864350522,52.95212131451245
4,48594.823055267334,0.30430211871259905,0.30020456213558827,0.30430211871259905,0.3042712102893478,174005.64611053467,7.0356479908836596,485719.3369944329,19.639306849200747,1296590.6499874238,52.42562873958531
5,47770.169372558594,0.3280365518356785,0.3229790018578086,0.3280365518356785,0.3280107585048053,172356.3387451172,6.968960809684505,484070.0296290154,19.572619668001593,1294941.3426220063,52.35894155838615
6,44860.247886657715,0.35528869480834546,0.35323779459277715,0.35528869480834546,0.3552514156794986,166536.49577331543,6.73364449997232,478250.18665721366,19.337303358289407,1289121.4996502046,52.12362524867397
7,48053.42663574219,0.3338994015849911,0.3252699722728651,0.3338994015849911,0.33386107579604385,172922.85327148438,6.991866944504463,484636.5441553826,19.59552580282155,1295507.8571483735,52.38184769320611
8,40717.04441070557,0.4043748989163836,0.39865815235026325,0.4043748989163836,0.4043395810800391,158250.08882141113,6.398596507415944,469963.77970530937,19.00225536573303,1280835.0926983003,51.78857725611759
9,41449.79772186279,0.44238233867054827,0.4363245818424101,0.44238233867054827,0.4423328815926596,159715.5954437256,6.457851991093547,471429.2863276238,19.061510849410634,1282300.5993206147,51.847832739795194
10,36933.43888092041,0.47594209930454473,0.47130067419728094,0.47594209930454473,0.47589007397718164,150682.87776184082,6.092628083529064,462396.56864573905,18.696286941846154,1273267.88163873,51.48260883223071
11,40720.93204498291,0.4173136018114184,0.4093001059967339,0.4173136018114184,0.41725838642007135,158257.86408996582,6.3989108883214385,469971.55497386405,19.002569746638528,1280842.867966855,51.788891637023085
12,34717.93527984619,0.49385411612485847,0.4865898680939428,0.49385411612485847,0.4938033326198784,146251.87055969238,5.913467190671696,457965.5614435906,18.517126048988786,1268836.8744365815,51.30344793937334
13,30779.880920410156,0.6115963124696749,0.6071102868146003,0.6115963124696749,0.6115428695001087,138375.7618408203,5.5950089697889505,450089.45272471855,18.19866782810604,1260960.7657177094,50.984989718490596
14,21624.024034500122,0.6925440724567362,0.6901621141333159,0.6925440724567362,0.6924920798668234,120064.04806900024,4.854603269812399,431777.7389528985,17.458262128129487,1242649.0519458894,50.24458401851405
15,17310.12350654602,0.7489891638363254,0.7466646083306114,0.7489891638363254,0.7489400622564457,111436.24701309204,4.505751537000325,423149.9378969903,17.109410395317415,1234021.2508899812,49.895732285701975
16,14871.087621688843,0.8045851528384279,0.8036677245869587,0.8045851528384279,0.8045464537647392,106558.17524337769,4.30851428284723,418271.8661272759,16.912173141164317,1229143.1791202668,49.69849503154887
17,14006.528268814087,0.8087093643862203,0.8091896476844533,0.8087093643862203,0.808675491860978,104829.05653762817,4.238600054084917,416542.7474215264,16.842258912402006,1227414.0604145173,49.628580802786566
18,10934.576117515564,0.8436034287562671,0.8426497649172899,0.8436034287562671,0.8435659350963478,98685.15223503113,3.9901808278760766,410398.84311892936,16.593839686193164,1221270.1561119203,49.38016157657772
19,8682.46007156372,0.8723111758046256,0.8724614881851313,0.8723111758046256,0.8722836409397656,94180.92014312744,3.8080592003528806,405894.6110270257,16.41171805866997,1216765.9240200166,49.198039949054525
20,7119.830026626587,0.8998059194565745,0.8993897167423613,0.8998059194565745,0.8997781317175548,91055.66005325317,3.681694163563528,402769.3509371514,16.285353021880617,1213640.6639301423,49.07167491226517
21,6448.479430675507,0.9032023289665211,0.9033139009450103,0.9032023289665211,0.9031741485262639,89712.95886135101,3.6274041266921806,401426.64974524925,16.23106298500927,1212297.9627382401,49.01738487539383
22,3781.5062413215637,0.9467087174510755,0.9468589704932737,0.9467087174510755,0.946691559712769,84379.01248264313,3.4117342909042185,396092.70336654136,16.015393149221307,1206964.0163595323,48.80171503960587
23,2611.5100270807743,0.9693514475173863,0.9693032665452465,0.9693514475173863,0.9693413055413045,82039.02005416155,3.317120332126862,393752.7109380598,15.92077919044395,1204624.0239310507,48.70710108082851
24,2584.7913266420364,0.9617095261200065,0.9617327266131,0.9617095261200065,0.9616984731493499,81985.58265328407,3.3149596738348728,393699.2735371823,15.918618532151962,1204570.5865301732,48.70494042253652
25,1453.2608178555965,0.9790150412421155,0.979006904264321,0.9790150412421155,0.9790087527054179,79722.5216357112,3.223456317148277,391436.2125196094,15.827115175465366,1202307.5255126003,48.61343706584992
26,1181.8505508601665,0.9827349183244379,0.9827376474794415,0.9827349183244379,0.9827312732465019,79179.70110172033,3.201508212102553,390893.39198561857,15.80516707041964,1201764.7049786095,48.5914889608042
27,1706.629931539297,0.9755377648390748,0.975524530200514,0.9755377648390748,0.975531174745041,80229.2598630786,3.2439454901778504,391942.9507469768,15.847604348494938,1202814.2637399677,48.633926238879496
28,1163.0805125534534,0.9839883551673945,0.9839796318116545,0.9839883551673945,0.9839831458052113,79142.1610251069,3.199990337421434,390855.85190900514,15.803649195738522,1201727.164901996,48.58997108612308
29,1778.995892137289,0.9741630276564774,0.9741018249438343,0.9741630276564774,0.974156005541707,80373.99178427458,3.2497975005771704,392087.6826681728,15.85345635889426,1202958.9956611637,48.63977824927882
30,761.9834401495755,0.9893255701115963,0.989314872985346,0.9893255701115963,0.9893212256705896,78339.96688029915,3.1675548633470463,390053.6577641974,15.771213721664134,1200924.9707571883,48.557535612048696
31,2034.7941794991493,0.9744864952288533,0.9745103948095186,0.9744864952288533,0.9744793425786841,80885.5883589983,3.270483113334882,392599.27924289653,15.874141971651971,1203470.5922358874,48.66046386203653
32,1052.0305053181946,0.9863739285136665,0.9863651355003001,0.9863739285136665,0.9863712640436558,78920.06101063639,3.1910100683582563,390633.7518945346,15.794668926675344,1201505.0648875255,48.580990817059906
33,784.3847093880177,0.9888808021995795,0.9888689608474868,0.9888808021995795,0.988877550098342,78384.76941877604,3.169366384391721,390098.46030267427,15.77302524270881,1200969.7732956652,48.55934713309337
34,1174.0988347530365,0.9828966521106259,0.9829023886125452,0.9828966521106259,0.9828924052546915,79164.19766950607,3.2008813549048227,390877.8885534043,15.80454021322191,1201749.2015463952,48.59086210360647
35,511.97421530261636,0.9933284813197477,0.9933240350424204,0.9933284813197477,0.993326995757962,77839.94843060523,3.147337394088842,389553.63931450347,15.75099625240593,1200424.9523074944,48.53731814279049
36,593.6423183931038,0.9918324437975093,0.9918299085417346,0.9918324437975093,0.99183122639035,78003.28463678621,3.1539416398506472,389716.97552068444,15.757600498167736,1200588.2885136753,48.543922388552296
37,549.6288042590022,0.9919941775836972,0.9919886477523716,0.9919941775836972,0.9919918348022405,77915.257608518,3.150382403708475,389628.94849241624,15.754041262025563,1200500.2614854071,48.54036315241012
38,417.32111693546176,0.9946627850557982,0.994664483818394,0.9946627850557982,0.9946623655703544,77650.64223387092,3.1396830921021723,389364.33311776916,15.74334195041926,1200235.64611076,48.52966384080382
39,1362.2201911062002,0.9804706453178069,0.980471909327511,0.9804706453178069,0.9804650109848054,79540.4403822124,3.2160941445177262,391254.13126611063,15.819753002834815,1202125.4442591015,48.60607489321937
40,1319.5452938973904,0.9824518841986091,0.9824373999810123,0.9824518841986091,0.9824482580465994,79455.09058779478,3.2126431581673454,391168.781471693,15.816302016484434,1202040.094464684,48.60262390686899
41,593.3492740690708,0.9919941775836972,0.9919922052728656,0.9919941775836972,0.991991416378502,78002.69854813814,3.1539179422666237,389716.3894320364,15.757576800583712,1200587.7024250273,48.54389869096827
42,3242.7072986364365,0.9547954067604723,0.9547132883989231,0.9547954067604723,0.9547864387903586,83301.41459727287,3.3681632944069575,395015.1054811711,15.971822152724046,1205886.418474162,48.7581440431086
43,1800.2980856895447,0.9745673621219473,0.9745724563210021,0.9745673621219473,0.9745612169815295,80416.59617137909,3.251520142785828,392130.2870552773,15.855179001102917,1203001.6000482682,48.641500891487475
44,915.9544178768992,0.9866569626394954,0.9866472528901369,0.9866569626394954,0.9866526048720358,78647.9088357538,3.1800060179424956,390361.59971965203,15.783664876259584,1201232.912712643,48.56998676664414
