layer_number,loss,accuracy_score,f1_macro,f1_micro,balanced_accuracy_score,aic_pr,aic_pr_avg,bic_pr,bic_pr_avg,ebic_pr,ebic_pr_avg,aic_rep,aic_rep_avg,bic_rep,bic_rep_avg,ebic_rep,ebic_rep_avg,aic_cls,aic_cls_avg,bic_cls,bic_cls_avg,ebic_cls,ebic_cls_avg
1,46264.32474517822,0.2967814976548601,0.28025367063216466,0.2967814976548601,0.2967303067015355,92548.11499023438,3.7420392604817394,92627.1045602699,3.74523308103954,92671.39823677903,3.747024027041041,96624.64949035645,3.9068676002893596,113245.91690678593,4.578922727914683,144476.35627409484,5.841677028711581,125312.64949035645,5.066822314829227,258347.71564763776,10.445888551174097,576501.6398979336,23.309948241061523
2,46692.501567840576,0.28966521106259097,0.2821002516986581,0.28966521106259097,0.2896267790897675,93405.72895431519,3.7767155488563473,93489.83280537493,3.780116157422567,93538.29459833434,3.782075634737762,97481.00313568115,3.941492929632911,114102.27055211064,4.6135480572582335,145332.70991941955,5.876302358055133,126169.00313568115,5.1014476441727785,259204.06929296246,10.480513880517648,577357.9935432583,23.344573570405075
3,47394.3215637207,0.2694889212356461,0.26250825984907733,0.2694889212356461,0.26945207166521745,94831.25323867798,3.8343544088095576,95004.16194314742,3.8413457036692313,95134.50390701345,3.846615878498037,98884.6431274414,3.9982469322109577,115505.9105438709,4.67030205983628,146736.3499111798,5.93305636063318,127572.6431274414,5.158201646750825,260607.70928472272,10.537267883095694,578761.6335350185,23.40132757298312
4,48483.58150100708,0.24175157690441534,0.2362776292777895,0.24175157690441534,0.2417246166461178,97032.24503326416,3.923348092886308,97296.34314005387,3.934026489570349,97522.99139643119,3.9431906597295483,101063.16300201416,4.086331999111037,117684.43041844365,4.75838712673636,148914.86978575255,6.021141427533259,129751.16300201416,5.246286713650904,262786.22915929544,10.625352949995772,580940.1534095912,23.489412639883195
5,48600.42945480347,0.2405385735080058,0.23523988910975452,0.2405385735080058,0.24051243654671153,97267.0597076416,3.9328424594711953,97535.69768794317,3.9437044188882084,97767.37038192962,3.9530717443769054,101296.85890960693,4.0957811300989375,117918.12632603642,4.767836257724261,149148.56569334533,6.03059055852116,129984.85890960693,5.255735844638806,263019.9250668882,10.634802080983674,581173.849317184,23.498861770871095
6,48393.75677871704,0.24632055636422448,0.24098940070264338,0.24632055636422448,0.24629379982836758,96853.51274871826,3.9161213306129006,97121.3326236212,3.9269502112090087,97352.09848224474,3.936280870218532,100883.51355743408,4.079068152896413,117504.78097386357,4.751123280521735,148735.22034117248,6.013877581318635,129571.51355743408,5.23902286743628,262606.57971471536,10.618089103781148,580760.5039650111,23.48214879366857
7,46136.03173446655,0.29609412906356136,0.2884719109699896,0.29609412906356136,0.2960563823968112,92339.84520721436,3.7336181953426473,92614.8985270198,3.7447395490465714,92853.70346513405,3.7543952557469695,96368.0634689331,3.896492943107436,112989.3308853626,4.568548070732759,144219.7702526715,5.831302371529658,125056.0634689331,5.056447657647303,258091.12962621442,10.435513893992173,576245.0538765102,23.2995735838796
8,46229.877616882324,0.29694323144104806,0.2893876514618045,0.29694323144104806,0.2969071778561625,92527.39767456055,3.7412015880058447,92801.88573539273,3.752300086341288,93040.06074643886,3.7619303229192487,96555.75523376465,3.904081968048061,113177.02265019414,4.576137095673384,144407.46201750304,5.8388913964702835,125243.75523376465,5.064036682587928,258278.82139104596,10.443102918932798,576432.7456413418,23.307162608820224
9,47150.12776565552,0.277252142972667,0.26924687600652353,0.277252142972667,0.2772146642617582,94367.64878082275,3.815609282743925,94641.12564171056,3.826666894780469,94878.17449863894,3.836251597066106,98396.25553131104,3.9784997384486105,115017.52294774052,4.650554866073933,146247.96231504943,5.913309166870833,127084.25553131104,5.138454452988478,260119.32168859235,10.517520689333347,578273.2459388882,23.38158037922077
10,46164.37982940674,0.2916060164968462,0.28362057427102816,0.2916060164968462,0.291566091912729,92389.99559402466,3.7356459483270523,92638.4865253333,3.7456932931155302,92848.0106045942,3.7541650737746317,96424.75965881348,3.8987853654703817,113046.02707524296,4.570840493095704,144276.46644255187,5.833594793892604,125112.75965881348,5.058740080010249,258147.8258160948,10.437806316355118,576301.7500663906,23.301866006242545
11,44969.95667266846,0.32023289665211063,0.3116803564163559,0.32023289665211063,0.320190443323459,90005.27958679199,3.639223661118874,90270.53099773724,3.6499486898648406,90498.4538549034,3.6591643965269047,94035.91334533691,3.802196075745468,110657.1807617664,4.474251203370791,141887.6201290753,5.73700550416769,122723.91334533691,4.962150790285335,255758.97950261823,10.341217026630204,573912.903752914,23.20527671651763
12,45312.52481842041,0.31590651787158336,0.3078584760464165,0.31590651787158336,0.31586355979196,90690.9873046875,3.666949187477256,90958.55752199594,3.677767973556362,91189.04678030047,3.687087448661672,94721.04963684082,3.82989849736539,111342.31705327031,4.501953624990713,142572.75642057922,5.7647079257876115,123409.04963684082,4.989853211905257,256444.11579412213,10.368919448250127,574598.040044418,23.23297913813755
13,43157.16932678223,0.35476306000323465,0.34620250106793315,0.35476306000323465,0.3547173605120718,86382.05024719238,3.4927240112887104,86656.81892514219,3.503833855941379,86895.30662132689,3.5134767354571768,90410.33865356445,3.6556015952435894,107031.60606999394,4.3276567228689125,138262.04543730285,5.590411023665811,119098.33865356445,4.815556309783457,252133.40481084576,10.194622546128326,570287.3290611416,23.058682236015752
14,45244.84599304199,0.3131166100598415,0.3052885337561276,0.3131166100598415,0.3130742589433123,90566.05431365967,3.6618977160625774,90875.92703513829,3.674426938182852,91154.06477321009,3.685673005547877,94585.69198608398,3.824425521028788,111206.95940251347,4.496480648654111,142437.39876982238,5.7592349494510096,123273.69198608398,4.984380235568655,256308.7581433653,10.363446471913525,574462.6823936611,23.22750616180095
15,48979.28723144531,0.24025553938217695,0.2357817493462412,0.24025553938217695,0.2402237958326357,98054.13033294678,3.964666437528173,98441.88904129954,3.980344858535482,98811.36190904921,3.995283919984199,102054.57446289062,4.126418181420452,118675.84187932011,4.798473309045775,149906.28124662902,6.061227609842674,130742.57446289062,5.286372895960319,263777.6406201719,10.665439132305188,581931.5648704676,23.52949882219261
16,48590.56171798706,0.24640142325731845,0.24194315643409656,0.24640142325731845,0.24636965503879107,97280.13314819336,3.93337106373093,97681.90729458489,3.949616177203012,98068.25019766357,3.96523735232345,101277.12343597412,4.094983156880726,117898.39085240361,4.767038284506049,149128.83021971252,6.029792585302948,129965.12343597412,5.254937871420593,263000.1895932554,10.634004107765461,581154.1138435511,23.498063797652886
17,47703.078815460205,0.262372634643377,0.2569739546462477,0.262372634643377,0.26233677179679293,95503.0636138916,3.8615180177054667,95896.30098137601,3.8774179597839242,96272.35375892348,3.8926230696637343,99502.15763092041,4.023215171879364,116123.4250473499,4.695270299504686,147353.8644146588,5.958024600301585,128190.15763092041,5.183169886419231,261225.22378820172,10.5622361227641,579379.1480384975,23.426295812651524
18,47042.9478225708,0.27636260714863337,0.2695988207161416,0.27636260714863337,0.27632221167298704,94182.83379364014,3.808136575838595,94576.20168647404,3.8240417955067945,94952.41145707744,3.83925325315694,98181.8956451416,3.969832429449361,114803.16306157109,4.641887557074684,146033.60242888,5.904641857871583,126869.8956451416,5.129787143989229,259904.9618024229,10.508853380334099,578058.8860527187,23.372913070221525
