layer_number,loss,accuracy_score,f1_macro,f1_micro,balanced_accuracy_score,aic,aic_avg,bic,bic_avg,ebic,ebic_avg
1,45691.69174194336,0.3058790231279314,0.29107104082719737,0.3058790231279314,0.30582806451617883,115975.38348388672,4.689284468861666,215767.91480830905,8.72424044995589,447351.4989904007,18.087962922141383
2,45939.28757476807,0.30308911531618954,0.290846872052972,0.30308911531618954,0.30304155862241133,116470.57514953613,4.7093067746052135,216263.10647395847,8.744262755699436,447846.6906560501,18.10798522788493
3,47000.68081283569,0.27939511563965713,0.2713048103425828,0.27939511563965713,0.27935648174222344,118593.36162567139,4.795138348118688,218385.89295009372,8.830094329212912,449969.47713218536,18.193816801398405
4,50655.92418670654,0.1985282225456898,0.1964126665647117,0.1985282225456898,0.19851330786331983,125903.84837341309,5.090726523265935,225696.37969783542,9.125682504360158,457279.96387992706,18.48940497654565
5,45215.30469894409,0.31327834384602943,0.3033228762172485,0.31327834384602943,0.31323494490685777,115022.60939788818,4.650760528784093,214815.14072231052,8.685716509878317,446398.72490440216,18.049438982063812
6,45440.75380706787,0.31255054180818376,0.30025563988299725,0.31255054180818376,0.31250252361711583,115473.50761413574,4.668991897708869,215266.03893855808,8.703947878803092,446849.6231206497,18.067670350988585
7,48108.831787109375,0.24890829694323144,0.24184612409075595,0.24890829694323144,0.24887525857125653,120809.66357421875,4.884751074487253,220602.1948986411,8.919707055581476,452185.7790807327,18.28342952776697
8,40139.07674407959,0.40574963609898107,0.39330613512657436,0.40574963609898107,0.4056962243854478,104870.15348815918,4.240261745437457,204662.68481258152,8.27521772653168,436246.26899467316,17.638940198717176
9,46361.60926818848,0.2817806889859292,0.2732887741235801,0.2817806889859292,0.28174244805332715,117315.21853637695,4.7434586178383045,217107.7498607993,8.778414598932528,448691.3340428909,18.14213707111802
10,39351.96032714844,0.418203137635452,0.40601359470539733,0.418203137635452,0.4181474286642429,103295.92065429688,4.176610086296979,203088.4519787192,8.211566067391201,434672.03616081085,17.575288539576697
11,45976.10029602051,0.29201035096231603,0.2816610040394131,0.29201035096231603,0.29196794946758653,116544.20059204102,4.7122837049992325,216336.73191646335,8.747239686093456,447920.316098555,18.11096215827895
12,39429.02928543091,0.4129063561377972,0.4003272473303334,0.4129063561377972,0.4128517369266326,103450.05857086182,4.182842413507271,203242.58989528415,8.217798394601495,434826.1740773758,17.581520866786988
13,45204.79647064209,0.301916545366327,0.2915987048542482,0.301916545366327,0.3018769104482323,115001.59294128418,4.649910761009388,214794.12426570652,8.684866742103612,446377.70844779816,18.048589214289105
